neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
87450,85754,1251,84503,1696,19274,0,19274,Fri Jun 24 18:15:03 CEST 2011,Fri Jun 24 18:15:07 CEST 2011,4465,24174,24174.0,0.0,0
87450,85754,1251,84503,1696,19274,0,19274,Fri Jun 24 18:15:03 CEST 2011,Fri Jun 24 18:15:07 CEST 2011,4215,24174,24174.0,0.0,0
127710,124833,1874,122959,2877,27868,0,27868,Fri Jun 24 18:15:03 CEST 2011,Fri Jun 24 18:15:08 CEST 2011,5172,24122,24122.0,0.0,0
95040,92388,1284,91104,2652,21202,0,21202,Fri Jun 24 18:15:03 CEST 2011,Fri Jun 24 18:15:07 CEST 2011,4484,24075,24075.0,0.0,0
95040,92388,1284,91104,2652,21202,0,21202,Fri Jun 24 18:15:03 CEST 2011,Fri Jun 24 18:15:07 CEST 2011,4587,24075,24075.0,0.0,0
99000,97043,1403,95640,1957,20519,0,20519,Fri Jun 24 18:15:03 CEST 2011,Fri Jun 24 18:15:07 CEST 2011,4601,25120,25120.0,0.0,0
99000,97043,1403,95640,1957,20519,0,20519,Fri Jun 24 18:15:03 CEST 2011,Fri Jun 24 18:15:08 CEST 2011,4818,25120,25120.0,0.0,0
114510,112446,1583,110863,2064,23216,0,23216,Fri Jun 24 18:15:03 CEST 2011,Fri Jun 24 18:15:08 CEST 2011,4923,24885,24885.0,0.0,0
166320,162212,2163,160049,4108,36694,0,36694,Fri Jun 24 18:15:03 CEST 2011,Fri Jun 24 18:15:08 CEST 2011,5353,24992,24992.0,0.0,0
87450,85754,1251,84503,1696,19274,0,19274,Fri Jun 24 18:15:03 CEST 2011,Fri Jun 24 18:15:07 CEST 2011,4411,24174,24174.0,0.0,0
