iteration,cost,penalty,softConstraintViolations
1,24722,0.125,6
2,24759,0.25,6
3,24992,0.375,5
4,24334,0.5,5
5,23821,0.625,6
6,24379,0.75,6
7,24881,0.875,5
8,25110,1.0,4
9,25768,1.125,2
10,25448,1.25,2
11,25006,1.375,3
12,25701,1.5,3
13,25704,1.625,2
14,25202,1.75,2
15,26069,1.875,1
16,25434,2.0,1
17,25259,2.125,1
18,25083,2.25,2
19,25171,2.375,2
20,25980,2.5,1
21,26434,2.625,1
22,26001,2.5,0
23,26002,2.375,0
24,26014,2.25,0
25,25908,2.125,0
26,26362,2.0,0
27,26312,1.875,0
28,26052,2.0,1
29,25971,2.125,1
30,25972,2.25,1
31,26040,2.375,1
32,26316,2.5,1
33,26143,2.625,1
34,26027,2.75,1
35,26200,2.875,1
36,26150,3.0,1
37,26354,3.125,1
38,25839,3.25,2
39,25635,3.375,2
40,25685,3.5,2
41,25571,3.625,2
42,25604,3.75,2
43,25635,3.875,2
44,26701,4.0,1
45,26008,4.125,1
46,26840,4.0,0
47,27313,3.875,0
48,26124,4.0,1
49,26069,4.125,1
50,26417,4.25,1
51,26472,4.375,1
52,27564,4.25,0
53,26484,4.375,1
54,25971,4.25,0
55,25972,4.125,0
56,25983,4.0,0
57,26529,3.875,0
58,26937,3.75,0
59,26655,3.625,0
60,26482,3.5,0
61,26470,3.375,0
62,26341,3.25,0
63,26739,3.125,0
64,27109,3.0,0
65,27059,2.875,0
66,26469,2.75,0
67,27134,2.625,0
68,27376,2.75,1
69,26626,2.875,1
70,25895,3.0,1
71,25382,3.125,1
72,25557,3.25,1
73,26030,3.125,0
74,25590,3.25,1
75,25856,3.375,1
76,26296,3.5,1
77,26180,3.625,1
78,26480,3.75,1
79,26608,3.875,1
80,25981,4.0,1
81,25430,4.125,2
82,25342,4.25,2
83,24342,4.375,3
84,24246,4.5,2
85,24334,4.625,2
86,24591,4.75,2
87,24687,4.875,2
88,24696,5.0,2
89,24812,5.125,2
90,24803,5.25,2
91,24707,5.375,2
92,24836,5.5,2
93,24835,5.625,2
94,26200,5.75,1
95,26345,5.875,1
96,26441,6.0,1
97,26500,6.125,1
98,26500,6.25,1
99,26288,6.375,1
100,26200,6.5,1
101,27879,6.375,0
102,25998,6.5,1
103,27382,6.375,0
104,27184,6.25,0
105,27338,6.125,0
106,25800,6.25,1
107,25791,6.375,1
108,25995,6.5,1
109,26004,6.625,1
110,26326,6.75,1
111,26238,6.875,1
112,27917,6.75,0
113,25800,6.875,1
114,25888,7.0,1
115,26086,7.125,1
116,26559,7.25,1
117,26355,7.375,1
118,26157,7.5,1
119,25780,7.625,1
120,27666,7.5,0
121,26840,7.375,0
122,27217,7.25,0
123,27325,7.125,0
124,27086,7.0,0
125,27663,6.875,0
126,27346,6.75,0
127,27285,6.625,0
128,26429,6.5,0
129,25926,6.375,0
130,26711,6.25,0
131,27031,6.125,0
132,26918,6.0,0
133,26639,5.875,0
134,26896,5.75,0
135,27200,5.625,0
136,26782,5.5,0
137,27112,5.375,0
138,26167,5.25,0
139,27034,5.125,0
140,27179,5.0,0
141,26279,5.125,1
142,25412,5.25,1
143,26197,5.125,0
144,27064,5.0,0
145,27536,4.875,0
146,27430,4.75,0
147,27659,4.625,0
148,27629,4.5,0
149,26857,4.375,0
150,27030,4.25,0
151,26794,4.125,0
152,27114,4.0,0
153,26179,4.125,1
154,26621,4.0,0
155,26507,3.875,0
156,26963,3.75,0
157,27136,3.625,0
158,27456,3.5,0
159,27415,3.375,0
160,26007,3.5,1
161,25834,3.625,1
162,26607,3.5,0
163,25952,3.625,1
164,26341,3.5,0
165,26470,3.375,0
166,26469,3.25,0
167,27059,3.125,0
168,25408,3.25,2
169,25612,3.375,2
170,26010,3.5,2
171,26739,3.375,0
172,26482,3.25,0
173,26655,3.125,0
174,25983,3.0,0
175,25972,2.875,0
176,25971,2.75,0
177,26529,2.625,0
178,26937,2.5,0
179,27134,2.375,0
180,27109,2.25,0
181,26437,2.375,1
182,26040,2.5,1
183,25933,2.625,1
184,26331,2.75,1
185,26388,2.875,1
186,26387,3.0,1
187,26127,3.125,1
188,26674,3.25,1
189,26903,3.375,1
190,26777,3.5,1
191,27636,3.375,0
192,27053,3.25,0
193,26567,3.125,0
194,26704,3.0,0
195,26127,3.125,1
196,25543,3.25,1
197,25800,3.375,2
198,26767,3.5,1
199,25620,3.625,1
200,25736,3.75,1
201,26603,3.875,1
202,26487,4.0,1
203,26069,4.125,1
204,26124,4.25,1
205,26008,4.375,1
206,26840,4.25,0
207,27313,4.125,0
208,27384,4.0,0
209,27209,3.875,0
210,27305,3.75,0
211,26113,3.875,1
212,25167,4.0,2
213,26648,4.125,1
214,26564,4.25,1
215,25793,4.375,1
216,25395,4.5,1
217,26113,4.625,1
218,26163,4.75,1
219,25709,4.875,1
220,25846,5.0,1
221,25849,4.875,0
222,25848,4.75,0
223,26406,4.625,0
224,25860,4.5,0
225,26444,4.375,0
226,25772,4.5,1
227,26430,4.375,0
228,27297,4.25,0
229,27769,4.125,0
230,27236,4.0,0
231,27751,3.875,0
232,27998,3.75,0
233,28104,3.625,0
234,27789,3.5,0
235,26228,3.625,1
236,26701,3.5,0
237,27078,3.375,0
238,26605,3.5,1
239,28173,3.375,0
240,27944,3.25,0
241,27472,3.375,1
242,27945,3.25,0
243,28196,3.125,0
244,28083,3.0,0
245,28061,2.875,0
246,26716,2.75,0
247,26715,2.625,0
248,25662,2.75,2
249,26461,2.625,0
250,27436,2.5,0
251,25202,2.625,2
252,26069,2.75,1
253,25434,2.875,1
254,25907,2.75,0
255,26774,2.625,0
256,26301,2.75,1
257,26126,2.875,1
258,25259,3.0,1
259,25083,3.125,2
260,25171,3.25,2
261,25980,3.375,1
262,26434,3.5,1
263,26001,3.375,0
264,26002,3.25,0
265,26014,3.125,0
266,25908,3.0,0
267,26362,2.875,0
268,26312,2.75,0
269,26052,2.875,1
270,25971,3.0,1
271,25972,3.125,1
272,26040,3.25,1
273,26316,3.375,1
274,26143,3.5,1
275,26027,3.625,1
276,26200,3.75,1
277,26150,3.875,1
278,26354,4.0,1
279,26752,4.125,1
280,26579,4.25,1
281,26491,4.375,1
282,26664,4.5,1
283,26388,4.625,1
284,26158,4.75,1
285,26793,4.625,0
286,25926,4.5,0
287,26429,4.375,0
288,26639,4.25,0
289,26896,4.125,0
290,27200,4.0,0
291,26782,3.875,0
292,27112,3.75,0
293,26167,3.625,0
294,25694,3.75,1
295,25412,3.875,1
296,26197,3.75,0
297,27064,3.625,0
298,26279,3.75,1
299,27179,3.625,0
300,27034,3.5,0
301,25964,3.625,1
302,25462,3.75,1
303,26329,3.875,1
304,26029,4.0,1
305,26145,4.125,1
306,26178,4.25,1
307,23814,4.375,3
308,25858,4.5,1
309,26140,4.625,1
310,26344,4.75,1
311,26895,4.625,0
312,27532,4.5,0
313,26721,4.625,1
314,26517,4.75,1
315,26662,4.875,1
316,25458,5.0,2
317,25370,5.125,2
318,26219,5.25,1
319,26732,5.375,1
320,27404,5.25,0
321,26820,5.125,0
322,26821,5.0,0
323,27473,4.875,0
324,27366,4.75,0
325,27653,4.625,0
326,27587,4.5,0
327,26674,4.625,1
328,25981,4.75,1
329,26483,4.875,1
330,25590,5.0,1
331,26030,4.875,0
332,25557,5.0,1
333,25382,5.125,1
334,25895,5.25,1
335,26567,5.125,0
336,25983,5.0,0
337,25972,4.875,0
338,25971,4.75,0
339,26529,4.625,0
340,26937,4.5,0
341,26655,4.375,0
342,26482,4.25,0
343,26470,4.125,0
344,26341,4.0,0
345,26739,3.875,0
346,27109,3.75,0
347,27059,3.625,0
348,26469,3.5,0
349,27134,3.375,0
350,28232,3.25,0
351,28045,3.125,0
352,28259,3.0,0
353,27362,2.875,0
354,27490,2.75,0
355,26490,2.875,1
356,26429,2.75,0
357,25926,2.625,0
358,25205,2.75,2
359,26639,2.625,0
360,26896,2.5,0
361,25781,2.625,2
362,25693,2.75,2
363,25255,2.875,3
364,26029,3.0,2
365,25628,3.125,2
366,26025,3.25,2
367,25768,3.375,2
368,25448,3.5,2
369,25006,3.625,3
370,26493,3.75,1
371,27897,3.625,0
372,26999,3.75,1
373,26613,3.875,1
374,26127,4.0,1
375,25543,4.125,1
376,25972,4.0,0
377,25971,3.875,0
378,26529,3.75,0
379,25983,3.625,0
380,26567,3.5,0
381,26704,3.375,0
382,27190,3.25,0
383,27053,3.125,0
384,27184,3.0,0
385,27286,2.875,0
386,26067,3.0,1
387,26068,3.125,1
388,26004,3.25,2
389,28059,3.125,0
390,25908,3.0,0
391,26014,2.875,0
392,26002,2.75,0
393,26001,2.625,0
394,26312,2.5,0
395,26362,2.375,0
396,26040,2.5,1
397,25972,2.625,1
398,25971,2.75,1
399,26052,2.875,1
400,26158,3.0,1
401,26793,2.875,0
402,25926,2.75,0
403,26429,2.625,0
404,26639,2.5,0
405,25205,2.625,2
406,24767,2.75,3
407,26433,2.875,1
408,26849,2.75,0
409,26050,2.875,2
410,26868,2.75,0
411,26869,2.625,0
412,26881,2.5,0
413,27507,2.375,0
414,27109,2.25,0
415,27339,2.125,0
416,27568,2.0,0
417,25266,2.125,3
418,25395,2.25,1
419,25793,2.375,1
420,25991,2.5,1
421,25709,2.625,1
422,25846,2.75,1
423,25849,2.625,0
424,25848,2.5,0
425,26406,2.375,0
426,25860,2.25,0
427,26444,2.125,0
428,25772,2.25,1
429,26430,2.125,0
430,26605,2.25,1
431,26228,2.375,1
432,26701,2.25,0
433,27078,2.125,0
434,26052,2.25,2
435,26716,2.125,0
436,25849,2.0,0
437,25848,1.875,0
438,26406,1.75,0
439,25860,1.625,0
440,26004,1.75,1
441,26550,1.875,1
442,25266,2.0,3
443,25395,2.125,1
444,25793,2.25,1
445,25991,2.375,1
446,25709,2.5,1
447,25846,2.625,1
