neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
19710,19141,1703,17438,569,3109,0,3109,Fri Jun 24 18:14:32 CEST 2011,Fri Jun 24 18:14:33 CEST 2011,992,25656,25656.0,0.0,0
15075,14412,1021,13391,663,2386,0,2386,Fri Jun 24 18:14:32 CEST 2011,Fri Jun 24 18:14:33 CEST 2011,931,26023,26023.0,0.0,0
13815,13380,1187,12193,435,2039,0,2039,Fri Jun 24 18:14:32 CEST 2011,Fri Jun 24 18:14:33 CEST 2011,737,26175,26175.0,0.0,0
13050,12555,1007,11548,495,2033,0,2033,Fri Jun 24 18:14:32 CEST 2011,Fri Jun 24 18:14:33 CEST 2011,788,26134,26134.0,0.0,0
12420,12063,1006,11057,357,1789,0,1789,Fri Jun 24 18:14:32 CEST 2011,Fri Jun 24 18:14:33 CEST 2011,826,26106,26106.0,0.0,0
12420,12063,1006,11057,357,1789,0,1789,Fri Jun 24 18:14:32 CEST 2011,Fri Jun 24 18:14:33 CEST 2011,640,26106,26106.0,0.0,0
21195,20507,1661,18846,688,3265,0,3265,Fri Jun 24 18:14:32 CEST 2011,Fri Jun 24 18:14:33 CEST 2011,1045,25848,25848.0,0.0,0
12510,12117,1053,11064,393,1802,0,1802,Fri Jun 24 18:14:32 CEST 2011,Fri Jun 24 18:14:33 CEST 2011,717,26103,26103.0,0.0,0
19710,19141,1703,17438,569,3109,0,3109,Fri Jun 24 18:14:32 CEST 2011,Fri Jun 24 18:14:33 CEST 2011,973,25656,25656.0,0.0,0
20565,19724,1707,18017,841,3197,0,3197,Fri Jun 24 18:14:32 CEST 2011,Fri Jun 24 18:14:33 CEST 2011,1002,25395,25395.0,0.0,0
