iteration,cost,penalty,softConstraintViolations
1,25248,0.125,8
2,24992,0.25,8
3,24992,0.375,8
4,24992,0.5,8
5,24992,0.625,8
6,24992,0.75,8
7,24992,0.875,8
8,24992,1.0,8
9,24992,1.125,8
10,24992,1.25,8
11,24823,1.375,8
12,24823,1.5,8
13,24823,1.625,8
14,24823,1.75,8
15,24823,1.875,8
16,24823,2.0,8
17,24823,2.125,8
18,24823,2.25,8
19,24435,2.375,8
20,23937,2.5,8
21,23937,2.625,8
22,23937,2.75,8
23,24127,2.875,7
24,24127,3.0,7
25,24127,3.125,7
26,24127,3.25,7
27,24127,3.375,7
28,25408,3.5,5
29,25218,3.625,5
30,25218,3.75,5
31,25218,3.875,5
32,25158,4.0,5
33,25158,4.125,5
34,25158,4.25,5
35,25158,4.375,5
36,25158,4.5,5
37,25158,4.625,5
38,25158,4.75,5
39,25158,4.875,5
40,25158,5.0,5
41,25158,5.125,5
42,25158,5.25,5
43,25158,5.375,5
44,25158,5.5,5
45,25158,5.625,5
46,25158,5.75,5
47,25158,5.875,5
48,25158,6.0,5
49,25158,6.125,5
50,25158,6.25,5
51,25158,6.375,5
52,25158,6.5,5
53,26924,6.625,3
54,26924,6.75,3
55,26924,6.875,3
56,26924,7.0,3
57,26924,7.125,3
58,26924,7.25,3
59,26924,7.375,3
60,26924,7.5,3
61,26924,7.625,3
62,26924,7.75,3
63,26924,7.875,3
64,27405,8.0,2
65,27368,8.125,2
66,27368,8.25,2
67,27368,8.375,2
68,27368,8.5,2
69,27368,8.625,2
70,27368,8.75,2
71,25965,8.875,2
72,25960,9.0,2
73,25960,9.125,2
74,25960,9.25,2
75,25960,9.375,2
76,25960,9.5,2
77,25960,9.625,2
78,25960,9.75,2
79,27992,9.875,1
80,27827,10.0,1
81,27689,10.125,1
82,27689,10.25,1
83,27689,10.375,1
84,27689,10.5,1
85,27689,10.625,1
86,27520,10.75,1
87,27520,10.875,1
88,27520,11.0,1
89,27520,11.125,1
90,27520,11.25,1
