neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
61875,59871,3903,55968,2004,24413,0,24413,Fri Jun 24 18:15:08 CEST 2011,Fri Jun 24 18:15:10 CEST 2011,2009,24310,24310.0,0.0,0
42525,41267,2969,38298,1258,14575,0,14575,Fri Jun 24 18:15:08 CEST 2011,Fri Jun 24 18:15:10 CEST 2011,1786,25665,25665.0,0.0,0
42525,41267,2967,38300,1258,14575,0,14575,Fri Jun 24 18:15:08 CEST 2011,Fri Jun 24 18:15:10 CEST 2011,1753,25665,25665.0,0.0,0
46050,44739,2905,41834,1311,14857,0,14857,Fri Jun 24 18:15:08 CEST 2011,Fri Jun 24 18:15:10 CEST 2011,1755,25362,25362.0,0.0,0
42525,41267,2969,38298,1258,14575,0,14575,Fri Jun 24 18:15:08 CEST 2011,Fri Jun 24 18:15:10 CEST 2011,1721,25665,25665.0,0.0,0
23550,22917,1520,21397,633,7659,0,7659,Fri Jun 24 18:15:08 CEST 2011,Fri Jun 24 18:15:09 CEST 2011,985,25520,25520.0,0.0,0
42525,41267,2969,38298,1258,14575,0,14575,Fri Jun 24 18:15:09 CEST 2011,Fri Jun 24 18:15:10 CEST 2011,1626,25665,25665.0,0.0,0
46050,44742,2899,41843,1308,14857,0,14857,Fri Jun 24 18:15:09 CEST 2011,Fri Jun 24 18:15:10 CEST 2011,1666,25362,25362.0,0.0,0
46050,44739,2905,41834,1311,14857,0,14857,Fri Jun 24 18:15:09 CEST 2011,Fri Jun 24 18:15:10 CEST 2011,1560,25362,25362.0,0.0,0
52425,50964,3772,47192,1461,19140,0,19140,Fri Jun 24 18:15:09 CEST 2011,Fri Jun 24 18:15:10 CEST 2011,1696,25283,25283.0,0.0,0
