iteration,cost,penalty,softConstraintViolations
1,25164,0.125,9
2,24330,0.25,9
3,23651,0.375,10
4,23149,0.5,9
5,22581,0.625,9
6,22167,0.75,9
7,21199,0.875,11
8,21199,1.0,11
9,21199,1.125,11
10,21199,1.25,11
11,21199,1.375,11
12,21199,1.5,11
13,21199,1.625,11
14,21199,1.75,11
15,21199,1.875,11
16,21199,2.0,11
17,21199,2.125,11
18,21199,2.25,11
19,21199,2.375,11
20,21199,2.5,11
21,21199,2.625,11
22,21199,2.75,11
23,23537,2.875,6
24,24621,3.0,4
25,26721,3.125,1
26,26090,3.0,0
27,25767,2.875,0
28,25767,2.75,0
29,25767,2.625,0
30,25767,2.5,0
31,25767,2.375,0
32,25767,2.25,0
33,25767,2.125,0
34,25767,2.0,0
35,25767,1.875,0
36,25767,1.75,0
37,25767,1.625,0
38,25767,1.5,0
39,25767,1.375,0
40,25767,1.25,0
41,25767,1.125,0
42,25767,1.0,0
43,25767,0.875,0
44,25767,0.75,0
45,25767,0.625,0
46,25767,0.5,0
47,25767,0.375,0
48,25767,0.25,0
49,25767,0.125,0
50,25767,0.0,0
51,25459,0.125,3
52,24245,0.25,5
53,23802,0.375,5
54,23647,0.5,5
55,23435,0.625,5
56,23435,0.75,5
57,23435,0.875,5
58,23331,1.0,5
59,23235,1.125,5
60,23235,1.25,5
61,23235,1.375,5
62,23235,1.5,5
63,23235,1.625,5
64,23235,1.75,5
65,23235,1.875,5
66,23235,2.0,5
67,23235,2.125,5
68,23235,2.25,5
69,23235,2.375,5
70,23235,2.5,5
71,23235,2.625,5
72,23235,2.75,5
73,23235,2.875,5
74,23235,3.0,5
75,23235,3.125,5
76,23235,3.25,5
77,23235,3.375,5
78,23235,3.5,5
79,23235,3.625,5
80,23235,3.75,5
81,23235,3.875,5
82,23235,4.0,5
83,26517,4.125,1
84,26580,4.0,0
85,25956,3.875,0
86,25515,3.75,0
87,25254,3.625,0
88,24997,3.5,0
89,24750,3.375,0
90,24482,3.25,0
91,24482,3.125,0
92,24482,3.0,0
93,24482,2.875,0
94,24482,2.75,0
95,24482,2.625,0
96,24482,2.5,0
97,24482,2.375,0
98,24482,2.25,0
99,24482,2.125,0
100,24482,2.0,0
101,24482,1.875,0
102,24482,1.75,0
103,24482,1.625,0
104,24482,1.5,0
105,24482,1.375,0
106,24482,1.25,0
107,24482,1.125,0
108,24482,1.0,0
109,24482,0.875,0
110,24482,0.75,0
111,24482,0.625,0
112,24482,0.5,0
113,24482,0.375,0
114,24482,0.25,0
115,24482,0.125,0
116,24482,0.0,0
117,24482,0.0,0
118,24482,0.0,0
119,24482,0.0,0
120,24482,0.0,0
121,24482,0.0,0
122,24111,0.125,4
123,23453,0.25,4
124,22907,0.375,4
125,22902,0.5,4
126,22561,0.625,4
127,22561,0.75,4
128,22561,0.875,4
129,22561,1.0,4
130,22561,1.125,4
131,22561,1.25,4
132,22561,1.375,4
133,22561,1.5,4
134,22561,1.625,4
135,22561,1.75,4
136,22561,1.875,4
137,22561,2.0,4
138,22561,2.125,4
139,22561,2.25,4
140,22561,2.375,4
141,22561,2.5,4
142,22561,2.625,4
143,22561,2.75,4
144,22561,2.875,4
145,22561,3.0,4
146,22561,3.125,4
147,22561,3.25,4
148,22561,3.375,4
149,22561,3.5,4
150,22561,3.625,4
151,22561,3.75,4
152,22561,3.875,4
153,22561,4.0,4
154,22561,4.125,4
155,22561,4.25,4
156,22561,4.375,4
157,22561,4.5,4
158,22561,4.625,4
159,22561,4.75,4
160,22561,4.875,4
161,22561,5.0,4
162,22561,5.125,4
163,22561,5.25,4
164,22561,5.375,4
165,22561,5.5,4
166,22561,5.625,4
167,22561,5.75,4
168,22561,5.875,4
169,22561,6.0,4
170,22561,6.125,4
171,22561,6.25,4
172,22561,6.375,4
173,22561,6.5,4
174,22561,6.625,4
175,27102,6.5,0
176,26289,6.375,0
177,25896,6.25,0
178,25896,6.125,0
179,25896,6.0,0
180,25896,5.875,0
181,25896,5.75,0
182,25896,5.625,0
183,25896,5.5,0
184,25896,5.375,0
185,25896,5.25,0
186,25896,5.125,0
187,25896,5.0,0
188,25896,4.875,0
189,25896,4.75,0
190,25896,4.625,0
191,25896,4.5,0
192,25896,4.375,0
193,25896,4.25,0
194,24778,4.125,0
195,24778,4.0,0
196,24778,3.875,0
197,24778,3.75,0
198,24778,3.625,0
199,24778,3.5,0
200,24778,3.375,0
201,24778,3.25,0
202,24778,3.125,0
203,24757,3.0,0
204,24757,2.875,0
205,24757,2.75,0
206,24757,2.625,0
207,24757,2.5,0
208,24757,2.375,0
209,24757,2.25,0
210,24757,2.125,0
211,24757,2.0,0
212,22902,2.125,4
213,22561,2.25,4
214,22903,2.375,2
215,22903,2.5,2
