neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
131790,125833,1928,123905,5957,19029,0,19029,Fri Jun 24 18:15:10 CEST 2011,Fri Jun 24 18:15:16 CEST 2011,5541,24073,24073.0,0.0,0
132135,126175,1931,124244,5960,19029,0,19029,Fri Jun 24 18:15:10 CEST 2011,Fri Jun 24 18:15:16 CEST 2011,5499,24073,24073.0,0.0,0
101430,97244,1383,95861,4186,15735,0,15735,Fri Jun 24 18:15:10 CEST 2011,Fri Jun 24 18:15:15 CEST 2011,4653,24922,24922.0,0.0,0
123510,118491,1764,116727,5019,21924,0,21924,Fri Jun 24 18:15:10 CEST 2011,Fri Jun 24 18:15:16 CEST 2011,5413,24757,24757.0,0.0,0
114195,109644,1755,107889,4551,18408,0,18408,Fri Jun 24 18:15:11 CEST 2011,Fri Jun 24 18:15:16 CEST 2011,5141,24944,24944.0,0.0,0
97290,93940,1417,92523,3350,12897,0,12897,Fri Jun 24 18:15:10 CEST 2011,Fri Jun 24 18:15:15 CEST 2011,4651,24873,24873.0,0.0,0
160425,154171,2305,151866,6254,25158,0,25158,Fri Jun 24 18:15:11 CEST 2011,Fri Jun 24 18:15:16 CEST 2011,5382,24764,24764.0,0.0,0
188025,179908,2679,177229,8117,27969,0,27969,Fri Jun 24 18:15:11 CEST 2011,Fri Jun 24 18:15:16 CEST 2011,5748,24073,24073.0,0.0,0
97290,93940,1417,92523,3350,12897,0,12897,Fri Jun 24 18:15:11 CEST 2011,Fri Jun 24 18:15:15 CEST 2011,4533,24873,24873.0,0.0,0
116955,111685,1646,110039,5270,19914,0,19914,Fri Jun 24 18:15:11 CEST 2011,Fri Jun 24 18:15:16 CEST 2011,5092,24482,24482.0,0.0,0
