neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
39000,37715,1667,36048,1285,9837,0,9837,Fri Jun 24 18:15:00 CEST 2011,Fri Jun 24 18:15:02 CEST 2011,1860,24553,24553.0,0.0,0
45960,44200,1933,42267,1760,10974,0,10974,Fri Jun 24 18:15:00 CEST 2011,Fri Jun 24 18:15:02 CEST 2011,2062,24073,24073.0,0.0,0
52920,51194,2178,49016,1726,13997,0,13997,Fri Jun 24 18:15:00 CEST 2011,Fri Jun 24 18:15:03 CEST 2011,2307,24579,24579.0,0.0,0
53520,51895,2251,49644,1625,13869,0,13869,Fri Jun 24 18:15:00 CEST 2011,Fri Jun 24 18:15:03 CEST 2011,2245,24553,24553.0,0.0,0
53520,51895,2252,49643,1625,13869,0,13869,Fri Jun 24 18:15:01 CEST 2011,Fri Jun 24 18:15:03 CEST 2011,2136,24553,24553.0,0.0,0
53520,51895,2252,49643,1625,13869,0,13869,Fri Jun 24 18:15:01 CEST 2011,Fri Jun 24 18:15:03 CEST 2011,2038,24553,24553.0,0.0,0
47520,45909,2036,43873,1611,14117,0,14117,Fri Jun 24 18:15:01 CEST 2011,Fri Jun 24 18:15:03 CEST 2011,1909,24757,24757.0,0.0,0
45960,44200,1933,42267,1760,10974,0,10974,Fri Jun 24 18:15:01 CEST 2011,Fri Jun 24 18:15:03 CEST 2011,1900,24073,24073.0,0.0,0
60480,58535,2576,55959,1945,17884,0,17884,Fri Jun 24 18:15:01 CEST 2011,Fri Jun 24 18:15:03 CEST 2011,2086,24736,24736.0,0.0,0
39720,38329,1755,36574,1391,10185,0,10185,Fri Jun 24 18:15:01 CEST 2011,Fri Jun 24 18:15:02 CEST 2011,1726,24944,24944.0,0.0,0
