iteration,cost,penalty,softConstraintViolations
1,25189,0.125,6
2,24722,0.25,6
3,24716,0.375,5
4,24572,0.5,5
5,23931,0.625,5
6,23931,0.75,5
7,23931,0.875,5
8,23931,1.0,5
9,23931,1.125,5
10,23931,1.25,5
11,23931,1.375,5
12,23931,1.5,5
13,23931,1.625,5
14,23931,1.75,5
15,24189,1.875,4
16,24575,2.0,2
17,24323,2.125,2
18,23885,2.25,2
19,23636,2.375,2
20,23541,2.5,2
21,23299,2.625,2
22,23299,2.75,2
23,23299,2.875,2
24,23299,3.0,2
25,23299,3.125,2
26,23299,3.25,2
27,23299,3.375,2
28,23299,3.5,2
29,23299,3.625,2
30,23051,3.75,2
31,22903,3.875,2
32,22903,4.0,2
33,22903,4.125,2
34,22903,4.25,2
35,22903,4.375,2
36,22903,4.5,2
37,22903,4.625,2
38,22903,4.75,2
39,22903,4.875,2
40,22903,5.0,2
41,22903,5.125,2
42,22903,5.25,2
43,22903,5.375,2
44,22903,5.5,2
45,22903,5.625,2
46,22903,5.75,2
47,22903,5.875,2
48,22903,6.0,2
49,22903,6.125,2
50,22903,6.25,2
51,22903,6.375,2
52,22903,6.5,2
53,22903,6.625,2
54,22903,6.75,2
55,22903,6.875,2
56,22903,7.0,2
57,22903,7.125,2
58,22903,7.25,2
59,22903,7.375,2
60,22903,7.5,2
61,22903,7.625,2
62,22903,7.75,2
63,22903,7.875,2
64,22903,8.0,2
65,22903,8.125,2
66,22903,8.25,2
67,22903,8.375,2
68,22903,8.5,2
69,22903,8.625,2
70,22903,8.75,2
71,22903,8.875,2
72,22903,9.0,2
73,22903,9.125,2
74,22903,9.25,2
75,22903,9.375,2
76,22903,9.5,2
77,22903,9.625,2
78,22903,9.75,2
79,22903,9.875,2
80,27369,9.75,0
81,26556,9.625,0
82,26163,9.5,0
83,25896,9.375,0
84,25896,9.25,0
85,25896,9.125,0
86,25896,9.0,0
87,25896,8.875,0
88,25896,8.75,0
89,25896,8.625,0
90,25896,8.5,0
91,25896,8.375,0
92,25896,8.25,0
93,25896,8.125,0
94,25896,8.0,0
95,25896,7.875,0
96,25896,7.75,0
97,25896,7.625,0
98,25896,7.5,0
99,25896,7.375,0
100,24778,7.25,0
101,24778,7.125,0
102,24778,7.0,0
103,24778,6.875,0
104,24778,6.75,0
105,24778,6.625,0
106,24778,6.5,0
107,24778,6.375,0
108,24778,6.25,0
109,24757,6.125,0
110,24757,6.0,0
111,24757,5.875,0
112,24757,5.75,0
113,24757,5.625,0
114,24757,5.5,0
115,24757,5.375,0
116,24757,5.25,0
117,24757,5.125,0
118,24757,5.0,0
119,24757,4.875,0
120,24757,4.75,0
121,24757,4.625,0
122,24757,4.5,0
123,24757,4.375,0
124,24757,4.25,0
125,24757,4.125,0
126,24757,4.0,0
127,24757,3.875,0
128,24757,3.75,0
129,24757,3.625,0
130,24757,3.5,0
131,24757,3.375,0
132,24757,3.25,0
133,24757,3.125,0
134,24757,3.0,0
135,24757,2.875,0
136,24757,2.75,0
137,24757,2.625,0
138,24757,2.5,0
139,24757,2.375,0
140,24757,2.25,0
141,24757,2.125,0
142,24757,2.0,0
143,24757,1.875,0
144,24757,1.75,0
145,24757,1.625,0
146,24757,1.5,0
147,24757,1.375,0
148,24757,1.25,0
149,24757,1.125,0
150,24757,1.0,0
151,24757,0.875,0
152,24757,0.75,0
153,24757,0.625,0
154,24757,0.5,0
155,24757,0.375,0
156,24757,0.25,0
157,24757,0.125,0
158,24757,0.0,0
159,24757,0.0,0
160,24757,0.0,0
161,24757,0.0,0
162,24757,0.0,0
163,24757,0.0,0
164,24757,0.0,0
165,23423,0.125,14
166,22469,0.25,14
167,21763,0.375,14
168,21122,0.5,14
169,20593,0.625,16
170,20913,0.75,11
171,20913,0.875,11
172,20913,1.0,11
173,20913,1.125,11
174,20913,1.25,11
175,20913,1.375,11
176,20913,1.5,11
177,20913,1.625,11
178,20913,1.75,11
179,20913,1.875,11
180,20913,2.0,11
181,20913,2.125,11
182,20913,2.25,11
183,20913,2.375,11
184,20913,2.5,11
185,20913,2.625,11
186,20913,2.75,11
187,20913,2.875,11
188,20913,3.0,11
189,27310,2.875,0
190,26909,2.75,0
191,26453,2.625,0
192,26206,2.5,0
193,26056,2.375,0
194,25377,2.5,1
195,25102,2.375,0
196,25035,2.25,0
197,23935,2.375,2
198,23935,2.5,2
199,23935,2.625,2
200,23935,2.75,2
201,23935,2.875,2
202,23935,3.0,2
203,23935,3.125,2
204,23935,3.25,2
205,23935,3.375,2
206,25176,3.25,0
207,25080,3.125,0
208,25024,3.0,0
209,25024,2.875,0
210,25024,2.75,0
211,25024,2.625,0
212,25024,2.5,0
213,25024,2.375,0
214,25024,2.25,0
215,25024,2.125,0
216,25024,2.0,0
217,25024,1.875,0
218,25024,1.75,0
219,25024,1.625,0
220,25024,1.5,0
221,25024,1.375,0
222,25024,1.25,0
223,25024,1.125,0
224,25024,1.0,0
225,25024,0.875,0
226,25024,0.75,0
227,25024,0.625,0
228,25024,0.5,0
229,25024,0.375,0
230,25024,0.25,0
231,25024,0.125,0
232,24632,0.25,4
233,22777,0.375,6
234,22777,0.5,6
235,22777,0.625,6
236,22777,0.75,6
237,22777,0.875,6
238,22777,1.0,6
239,22777,1.125,6
240,22777,1.25,6
