neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
243750,232324,3073,229251,11426,38056,0,38056,Fri Jun 24 18:14:33 CEST 2011,Fri Jun 24 18:14:40 CEST 2011,6813,24691,24691.0,0.0,0
171990,165436,2178,163258,6554,27653,0,27653,Fri Jun 24 18:14:33 CEST 2011,Fri Jun 24 18:14:40 CEST 2011,6297,24579,24579.0,0.0,0
129090,123855,1755,122100,5235,20089,0,20089,Fri Jun 24 18:14:33 CEST 2011,Fri Jun 24 18:14:39 CEST 2011,5561,24944,24944.0,0.0,0
196560,189191,2576,186615,7369,35158,0,35158,Fri Jun 24 18:14:33 CEST 2011,Fri Jun 24 18:14:40 CEST 2011,6450,24736,24736.0,0.0,0
128700,123460,1752,121708,5240,20089,0,20089,Fri Jun 24 18:14:33 CEST 2011,Fri Jun 24 18:14:39 CEST 2011,5525,24944,24944.0,0.0,0
127140,122681,1629,121052,4459,19757,0,19757,Fri Jun 24 18:14:33 CEST 2011,Fri Jun 24 18:14:39 CEST 2011,5555,24553,24553.0,0.0,0
148980,142141,1930,140211,6839,20720,0,20720,Fri Jun 24 18:14:33 CEST 2011,Fri Jun 24 18:14:40 CEST 2011,6056,24073,24073.0,0.0,0
129090,123855,1755,122100,5235,20089,0,20089,Fri Jun 24 18:14:33 CEST 2011,Fri Jun 24 18:14:39 CEST 2011,5555,24944,24944.0,0.0,0
154440,148333,2036,146297,6107,28707,0,28707,Fri Jun 24 18:14:33 CEST 2011,Fri Jun 24 18:14:39 CEST 2011,5933,24757,24757.0,0.0,0
128700,123460,1752,121708,5240,20089,0,20089,Fri Jun 24 18:14:34 CEST 2011,Fri Jun 24 18:14:39 CEST 2011,5400,24944,24944.0,0.0,0
