neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
109230,104705,1751,102954,4525,17764,0,17764,Fri Jun 24 18:15:20 CEST 2011,Fri Jun 24 18:15:25 CEST 2011,4567,24944,24944.0,0.0,0
118140,113162,1776,111386,4978,21070,0,21070,Fri Jun 24 18:15:20 CEST 2011,Fri Jun 24 18:15:25 CEST 2011,4830,24757,24757.0,0.0,0
118140,113162,1776,111386,4978,21070,0,21070,Fri Jun 24 18:15:20 CEST 2011,Fri Jun 24 18:15:25 CEST 2011,4867,24757,24757.0,0.0,0
126390,120463,1927,118536,5927,18431,0,18431,Fri Jun 24 18:15:20 CEST 2011,Fri Jun 24 18:15:25 CEST 2011,4868,24073,24073.0,0.0,0
165990,159596,2502,157094,6394,33546,0,33546,Fri Jun 24 18:15:20 CEST 2011,Fri Jun 24 18:15:25 CEST 2011,5048,24073,24073.0,0.0,0
109230,104705,1751,102954,4525,17764,0,17764,Fri Jun 24 18:15:20 CEST 2011,Fri Jun 24 18:15:25 CEST 2011,4622,24944,24944.0,0.0,0
111870,106616,1643,104973,5254,19107,0,19107,Fri Jun 24 18:15:20 CEST 2011,Fri Jun 24 18:15:25 CEST 2011,4651,24482,24482.0,0.0,0
108900,104371,1748,102623,4529,17764,0,17764,Fri Jun 24 18:15:20 CEST 2011,Fri Jun 24 18:15:25 CEST 2011,4595,24944,24944.0,0.0,0
108900,104371,1748,102623,4529,17764,0,17764,Fri Jun 24 18:15:20 CEST 2011,Fri Jun 24 18:15:25 CEST 2011,4445,24944,24944.0,0.0,0
109230,104705,1751,102954,4525,17764,0,17764,Fri Jun 24 18:15:20 CEST 2011,Fri Jun 24 18:15:25 CEST 2011,4505,24944,24944.0,0.0,0
