iteration,cost,penalty,softConstraintViolations
1,25248,0.125,8
2,24832,0.25,6
3,24374,0.375,6
4,24374,0.5,6
5,24374,0.625,6
6,24374,0.75,6
7,24374,0.875,6
8,24374,1.0,6
9,24374,1.125,6
10,24374,1.25,6
11,24374,1.375,6
12,24374,1.5,6
13,24374,1.625,6
14,24374,1.75,6
15,24374,1.875,6
16,24374,2.0,6
17,24374,2.125,6
18,24374,2.25,6
19,24374,2.375,6
20,24374,2.5,6
21,24374,2.625,6
22,24374,2.75,6
23,24374,2.875,6
24,24374,3.0,6
25,24374,3.125,6
26,24374,3.25,6
27,24374,3.375,6
28,24374,3.5,6
29,24374,3.625,6
30,24374,3.75,6
31,24374,3.875,6
32,24374,4.0,6
33,24374,4.125,6
34,26928,4.25,3
35,26829,4.375,1
36,25630,4.5,1
37,26473,4.375,0
38,26473,4.25,0
39,26473,4.125,0
40,26473,4.0,0
41,26473,3.875,0
42,26473,3.75,0
43,26473,3.625,0
44,26473,3.5,0
45,26473,3.375,0
46,26473,3.25,0
47,26473,3.125,0
48,26473,3.0,0
49,26473,2.875,0
50,26473,2.75,0
51,26473,2.625,0
52,26473,2.5,0
53,26473,2.375,0
54,26473,2.25,0
55,26473,2.125,0
56,26473,2.0,0
57,26473,1.875,0
58,24859,2.0,3
59,24631,2.125,3
60,24358,2.25,3
61,24358,2.375,3
62,24358,2.5,3
63,24358,2.625,3
64,24358,2.75,3
65,24358,2.875,3
66,24358,3.0,3
67,24358,3.125,3
68,24358,3.25,3
69,24358,3.375,3
70,24358,3.5,3
71,25895,3.375,0
72,25895,3.25,0
73,25895,3.125,0
74,25895,3.0,0
75,25895,2.875,0
76,25895,2.75,0
77,25895,2.625,0
78,25895,2.5,0
79,25895,2.375,0
80,25895,2.25,0
81,25895,2.125,0
82,25895,2.0,0
83,25895,1.875,0
84,25895,1.75,0
85,25895,1.625,0
86,25895,1.5,0
87,25895,1.375,0
88,25895,1.25,0
89,25895,1.125,0
90,25895,1.0,0
91,25895,0.875,0
92,25895,0.75,0
93,25895,0.625,0
94,25228,0.75,4
95,24007,0.875,8
96,24007,1.0,7
97,23914,1.125,7
98,23792,1.25,7
99,23792,1.375,7
100,23792,1.5,7
101,23792,1.625,7
102,23792,1.75,7
103,23792,1.875,7
104,23792,2.0,7
105,23792,2.125,7
106,23792,2.25,7
107,25693,2.375,3
108,24660,2.5,4
109,24284,2.625,3
110,25265,2.5,0
111,25102,2.375,0
112,25102,2.25,0
113,25102,2.125,0
114,25102,2.0,0
115,25102,1.875,0
116,25102,1.75,0
117,25102,1.625,0
118,25102,1.5,0
119,25102,1.375,0
120,25102,1.25,0
121,25102,1.125,0
122,25102,1.0,0
123,25102,0.875,0
124,25102,0.75,0
125,25102,0.625,0
126,25102,0.5,0
127,25102,0.375,0
128,24421,0.5,3
129,24148,0.625,3
130,24148,0.75,3
131,24148,0.875,3
132,24148,1.0,3
133,24304,1.125,2
134,24304,1.25,2
135,24304,1.375,2
136,24304,1.5,2
137,24304,1.625,2
138,24304,1.75,2
139,24304,1.875,2
140,24304,2.0,2
141,24304,2.125,2
142,24304,2.25,2
143,24304,2.375,2
144,24304,2.5,2
145,24304,2.625,2
146,24304,2.75,2
147,24304,2.875,2
148,24304,3.0,2
149,24304,3.125,2
150,24304,3.25,2
151,24304,3.375,2
152,24304,3.5,2
153,24304,3.625,2
154,25999,3.5,0
155,25677,3.375,0
156,25512,3.25,0
157,25512,3.125,0
158,25512,3.0,0
159,25512,2.875,0
160,25512,2.75,0
161,25512,2.625,0
162,25512,2.5,0
163,25512,2.375,0
164,25512,2.25,0
165,25512,2.125,0
166,25512,2.0,0
167,25512,1.875,0
168,25512,1.75,0
169,25512,1.625,0
170,25512,1.5,0
171,25512,1.375,0
172,25512,1.25,0
173,25512,1.125,0
174,25512,1.0,0
175,25512,0.875,0
176,25512,0.75,0
177,24783,0.875,3
178,24652,1.0,3
179,24652,1.125,3
180,24652,1.25,3
181,24652,1.375,3
182,24652,1.5,3
183,24652,1.625,3
184,24652,1.75,3
185,24652,1.875,3
186,24652,2.0,3
187,25760,1.875,0
188,25760,1.75,0
189,25760,1.625,0
190,25760,1.5,0
191,25760,1.375,0
192,24937,1.5,2
193,24304,1.625,2
194,24304,1.75,2
195,24304,1.875,2
196,24304,2.0,2
197,24304,2.125,2
198,24304,2.25,2
199,24304,2.375,2
200,24304,2.5,2
201,24304,2.625,2
202,24304,2.75,2
203,24304,2.875,2
204,24304,3.0,2
205,24304,3.125,2
206,24304,3.25,2
207,24304,3.375,2
208,24304,3.5,2
209,24304,3.625,2
210,24304,3.75,2
211,24304,3.875,2
212,24304,4.0,2
213,24304,4.125,2
214,25999,4.0,0
215,25677,3.875,0
216,25512,3.75,0
217,25512,3.625,0
218,25512,3.5,0
219,25512,3.375,0
220,25512,3.25,0
221,25512,3.125,0
222,25512,3.0,0
223,25512,2.875,0
224,25512,2.75,0
225,25512,2.625,0
226,25512,2.5,0
227,25512,2.375,0
228,25512,2.25,0
229,25512,2.125,0
230,25512,2.0,0
231,25512,1.875,0
232,25512,1.75,0
233,25512,1.625,0
234,25512,1.5,0
235,25512,1.375,0
236,25512,1.25,0
237,25512,1.125,0
238,25512,1.0,0
239,24652,1.125,3
240,24652,1.25,3
241,24652,1.375,3
242,24652,1.5,3
243,24652,1.625,3
244,24652,1.75,3
245,24652,1.875,3
246,24652,2.0,3
247,24652,2.125,3
248,25760,2.0,0
249,25760,1.875,0
250,25760,1.75,0
251,25760,1.625,0
252,25760,1.5,0
253,24937,1.625,2
254,24304,1.75,2
255,24304,1.875,2
256,24304,2.0,2
257,24304,2.125,2
258,24304,2.25,2
259,24304,2.375,2
260,24304,2.5,2
261,24304,2.625,2
262,24304,2.75,2
263,24304,2.875,2
264,24304,3.0,2
265,24304,3.125,2
266,24304,3.25,2
267,24304,3.375,2
268,24304,3.5,2
269,24304,3.625,2
270,24304,3.75,2
271,24304,3.875,2
272,26139,3.75,0
273,26139,3.625,0
274,25999,3.5,0
