iteration,cost,penalty,softConstraintViolations
1,25155,0.125,7
2,24066,0.25,7
3,23878,0.375,7
4,22951,0.5,7
5,22808,0.625,8
6,22420,0.75,10
7,22264,0.875,10
8,21916,1.0,11
9,21941,1.125,10
10,20717,1.25,12
11,20613,1.375,12
12,20569,1.5,12
13,20569,1.625,12
14,20569,1.75,12
15,20569,1.875,12
16,20569,2.0,12
17,20569,2.125,12
18,20569,2.25,12
19,20569,2.375,12
20,20569,2.5,12
21,21333,2.625,10
22,21136,2.75,10
23,21952,2.875,8
24,21952,3.0,8
25,21952,3.125,8
26,21952,3.25,8
27,21952,3.375,8
28,22550,3.5,7
29,22340,3.625,7
30,25789,3.75,2
31,25889,3.875,1
32,25486,4.0,1
33,26412,3.875,0
34,26412,3.75,0
35,26412,3.625,0
36,26412,3.5,0
37,26412,3.375,0
38,26412,3.25,0
39,26412,3.125,0
40,26412,3.0,0
41,26412,2.875,0
42,26402,2.75,0
43,26402,2.625,0
44,26402,2.5,0
45,26402,2.375,0
46,26402,2.25,0
47,26402,2.125,0
48,26402,2.0,0
49,24423,2.125,4
50,24272,2.25,4
51,24028,2.375,4
52,22752,2.5,6
53,22752,2.625,5
54,22789,2.75,4
55,22673,2.875,4
56,22560,3.0,4
57,23640,3.125,2
58,23603,3.25,2
59,23603,3.375,2
60,23603,3.5,2
61,23603,3.625,2
62,23603,3.75,2
63,23603,3.875,2
64,23603,4.0,2
65,23603,4.125,2
66,23603,4.25,2
67,23603,4.375,2
68,23603,4.5,2
69,23603,4.625,2
70,23603,4.75,2
71,23603,4.875,2
72,23603,5.0,2
73,23603,5.125,2
74,23603,5.25,2
75,24750,5.125,0
76,24553,5.0,0
77,24553,4.875,0
78,24553,4.75,0
79,24553,4.625,0
80,24553,4.5,0
81,24553,4.375,0
82,24553,4.25,0
83,24553,4.125,0
84,24553,4.0,0
85,24553,3.875,0
86,24553,3.75,0
87,24553,3.625,0
88,24553,3.5,0
89,24553,3.375,0
90,24553,3.25,0
91,24553,3.125,0
92,24553,3.0,0
93,24553,2.875,0
94,24553,2.75,0
95,24553,2.625,0
96,24553,2.5,0
97,24553,2.375,0
98,24553,2.25,0
99,24553,2.125,0
100,24553,2.0,0
101,24553,1.875,0
102,24553,1.75,0
103,24553,1.625,0
104,24553,1.5,0
105,24553,1.375,0
106,24553,1.25,0
107,24553,1.125,0
108,24553,1.0,0
109,24553,0.875,0
110,24553,0.75,0
111,24553,0.625,0
112,24553,0.5,0
113,24553,0.375,0
114,24553,0.25,0
115,24553,0.125,0
116,24553,0.0,0
117,24553,0.0,0
118,24553,0.0,0
119,24553,0.0,0
120,24553,0.0,0
121,24553,0.0,0
122,24553,0.0,0
123,24553,0.0,0
124,24553,0.0,0
125,24025,0.125,6
126,22808,0.25,8
127,22250,0.375,10
128,21623,0.5,12
129,21714,0.625,11
130,21633,0.75,11
131,21633,0.875,11
132,21633,1.0,11
133,21633,1.125,11
134,21633,1.25,11
135,21633,1.375,11
136,21633,1.5,11
137,21633,1.625,11
138,21633,1.75,11
