neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
167250,161190,2264,158926,6060,24261,0,24261,Fri Jun 24 18:15:45 CEST 2011,Fri Jun 24 18:15:51 CEST 2011,6070,24553,24553.0,0.0,0
167250,161190,2264,158926,6060,24261,0,24261,Fri Jun 24 18:15:45 CEST 2011,Fri Jun 24 18:15:51 CEST 2011,5788,24553,24553.0,0.0,0
167250,161190,2264,158926,6060,24261,0,24261,Fri Jun 24 18:15:45 CEST 2011,Fri Jun 24 18:15:51 CEST 2011,6022,24553,24553.0,0.0,0
124125,118916,1751,117165,5209,19445,0,19445,Fri Jun 24 18:15:45 CEST 2011,Fri Jun 24 18:15:51 CEST 2011,5231,24944,24944.0,0.0,0
167250,161190,2263,158927,6060,24261,0,24261,Fri Jun 24 18:15:46 CEST 2011,Fri Jun 24 18:15:52 CEST 2011,5996,24553,24553.0,0.0,0
123750,118536,1749,116787,5214,19445,0,19445,Fri Jun 24 18:15:46 CEST 2011,Fri Jun 24 18:15:51 CEST 2011,5194,24944,24944.0,0.0,0
148500,142442,2040,140402,6058,27604,0,27604,Fri Jun 24 18:15:46 CEST 2011,Fri Jun 24 18:15:51 CEST 2011,5760,24757,24757.0,0.0,0
110250,105454,1378,104076,4796,16468,0,16468,Fri Jun 24 18:15:46 CEST 2011,Fri Jun 24 18:15:50 CEST 2011,4759,24922,24922.0,0.0,0
121875,117052,1665,115387,4823,20777,0,20777,Fri Jun 24 18:15:46 CEST 2011,Fri Jun 24 18:15:51 CEST 2011,5066,24553,24553.0,0.0,0
143625,136816,1931,134885,6809,20122,0,20122,Fri Jun 24 18:15:46 CEST 2011,Fri Jun 24 18:15:51 CEST 2011,5739,24073,24073.0,0.0,0
