neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
102600,101430,1578,99852,1170,27003,0,27003,Fri Jun 24 18:15:33 CEST 2011,Fri Jun 24 18:15:37 CEST 2011,4391,24073,24073.0,0.0,0
95400,94287,1469,92818,1113,24924,0,24924,Fri Jun 24 18:15:33 CEST 2011,Fri Jun 24 18:15:37 CEST 2011,4282,24073,24073.0,0.0,0
86700,85102,1413,83689,1598,19863,0,19863,Fri Jun 24 18:15:33 CEST 2011,Fri Jun 24 18:15:37 CEST 2011,4079,24691,24691.0,0.0,0
84300,83091,1356,81735,1209,20085,0,20085,Fri Jun 24 18:15:33 CEST 2011,Fri Jun 24 18:15:37 CEST 2011,3947,24553,24553.0,0.0,0
94200,93176,1459,91717,1024,24159,0,24159,Fri Jun 24 18:15:33 CEST 2011,Fri Jun 24 18:15:37 CEST 2011,4205,24073,24073.0,0.0,0
84300,83091,1356,81735,1209,20085,0,20085,Fri Jun 24 18:15:33 CEST 2011,Fri Jun 24 18:15:37 CEST 2011,3979,24553,24553.0,0.0,0
84600,83428,1408,82020,1172,20886,0,20886,Fri Jun 24 18:15:33 CEST 2011,Fri Jun 24 18:15:37 CEST 2011,4072,24691,24691.0,0.0,0
102600,101430,1578,99852,1170,27003,0,27003,Fri Jun 24 18:15:33 CEST 2011,Fri Jun 24 18:15:37 CEST 2011,4265,24073,24073.0,0.0,0
94200,93176,1459,91717,1024,24159,0,24159,Fri Jun 24 18:15:33 CEST 2011,Fri Jun 24 18:15:37 CEST 2011,4134,24073,24073.0,0.0,0
96000,94977,1464,93513,1023,24024,0,24024,Fri Jun 24 18:15:33 CEST 2011,Fri Jun 24 18:15:37 CEST 2011,4207,24073,24073.0,0.0,0
