iteration,cost,penalty,softConstraintViolations
1,25189,0.125,6
2,24722,0.25,6
3,24716,0.375,5
4,24572,0.5,5
5,23931,0.625,5
6,23968,0.75,5
7,23749,0.875,5
8,23461,1.0,6
9,23600,1.125,5
10,23861,1.25,3
11,23849,1.375,3
12,23849,1.5,3
13,23291,1.625,4
14,22759,1.75,4
15,22643,1.875,4
16,22744,2.0,4
17,22769,2.125,4
18,22865,2.25,4
19,22850,2.375,4
20,22840,2.5,4
21,22951,2.625,4
22,22951,2.75,4
23,22968,2.875,4
24,22961,3.0,4
25,22961,3.125,4
26,22968,3.25,4
27,22968,3.375,4
28,22979,3.5,4
29,22770,3.625,4
30,22620,3.75,4
31,22866,3.875,4
32,23603,4.0,3
33,23477,4.125,3
34,22749,4.25,3
35,22855,4.375,3
36,24885,4.5,1
37,25107,4.375,0
38,24957,4.25,0
39,24803,4.125,0
40,24691,4.0,0
41,24691,3.875,0
42,24803,3.75,0
43,24745,3.625,0
44,24745,3.5,0
45,24757,3.375,0
46,24757,3.25,0
47,24825,3.125,0
48,24819,3.0,0
49,23243,3.125,2
50,23051,3.25,2
51,22903,3.375,2
52,22903,3.5,2
53,23051,3.625,2
54,23243,3.75,2
55,24819,3.625,0
56,24825,3.5,0
57,24891,3.375,0
58,24778,3.25,0
59,24778,3.125,0
60,24825,3.0,0
61,24920,2.875,0
62,22950,3.0,2
63,23164,3.125,2
64,23649,3.25,2
65,23536,3.375,2
66,23299,3.5,2
67,23299,3.625,2
68,23403,3.75,2
69,23403,3.875,2
70,23511,4.0,2
71,23193,4.125,2
72,23115,4.25,2
73,23115,4.375,2
74,23193,4.5,2
75,25213,4.375,0
76,25078,4.25,0
77,24876,4.125,0
78,24876,4.0,0
79,25058,3.875,0
80,24777,3.75,0
81,24777,3.625,0
82,24815,3.5,0
83,24815,3.375,0
84,24973,3.25,0
85,24885,3.125,0
86,24885,3.0,0
87,24973,2.875,0
88,25240,2.75,0
89,25092,2.625,0
90,25086,2.5,0
91,23510,2.625,2
92,23510,2.75,2
93,23588,2.875,2
94,23790,3.0,2
95,23523,3.125,2
96,23523,3.25,2
97,23810,3.375,2
98,23414,3.5,2
99,23414,3.625,2
100,23434,3.75,2
101,23434,3.875,2
102,23051,4.0,2
103,22903,4.125,2
104,22903,4.25,2
105,24873,4.125,0
106,24691,4.0,0
107,24691,3.875,0
108,24803,3.75,0
109,24745,3.625,0
110,24745,3.5,0
111,24757,3.375,0
112,24757,3.25,0
113,24825,3.125,0
114,24819,3.0,0
115,23243,3.125,2
116,23243,3.25,2
117,23051,3.375,2
118,25045,3.25,0
119,24819,3.125,0
120,24825,3.0,0
121,24803,2.875,0
122,24778,2.75,0
123,24778,2.625,0
124,24825,2.5,0
125,22608,2.625,4
126,22950,2.75,2
127,23164,2.875,2
128,23649,3.0,2
129,23536,3.125,2
130,23299,3.25,2
131,23299,3.375,2
132,23403,3.5,2
133,23403,3.625,2
134,23511,3.75,2
135,23193,3.875,2
136,23115,4.0,2
137,23115,4.125,2
138,23193,4.25,2
139,25213,4.125,0
140,25078,4.0,0
141,24876,3.875,0
142,24876,3.75,0
143,25058,3.625,0
144,24777,3.5,0
145,24777,3.375,0
146,24815,3.25,0
147,24815,3.125,0
148,24973,3.0,0
149,24885,2.875,0
150,24885,2.75,0
151,24973,2.625,0
152,25240,2.5,0
153,25092,2.375,0
154,23281,2.5,3
155,23510,2.625,2
156,23510,2.75,2
157,23588,2.875,2
158,23790,3.0,2
159,23523,3.125,2
160,23523,3.25,2
161,23810,3.375,2
162,23414,3.5,2
163,22903,3.625,2
164,22903,3.75,2
165,24873,3.625,0
166,24691,3.5,0
167,24691,3.375,0
168,24803,3.25,0
169,24745,3.125,0
170,24745,3.0,0
171,24757,2.875,0
172,24757,2.75,0
173,24825,2.625,0
174,24819,2.5,0
175,23243,2.625,2
176,23051,2.75,2
177,23051,2.875,2
178,23243,3.0,2
179,23414,3.125,2
180,23434,3.25,2
181,23434,3.375,2
182,23505,3.5,2
183,23505,3.625,2
184,23536,3.75,2
185,23299,3.875,2
186,23299,4.0,2
187,23403,4.125,2
188,23403,4.25,2
189,25443,4.125,0
190,24757,4.0,0
191,24757,3.875,0
192,24932,3.75,0
193,24778,3.625,0
194,24778,3.5,0
195,24803,3.375,0
196,24825,3.25,0
197,24819,3.125,0
198,25039,3.0,0
199,24901,2.875,0
200,24901,2.75,0
201,25039,2.625,0
202,25304,2.5,0
203,25156,2.375,0
204,24899,2.25,0
205,24899,2.125,0
206,24957,2.0,0
207,22907,2.125,4
208,23057,2.25,3
209,22855,2.375,3
210,22749,2.5,3
211,22946,2.625,3
212,23163,2.75,3
213,22850,2.875,3
214,22976,3.0,3
215,22988,3.125,3
216,23042,3.25,3
217,23062,3.375,3
218,25139,3.25,0
219,25061,3.125,0
220,25059,3.0,0
221,25107,2.875,0
222,25198,2.75,0
223,25086,2.625,0
224,24691,2.5,0
225,23115,2.625,2
226,22903,2.75,2
227,22903,2.875,2
228,22950,3.0,2
229,23164,3.125,2
230,23051,3.25,2
231,23051,3.375,2
232,23243,3.5,2
233,23243,3.625,2
234,23115,3.75,2
235,24691,3.625,0
236,24803,3.5,0
237,24745,3.375,0
238,24745,3.25,0
239,24757,3.125,0
240,24757,3.0,0
