neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
21150,20717,1407,19310,433,5985,0,5985,Fri Jun 24 18:16:09 CEST 2011,Fri Jun 24 18:16:10 CEST 2011,945,24553,24553.0,0.0,0
21150,20676,1408,19268,474,6370,0,6370,Fri Jun 24 18:16:10 CEST 2011,Fri Jun 24 18:16:11 CEST 2011,1144,24691,24691.0,0.0,0
21675,21046,1416,19630,629,6080,0,6080,Fri Jun 24 18:16:10 CEST 2011,Fri Jun 24 18:16:11 CEST 2011,1172,24691,24691.0,0.0,0
25650,25161,1581,23580,489,8423,0,8423,Fri Jun 24 18:16:10 CEST 2011,Fri Jun 24 18:16:11 CEST 2011,1297,24073,24073.0,0.0,0
21675,21046,1416,19630,629,6080,0,6080,Fri Jun 24 18:16:10 CEST 2011,Fri Jun 24 18:16:11 CEST 2011,1196,24691,24691.0,0.0,0
21225,20612,1378,19234,613,6060,0,6060,Fri Jun 24 18:16:10 CEST 2011,Fri Jun 24 18:16:11 CEST 2011,1151,24691,24691.0,0.0,0
24000,23510,1466,22044,490,7548,0,7548,Fri Jun 24 18:16:10 CEST 2011,Fri Jun 24 18:16:11 CEST 2011,1257,24073,24073.0,0.0,0
23400,22932,1401,21531,468,7550,0,7550,Fri Jun 24 18:16:10 CEST 2011,Fri Jun 24 18:16:11 CEST 2011,1251,24073,24073.0,0.0,0
21225,20612,1378,19234,613,6060,0,6060,Fri Jun 24 18:16:10 CEST 2011,Fri Jun 24 18:16:11 CEST 2011,1193,24691,24691.0,0.0,0
21225,20612,1378,19234,613,6060,0,6060,Fri Jun 24 18:16:10 CEST 2011,Fri Jun 24 18:16:11 CEST 2011,1117,24691,24691.0,0.0,0
