iteration,cost,penalty,softConstraintViolations
1,24669,0.125,8
2,23934,0.25,8
3,23343,0.375,8
4,22977,0.5,9
5,22805,0.625,9
6,21867,0.75,13
7,21521,0.875,13
8,21274,1.0,13
9,20888,1.125,13
10,20860,1.25,13
11,20730,1.375,14
12,20746,1.5,14
13,21007,1.625,12
14,21221,1.75,11
15,21337,1.875,11
16,21118,2.0,12
17,20992,2.125,12
18,21450,2.25,11
19,21346,2.375,11
20,23653,2.5,5
21,23191,2.625,5
22,23044,2.75,5
23,25273,2.875,1
24,25389,3.0,1
25,25561,3.125,1
26,25408,3.25,1
27,25497,3.375,1
28,25578,3.5,1
29,25735,3.625,1
30,25773,3.75,1
31,25901,3.875,1
32,25781,4.0,1
33,25854,4.125,1
34,25829,4.25,1
35,25713,4.375,1
36,26305,4.25,0
37,25260,4.375,1
38,25222,4.5,1
39,25197,4.625,1
40,26031,4.5,0
41,25341,4.375,0
42,25314,4.25,0
43,24895,4.125,0
44,25099,4.0,0
45,24954,3.875,0
46,25105,3.75,0
47,25208,3.625,0
48,25186,3.5,0
49,25065,3.375,0
50,24875,3.25,0
51,24680,3.125,0
52,24800,3.0,0
53,24875,2.875,0
54,24912,2.75,0
55,24912,2.625,0
56,23870,2.75,2
57,24324,2.625,0
58,24122,2.5,0
59,24174,2.375,0
60,24414,2.25,0
61,24362,2.125,0
62,24324,2.0,0
63,24122,1.875,0
64,24174,1.75,0
65,24414,1.625,0
66,24362,1.5,0
67,24324,1.375,0
68,24122,1.25,0
69,24085,1.125,0
70,24211,1.0,0
71,24174,0.875,0
72,24414,0.75,0
73,24362,0.625,0
74,24324,0.5,0
75,24122,0.375,0
76,24085,0.25,0
77,23829,0.375,6
78,23260,0.5,8
79,23068,0.625,8
80,23216,0.75,5
81,23732,0.875,3
82,23732,1.0,2
83,23896,1.125,2
84,23684,1.25,2
85,23876,1.375,2
86,24024,1.5,1
87,24310,1.375,0
88,24396,1.25,0
89,24465,1.125,0
90,24073,1.0,0
91,24101,0.875,0
92,24128,0.75,0
93,24110,0.625,0
94,24075,0.5,0
95,24112,0.375,0
96,24160,0.25,0
97,24122,0.125,0
98,23510,0.25,4
99,23483,0.375,6
100,23843,0.5,3
101,23870,0.625,2
102,23983,0.75,2
103,23722,0.875,4
104,23861,1.0,2
105,24387,0.875,0
106,24349,0.75,0
107,24331,0.625,0
108,24306,0.5,0
109,24335,0.375,0
110,24362,0.25,0
111,24324,0.125,0
112,23870,0.25,2
113,23510,0.375,4
114,23483,0.5,6
115,23843,0.625,3
116,24297,0.75,1
117,24335,0.875,1
118,24372,0.75,0
119,24122,0.625,0
120,24174,0.5,0
121,24414,0.375,0
122,24362,0.25,0
123,24111,0.375,2
124,24118,0.5,2
125,23964,0.625,2
126,24324,0.5,0
127,24362,0.375,0
128,24122,0.25,0
129,23861,0.375,2
130,23722,0.5,4
131,23983,0.625,2
132,24447,0.5,0
133,24324,0.375,0
134,24122,0.25,0
135,24160,0.125,0
136,24101,0.0,0
137,24073,0.0,0
