neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
97635,96120,1378,94742,1515,22900,0,22900,Fri Jun 24 18:15:57 CEST 2011,Fri Jun 24 18:16:01 CEST 2011,4315,24691,24691.0,0.0,0
97290,96077,1407,94670,1213,21591,0,21591,Fri Jun 24 18:15:57 CEST 2011,Fri Jun 24 18:16:01 CEST 2011,4214,24553,24553.0,0.0,0
121095,119545,1721,117824,1550,29292,0,29292,Fri Jun 24 18:15:57 CEST 2011,Fri Jun 24 18:16:02 CEST 2011,4678,24489,24489.0,0.0,0
96945,95673,1356,94317,1272,22772,0,22772,Fri Jun 24 18:15:57 CEST 2011,Fri Jun 24 18:16:01 CEST 2011,4078,24553,24553.0,0.0,0
116955,115646,1589,114057,1309,29859,0,29859,Fri Jun 24 18:15:57 CEST 2011,Fri Jun 24 18:16:02 CEST 2011,4681,24073,24073.0,0.0,0
121095,119545,1721,117824,1550,29292,0,29292,Fri Jun 24 18:15:57 CEST 2011,Fri Jun 24 18:16:02 CEST 2011,4690,24489,24489.0,0.0,0
109710,108562,1470,107092,1148,28283,0,28283,Fri Jun 24 18:15:57 CEST 2011,Fri Jun 24 18:16:02 CEST 2011,4591,24073,24073.0,0.0,0
117990,116781,1581,115200,1209,30657,0,30657,Fri Jun 24 18:15:57 CEST 2011,Fri Jun 24 18:16:02 CEST 2011,4588,24073,24073.0,0.0,0
110400,109352,1466,107886,1048,27214,0,27214,Fri Jun 24 18:15:57 CEST 2011,Fri Jun 24 18:16:02 CEST 2011,4544,24073,24073.0,0.0,0
109710,108562,1471,107091,1148,28283,0,28283,Fri Jun 24 18:15:57 CEST 2011,Fri Jun 24 18:16:02 CEST 2011,4557,24073,24073.0,0.0,0
