iteration,cost,penalty,softConstraintViolations
1,25012,0.125,8
2,24823,0.25,8
3,24798,0.375,7
4,24788,0.5,7
5,24549,0.625,7
6,24515,0.75,5
7,24374,0.875,6
8,24487,1.0,6
9,24779,1.125,5
10,25522,1.25,3
11,25313,1.375,3
12,25732,1.5,1
13,25873,1.625,1
14,25937,1.75,1
15,25523,1.875,2
16,25818,2.0,2
17,26237,2.125,1
18,26562,2.25,1
19,26055,2.375,1
20,26139,2.5,1
21,25961,2.625,1
22,26211,2.75,1
23,26668,2.625,0
24,26616,2.5,0
25,26341,2.375,0
26,26066,2.5,1
27,26112,2.625,1
28,26256,2.75,1
29,25992,2.875,1
30,26017,3.0,1
31,26167,3.125,1
32,26668,3.0,0
33,26864,2.875,0
34,26764,2.75,0
35,26882,2.625,0
36,26928,2.5,0
37,26885,2.375,0
38,26635,2.25,0
39,25816,2.375,1
40,25884,2.5,1
41,25836,2.375,0
42,25541,2.25,0
43,25900,2.125,0
44,26072,2.0,0
45,26052,2.125,1
46,25900,2.25,1
47,25905,2.375,1
48,25973,2.5,1
49,25400,2.625,1
50,26042,2.5,0
51,26183,2.375,0
52,26402,2.25,0
53,26274,2.125,0
54,25772,2.25,1
55,26179,2.375,1
56,26626,2.25,0
57,26384,2.125,0
58,26027,2.25,1
59,26347,2.125,0
60,26555,2.0,0
61,26353,1.875,0
62,26398,1.75,0
63,26480,1.625,0
64,26485,1.5,0
65,26560,1.375,0
66,26574,1.25,0
67,26619,1.125,0
68,26781,1.0,0
69,26734,0.875,0
70,26580,0.75,0
71,26293,0.625,0
72,26519,0.5,0
73,26767,0.375,0
74,26556,0.25,0
75,26666,0.125,0
76,26413,0.0,0
77,26298,0.125,2
78,26241,0.25,4
79,25199,0.375,4
80,24927,0.5,5
81,24751,0.625,6
82,24529,0.75,6
83,24566,0.875,6
84,25121,1.0,3
85,24902,1.125,5
86,25347,1.25,3
87,25212,1.375,4
88,25911,1.5,2
89,25623,1.625,3
90,25767,1.75,3
91,24844,1.875,4
92,25541,2.0,2
93,25494,2.125,1
94,25600,2.25,1
95,25850,2.375,1
96,25724,2.5,1
97,26179,2.625,1
98,26563,2.5,0
99,26561,2.375,0
100,26042,2.5,1
101,25926,2.625,1
102,26723,2.5,0
103,26681,2.375,0
104,26676,2.25,0
105,26666,2.125,0
106,25236,2.25,2
107,25253,2.375,2
108,25406,2.5,2
109,25352,2.625,2
110,26744,2.5,0
111,26663,2.375,0
112,26661,2.25,0
113,26762,2.125,0
114,26715,2.0,0
115,26718,1.875,0
116,26546,2.0,1
117,26196,2.125,1
118,26726,2.0,0
119,25205,2.125,2
120,25340,2.25,2
121,25618,2.375,2
122,25483,2.5,2
123,26870,2.375,0
124,26764,2.25,0
125,26620,2.125,0
126,26694,2.0,0
127,26828,1.875,0
128,27035,1.75,0
129,26901,1.625,0
130,27073,1.5,0
131,27179,1.375,0
132,27293,1.25,0
133,26967,1.125,0
134,26951,1.0,0
135,26295,1.125,2
136,27036,1.0,0
137,26461,0.875,0
138,25949,1.0,1
139,25827,1.125,1
140,25815,1.25,1
141,25760,1.375,2
142,25442,1.5,2
143,25300,1.625,3
144,26002,1.5,0
145,25882,1.375,0
146,25677,1.25,0
147,25465,1.125,0
148,25479,1.0,0
149,25545,0.875,0
150,25186,1.0,1
151,25344,1.125,1
152,25620,1.0,0
153,25686,0.875,0
154,25893,0.75,0
155,25726,0.625,0
156,25616,0.5,0
157,25722,0.375,0
158,25591,0.5,1
159,25134,0.625,4
160,23997,0.75,7
161,23959,0.875,7
162,23820,1.0,7
163,22894,1.125,8
164,22062,1.25,8
165,22116,1.375,8
166,22227,1.5,8
167,22244,1.625,8
168,23029,1.75,6
169,23285,1.875,6
170,23441,2.0,6
171,23195,2.125,6
172,22262,2.25,8
173,22511,2.375,8
174,23321,2.5,6
175,23365,2.625,6
176,23703,2.75,6
177,23354,2.875,6
178,23184,3.0,6
179,24262,3.125,4
180,24166,3.25,4
181,24919,3.375,2
182,25375,3.5,1
183,24785,3.625,1
184,24699,3.75,1
185,24924,3.875,1
186,24876,4.0,1
187,25099,4.125,1
188,25146,4.25,1
189,25080,4.375,1
190,25177,4.5,1
191,24920,4.625,1
192,24910,4.75,1
193,25904,4.625,0
194,25801,4.5,0
195,25890,4.375,0
196,25880,4.25,0
197,25870,4.125,0
198,25914,4.0,0
199,25907,3.875,0
200,25986,3.75,0
201,26024,3.625,0
202,26058,3.5,0
203,26096,3.375,0
204,26062,3.25,0
205,26259,3.125,0
206,26115,3.0,0
207,26171,2.875,0
208,25282,3.0,1
209,25122,3.125,1
210,25266,3.25,1
211,25259,3.375,1
212,25201,3.5,1
213,25183,3.625,1
214,25413,3.75,1
215,25450,3.875,1
216,25058,4.0,1
217,25238,4.125,1
218,25430,4.25,1
219,25394,4.375,1
220,25610,4.5,1
221,25592,4.625,1
222,25601,4.75,1
223,25763,4.875,1
224,25824,5.0,1
