neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
38400,36633,2698,33935,1767,8772,0,8772,Fri Jun 24 18:14:51 CEST 2011,Fri Jun 24 18:14:53 CEST 2011,1396,25215,25215.0,0.0,0
21780,20901,1577,19324,879,4562,0,4562,Fri Jun 24 18:14:51 CEST 2011,Fri Jun 24 18:14:52 CEST 2011,988,24799,24799.0,0.0,0
23700,22737,1771,20966,963,5378,0,5378,Fri Jun 24 18:14:51 CEST 2011,Fri Jun 24 18:14:52 CEST 2011,1145,24984,24984.0,0.0,0
21780,20901,1577,19324,879,4562,0,4562,Fri Jun 24 18:14:51 CEST 2011,Fri Jun 24 18:14:52 CEST 2011,1064,24799,24799.0,0.0,0
38400,36633,2697,33936,1767,8772,0,8772,Fri Jun 24 18:14:51 CEST 2011,Fri Jun 24 18:14:53 CEST 2011,1342,25215,25215.0,0.0,0
18360,17801,1384,16417,559,4323,0,4323,Fri Jun 24 18:14:51 CEST 2011,Fri Jun 24 18:14:52 CEST 2011,998,25039,25039.0,0.0,0
19920,19195,1416,17779,725,4264,0,4264,Fri Jun 24 18:14:51 CEST 2011,Fri Jun 24 18:14:52 CEST 2011,943,25018,25018.0,0.0,0
17820,17265,1311,15954,555,3814,0,3814,Fri Jun 24 18:14:51 CEST 2011,Fri Jun 24 18:14:52 CEST 2011,925,24799,24799.0,0.0,0
21780,20901,1577,19324,879,4562,0,4562,Fri Jun 24 18:14:51 CEST 2011,Fri Jun 24 18:14:52 CEST 2011,994,24799,24799.0,0.0,0
40680,39220,2938,36282,1460,9101,0,9101,Fri Jun 24 18:14:51 CEST 2011,Fri Jun 24 18:14:53 CEST 2011,1293,25018,25018.0,0.0,0
