iteration,cost,penalty,softConstraintViolations
1,25925,0.125,8
2,23914,0.25,7
3,23792,0.375,7
4,23886,0.5,6
5,23323,0.625,6
6,22962,0.75,6
7,22780,0.875,6
8,22780,1.0,5
9,22790,1.125,5
10,22906,1.25,5
11,22593,1.375,5
12,22892,1.5,4
13,22631,1.625,4
14,22732,1.75,4
15,22781,1.875,4
16,22771,2.0,4
17,22670,2.125,4
18,22857,2.25,4
19,22958,2.375,4
20,22673,2.5,4
21,22560,2.625,4
22,23640,2.75,2
23,23603,2.875,2
24,23684,3.0,2
25,23647,3.125,2
26,22577,3.25,4
27,22668,3.375,4
28,22850,3.5,4
29,22860,3.625,4
30,23361,3.75,3
31,23329,3.875,3
32,23432,4.0,3
33,25185,4.125,1
34,26114,4.0,0
35,25407,3.875,0
36,25449,3.75,0
37,23676,3.875,2
38,23654,4.0,2
39,25674,3.875,0
40,25437,3.75,0
41,25356,3.625,0
42,25283,3.5,0
43,25389,3.375,0
44,25472,3.25,0
45,25440,3.125,0
46,25647,3.0,0
47,25475,2.875,0
48,25507,2.75,0
49,25411,2.625,0
50,23588,2.75,3
51,23366,2.875,3
52,23209,3.0,3
53,23247,3.125,3
54,23333,3.25,3
55,23295,3.375,3
56,23322,3.5,3
57,23300,3.625,3
58,23313,3.75,3
59,23342,3.875,3
60,23238,4.0,3
61,23276,4.125,3
62,23377,4.25,3
63,23401,4.375,3
64,23439,4.5,3
65,23415,4.625,3
66,23442,4.75,3
67,23404,4.875,3
68,24410,5.0,2
69,23636,5.125,2
70,24008,5.25,2
71,23989,5.375,2
72,24021,5.5,2
73,24243,5.625,2
74,26028,5.5,0
75,25777,5.375,0
76,25470,5.25,0
77,25122,5.125,0
78,25487,5.0,0
79,25568,4.875,0
80,25467,4.75,0
81,25588,4.625,0
82,25784,4.5,0
83,25666,4.375,0
84,25651,4.25,0
85,25613,4.125,0
86,25623,4.0,0
87,23641,4.125,2
88,23632,4.25,2
89,23622,4.375,2
90,25755,4.25,0
91,25716,4.125,0
92,25527,4.0,0
93,23754,4.125,2
94,23140,4.25,2
95,23488,4.375,2
96,23728,4.5,2
97,25710,4.375,0
98,25709,4.25,0
99,25860,4.125,0
100,25626,4.0,0
101,23841,4.125,2
102,23824,4.25,2
103,25854,4.125,0
104,25967,4.0,0
105,25765,3.875,0
106,25766,3.75,0
107,23746,3.875,2
108,23758,4.0,2
109,23780,4.125,2
110,25913,4.0,0
111,25778,3.875,0
112,25885,3.75,0
113,25732,3.625,0
114,25682,3.5,0
115,25389,3.375,0
116,25283,3.25,0
117,25356,3.125,0
118,23780,3.25,2
119,23744,3.375,2
120,23830,3.5,2
121,23861,3.625,2
122,23654,3.75,2
123,25407,3.625,0
124,25449,3.5,0
125,23676,3.625,2
126,23812,3.75,2
127,25597,3.625,0
128,25572,3.5,0
129,23834,3.625,2
130,25854,3.5,0
131,25674,3.375,0
132,25437,3.25,0
133,25475,3.125,0
134,25507,3.0,0
135,25411,2.875,0
136,23588,3.0,3
137,23366,3.125,3
138,23209,3.25,3
139,23247,3.375,3
140,23333,3.5,3
141,23295,3.625,3
142,23322,3.75,3
143,23300,3.875,3
144,23313,4.0,3
145,23342,4.125,3
146,26012,4.0,0
147,25573,3.875,0
148,25573,3.75,0
149,25600,3.625,0
150,25589,3.5,0
151,25450,3.375,0
152,25450,3.25,0
153,25589,3.125,0
154,25564,3.0,0
155,25564,2.875,0
156,25585,2.75,0
157,25648,2.625,0
158,25547,2.5,0
159,25686,2.375,0
160,25697,2.25,0
161,25818,2.125,0
162,25755,2.0,0
163,25734,1.875,0
164,25601,1.75,0
165,25601,1.625,0
166,23966,1.75,3
167,23360,1.875,3
168,23338,2.0,3
169,22890,2.125,4
170,22964,2.25,4
171,23351,2.375,3
172,23380,2.5,3
173,23276,2.625,3
174,23238,2.75,3
175,23415,2.875,3
176,23377,3.0,3
177,23401,3.125,3
178,23439,3.25,3
179,23464,3.375,3
180,23479,3.5,3
181,23676,3.625,2
182,23654,3.75,2
183,25407,3.625,0
184,25449,3.5,0
185,25597,3.375,0
186,23812,3.5,2
187,23834,3.625,2
188,23780,3.75,2
189,25356,3.625,0
190,25283,3.5,0
191,25389,3.375,0
192,25472,3.25,0
193,25440,3.125,0
194,25647,3.0,0
195,25475,2.875,0
196,25437,2.75,0
197,23861,2.875,2
198,23753,3.0,2
199,24007,3.125,2
200,25689,3.0,0
201,25536,2.875,0
202,25930,2.75,0
203,24147,2.875,2
204,23649,3.0,3
205,23878,3.125,3
206,23755,3.25,3
207,23432,3.375,3
208,23830,3.5,2
209,23744,3.625,2
210,25714,3.5,0
211,25771,3.375,0
212,24556,3.25,0
213,24546,3.125,0
214,24762,3.0,0
215,24901,2.875,0
216,24800,2.75,0
217,24680,2.625,0
218,24875,2.5,0
219,24875,2.375,0
220,24912,2.25,0
221,24912,2.125,0
222,23870,2.25,2
223,24324,2.125,0
224,24122,2.0,0
225,24174,1.875,0
226,24414,1.75,0
227,24362,1.625,0
228,24324,1.5,0
229,24122,1.375,0
230,24174,1.25,0
231,24414,1.125,0
232,24362,1.0,0
233,24324,0.875,0
234,24122,0.75,0
235,24085,0.625,0
236,24211,0.5,0
237,24174,0.375,0
238,24414,0.25,0
239,24101,0.375,4
240,23671,0.5,6
241,23538,0.625,6
242,24024,0.75,2
243,24024,0.875,1
244,24024,1.0,1
245,24310,0.875,0
246,24396,0.75,0
247,24465,0.625,0
248,24073,0.5,0
249,24101,0.375,0
250,24128,0.25,0
251,24110,0.125,0
252,24075,0.0,0
253,24112,0.0,0
254,24160,0.0,0
255,24122,0.0,0
256,23510,0.125,4
257,23483,0.25,6
258,23843,0.375,3
259,23870,0.5,2
260,23983,0.625,2
261,23722,0.75,4
262,23861,0.875,2
263,23964,1.0,2
264,24351,0.875,0
265,24389,0.75,0
266,24341,0.625,0
267,24304,0.5,0
268,24319,0.375,0
269,24356,0.25,0
270,24118,0.375,2
271,23798,0.5,4
272,23722,0.625,4
273,23510,0.75,4
274,24122,0.625,0
275,24160,0.5,0
276,24101,0.375,0
277,24073,0.25,0
278,24110,0.125,0
279,24075,0.0,0
280,24112,0.0,0
281,24334,0.0,0
282,24316,0.0,0
283,24133,0.0,0
284,24095,0.125,2
285,24201,0.25,2
286,24174,0.125,0
287,23924,0.25,4
288,23558,0.375,4
289,23128,0.5,6
290,22842,0.625,7
291,22958,0.75,8
292,23736,0.875,4
293,23594,1.0,4
294,23871,1.125,2
295,24073,1.25,2
296,24224,1.375,2
297,24166,1.5,2
298,24146,1.625,2
299,24487,1.5,0
300,24174,1.375,0
301,24122,1.25,0
302,24324,1.125,0
303,24362,1.0,0
304,24122,0.875,0
305,24174,0.75,0
306,24414,0.625,0
307,24487,0.5,0
308,24174,0.375,0
309,24122,0.25,0
310,24085,0.125,0
311,23829,0.25,6
312,23260,0.375,8
313,23068,0.5,8
314,23216,0.625,5
315,23732,0.75,3
316,23732,0.875,2
317,23896,1.0,2
318,23684,1.125,2
319,23876,1.25,2
320,24024,1.375,1
321,24310,1.25,0
322,24396,1.125,0
323,24465,1.0,0
324,24073,0.875,0
325,24101,0.75,0
326,24128,0.625,0
327,24110,0.5,0
328,24075,0.375,0
329,24112,0.25,0
330,24160,0.125,0
331,24122,0.0,0
332,23510,0.125,4
333,23483,0.25,6
334,23843,0.375,3
335,23870,0.5,2
336,23983,0.625,2
337,23722,0.75,4
338,23861,0.875,2
339,23964,1.0,2
340,24351,0.875,0
341,24389,0.75,0
342,24341,0.625,0
343,24304,0.5,0
344,24319,0.375,0
345,24085,0.25,0
346,24122,0.125,0
347,24174,0.0,0
348,24073,0.125,4
349,23605,0.25,6
350,23543,0.375,6
351,23260,0.5,8
352,23068,0.625,8
353,23216,0.75,5
354,23732,0.875,3
355,23732,1.0,2
356,23896,1.125,2
357,23684,1.25,2
