neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
92730,91653,1386,90267,1077,19599,0,19599,Fri Jun 24 18:14:40 CEST 2011,Fri Jun 24 18:14:44 CEST 2011,4289,24553,24553.0,0.0,0
105600,104756,1445,103311,844,25286,0,25286,Fri Jun 24 18:14:40 CEST 2011,Fri Jun 24 18:14:45 CEST 2011,4652,24073,24073.0,0.0,0
118140,117109,1664,115445,1031,29106,0,29106,Fri Jun 24 18:14:40 CEST 2011,Fri Jun 24 18:14:45 CEST 2011,4687,24073,24073.0,0.0,0
104940,104011,1464,102547,929,26281,0,26281,Fri Jun 24 18:14:40 CEST 2011,Fri Jun 24 18:14:45 CEST 2011,4666,24073,24073.0,0.0,0
102300,101424,1439,99985,876,23922,0,23922,Fri Jun 24 18:14:40 CEST 2011,Fri Jun 24 18:14:45 CEST 2011,4564,24073,24073.0,0.0,0
164010,162282,2462,159820,1728,38496,0,38496,Fri Jun 24 18:14:40 CEST 2011,Fri Jun 24 18:14:45 CEST 2011,5033,24073,24073.0,0.0,0
93390,92143,1391,90752,1247,21314,0,21314,Fri Jun 24 18:14:40 CEST 2011,Fri Jun 24 18:14:45 CEST 2011,4347,24691,24691.0,0.0,0
102300,101424,1439,99985,876,23922,0,23922,Fri Jun 24 18:14:40 CEST 2011,Fri Jun 24 18:14:45 CEST 2011,4454,24073,24073.0,0.0,0
93390,92143,1391,90752,1247,21314,0,21314,Fri Jun 24 18:14:40 CEST 2011,Fri Jun 24 18:14:45 CEST 2011,4367,24691,24691.0,0.0,0
105600,104756,1445,103311,844,25286,0,25286,Fri Jun 24 18:14:40 CEST 2011,Fri Jun 24 18:14:45 CEST 2011,4562,24073,24073.0,0.0,0
