tabulistlen,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
0,1107600,1107600,15016,1092584,0,305369,0,305369,Fri Jun 24 18:23:27 CEST 2011,Fri Jun 24 18:23:31 CEST 2011,3608,24691,24691.0,0.0,0
10,1324830,1280798,16233,1264565,44032,274854,0,274854,Fri Jun 24 18:23:31 CEST 2011,Fri Jun 24 18:23:36 CEST 2011,4873,24122,24122.0,0.0,0
20,1775670,1704311,21902,1682409,71359,338678,0,338678,Fri Jun 24 18:23:36 CEST 2011,Fri Jun 24 18:23:42 CEST 2011,6525,24073,24073.0,0.0,0
30,1766700,1694144,21477,1672667,72556,333878,0,333878,Fri Jun 24 18:23:42 CEST 2011,Fri Jun 24 18:23:50 CEST 2011,7874,24073,24073.0,0.0,0
40,1607190,1541700,19774,1521926,65490,260553,0,260553,Fri Jun 24 18:23:50 CEST 2011,Fri Jun 24 18:23:57 CEST 2011,7275,24073,24073.0,0.0,0
50,1766310,1692805,21883,1670922,73505,298962,0,298962,Fri Jun 24 18:23:57 CEST 2011,Fri Jun 24 18:24:06 CEST 2011,8121,24073,24073.0,0.0,0
60,1425450,1365241,17864,1347377,60209,233465,0,233465,Fri Jun 24 18:24:06 CEST 2011,Fri Jun 24 18:24:13 CEST 2011,7534,24073,24073.0,0.0,0
70,1600560,1526256,20359,1505897,74304,258187,0,258187,Fri Jun 24 18:24:13 CEST 2011,Fri Jun 24 18:24:22 CEST 2011,9083,24122,24122.0,0.0,0
80,1575600,1510492,19730,1490762,65108,260985,0,260985,Fri Jun 24 18:24:22 CEST 2011,Fri Jun 24 18:24:33 CEST 2011,10297,24073,24073.0,0.0,0
90,1457040,1397236,18400,1378836,59804,237567,0,237567,Fri Jun 24 18:24:33 CEST 2011,Fri Jun 24 18:24:42 CEST 2011,9703,24073,24073.0,0.0,0
100,1795170,1721964,22432,1699532,73206,309486,0,309486,Fri Jun 24 18:24:42 CEST 2011,Fri Jun 24 18:24:53 CEST 2011,10630,24073,24073.0,0.0,0
110,1583790,1520442,20016,1500426,63348,264761,0,264761,Fri Jun 24 18:24:53 CEST 2011,Fri Jun 24 18:25:04 CEST 2011,10756,24073,24073.0,0.0,0
120,1677390,1611481,21054,1590427,65909,291131,0,291131,Fri Jun 24 18:25:04 CEST 2011,Fri Jun 24 18:25:15 CEST 2011,11032,24122,24122.0,0.0,0
130,1493700,1427160,18730,1408430,66540,251474,0,251474,Fri Jun 24 18:25:15 CEST 2011,Fri Jun 24 18:25:24 CEST 2011,9133,24073,24073.0,0.0,0
140,1821300,1748619,22864,1725755,72681,318608,0,318608,Fri Jun 24 18:25:24 CEST 2011,Fri Jun 24 18:25:37 CEST 2011,12768,24122,24122.0,0.0,0
150,1639950,1572477,20600,1551877,67473,273293,0,273293,Fri Jun 24 18:25:37 CEST 2011,Fri Jun 24 18:25:52 CEST 2011,15278,24073,24073.0,0.0,0
160,1613430,1545275,20385,1524890,68155,276291,0,276291,Fri Jun 24 18:25:52 CEST 2011,Fri Jun 24 18:26:06 CEST 2011,13628,24073,24073.0,0.0,0
170,1467960,1405547,18616,1386931,62413,235869,0,235869,Fri Jun 24 18:26:06 CEST 2011,Fri Jun 24 18:26:16 CEST 2011,10279,24073,24073.0,0.0,0
180,1858740,1779401,23160,1756241,79339,318829,0,318829,Fri Jun 24 18:26:16 CEST 2011,Fri Jun 24 18:26:29 CEST 2011,12867,24122,24122.0,0.0,0
190,1815840,1741595,22629,1718966,74245,322485,0,322485,Fri Jun 24 18:26:29 CEST 2011,Fri Jun 24 18:26:42 CEST 2011,13499,24122,24122.0,0.0,0
200,1534650,1470897,19205,1451692,63753,255469,0,255469,Fri Jun 24 18:26:43 CEST 2011,Fri Jun 24 18:26:57 CEST 2011,14643,24073,24073.0,0.0,0
