neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
243360,233059,2920,230139,10301,40068,0,40068,Fri Jun 24 18:14:10 CEST 2011,Fri Jun 24 18:14:18 CEST 2011,8286,24073,24073.0,0.0,0
165750,159362,2173,157189,6388,26797,0,26797,Fri Jun 24 18:14:10 CEST 2011,Fri Jun 24 18:14:17 CEST 2011,6848,24606,24606.0,0.0,0
171600,164444,2112,162332,7156,29129,0,29129,Fri Jun 24 18:14:10 CEST 2011,Fri Jun 24 18:14:17 CEST 2011,6995,24691,24691.0,0.0,0
265980,254314,3305,251009,11666,57020,0,57020,Fri Jun 24 18:14:10 CEST 2011,Fri Jun 24 18:14:19 CEST 2011,8613,24579,24579.0,0.0,0
149370,142528,1855,140673,6842,20720,0,20720,Fri Jun 24 18:14:10 CEST 2011,Fri Jun 24 18:14:17 CEST 2011,6576,24073,24073.0,0.0,0
301470,288739,3607,285132,12731,52095,0,52095,Fri Jun 24 18:14:10 CEST 2011,Fri Jun 24 18:14:19 CEST 2011,8958,24073,24073.0,0.0,0
265980,254314,3305,251009,11666,57020,0,57020,Fri Jun 24 18:14:10 CEST 2011,Fri Jun 24 18:14:19 CEST 2011,8612,24579,24579.0,0.0,0
265980,254314,3305,251009,11666,57020,0,57020,Fri Jun 24 18:14:10 CEST 2011,Fri Jun 24 18:14:19 CEST 2011,8668,24579,24579.0,0.0,0
124410,118148,1619,116529,6262,15121,0,15121,Fri Jun 24 18:14:10 CEST 2011,Fri Jun 24 18:14:16 CEST 2011,5565,24691,24691.0,0.0,0
164190,157209,2106,155103,6981,27264,0,27264,Fri Jun 24 18:14:10 CEST 2011,Fri Jun 24 18:14:17 CEST 2011,6802,24700,24700.0,0.0,0
