neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
114660,110834,1487,109347,3826,11405,0,11405,Fri Jun 24 18:14:04 CEST 2011,Fri Jun 24 18:14:09 CEST 2011,4870,24991,24991.0,0.0,0
117000,112059,1373,110686,4941,10553,0,10553,Fri Jun 24 18:14:04 CEST 2011,Fri Jun 24 18:14:10 CEST 2011,5262,24660,24660.0,0.0,0
146640,140115,1763,138352,6525,12281,0,12281,Fri Jun 24 18:14:04 CEST 2011,Fri Jun 24 18:14:10 CEST 2011,5697,24772,24772.0,0.0,0
117000,111963,1424,110539,5037,7352,0,7352,Fri Jun 24 18:14:04 CEST 2011,Fri Jun 24 18:14:10 CEST 2011,5303,25949,25949.0,0.0,0
156000,148291,2028,146263,7709,13938,0,13938,Fri Jun 24 18:14:04 CEST 2011,Fri Jun 24 18:14:10 CEST 2011,5723,24900,24900.0,0.0,0
137280,132491,1733,130758,4789,11755,0,11755,Fri Jun 24 18:14:04 CEST 2011,Fri Jun 24 18:14:10 CEST 2011,5595,24269,24269.0,0.0,0
132600,127495,1717,125778,5105,21501,0,21501,Fri Jun 24 18:14:04 CEST 2011,Fri Jun 24 18:14:10 CEST 2011,5558,24757,24757.0,0.0,0
127530,122152,1532,120620,5378,10002,0,10002,Fri Jun 24 18:14:04 CEST 2011,Fri Jun 24 18:14:10 CEST 2011,5426,25296,25296.0,0.0,0
110760,106384,1323,105061,4376,8456,0,8456,Fri Jun 24 18:14:04 CEST 2011,Fri Jun 24 18:14:09 CEST 2011,5089,25051,25051.0,0.0,0
121290,116142,1478,114664,5148,8653,0,8653,Fri Jun 24 18:14:04 CEST 2011,Fri Jun 24 18:14:10 CEST 2011,5247,27662,27662.0,0.0,0
