neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
149370,142528,1855,140673,6842,20720,0,20720,Fri Jun 24 18:13:56 CEST 2011,Fri Jun 24 18:14:03 CEST 2011,6333,24073,24073.0,0.0,0
243360,233059,2920,230139,10301,40068,0,40068,Fri Jun 24 18:13:56 CEST 2011,Fri Jun 24 18:14:04 CEST 2011,7763,24073,24073.0,0.0,0
114660,109826,1435,108391,4834,15568,0,15568,Fri Jun 24 18:13:56 CEST 2011,Fri Jun 24 18:14:02 CEST 2011,5194,24922,24922.0,0.0,0
243360,233059,2920,230139,10301,40068,0,40068,Fri Jun 24 18:13:56 CEST 2011,Fri Jun 24 18:14:04 CEST 2011,7693,24073,24073.0,0.0,0
114660,109826,1435,108391,4834,15568,0,15568,Fri Jun 24 18:13:56 CEST 2011,Fri Jun 24 18:14:02 CEST 2011,5240,24922,24922.0,0.0,0
171600,164444,2112,162332,7156,29129,0,29129,Fri Jun 24 18:13:57 CEST 2011,Fri Jun 24 18:14:03 CEST 2011,6663,24691,24691.0,0.0,0
171990,164839,2116,162723,7151,29129,0,29129,Fri Jun 24 18:13:57 CEST 2011,Fri Jun 24 18:14:03 CEST 2011,6620,24691,24691.0,0.0,0
114660,109826,1435,108391,4834,15568,0,15568,Fri Jun 24 18:13:57 CEST 2011,Fri Jun 24 18:14:02 CEST 2011,5038,24922,24922.0,0.0,0
168870,162392,2007,160385,6478,30354,0,30354,Fri Jun 24 18:13:57 CEST 2011,Fri Jun 24 18:14:03 CEST 2011,6645,24073,24073.0,0.0,0
243360,233059,2920,230139,10301,40068,0,40068,Fri Jun 24 18:13:57 CEST 2011,Fri Jun 24 18:14:04 CEST 2011,7596,24073,24073.0,0.0,0
