run,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1,651127,635761,3557,632204,15366,71425,0,71425,Sat Jun 25 20:44:40 CEST 2011,Sat Jun 25 20:46:41 CEST 2011,121819,42736,42736.0,0.0,0
2,648511,633458,3608,629850,15052,69562,0,69562,Sat Jun 25 20:46:42 CEST 2011,Sat Jun 25 20:48:39 CEST 2011,117883,42736,42736.0,0.0,0
3,798547,780512,4335,776177,18034,87346,0,87346,Sat Jun 25 20:48:40 CEST 2011,Sat Jun 25 20:51:02 CEST 2011,142214,42736,42736.0,0.0,0
4,674583,658842,3742,655100,15741,74072,0,74072,Sat Jun 25 20:51:02 CEST 2011,Sat Jun 25 20:53:09 CEST 2011,127311,42736,42736.0,0.0,0
5,624351,609295,3474,605821,15055,63854,0,63854,Sat Jun 25 20:53:09 CEST 2011,Sat Jun 25 20:55:09 CEST 2011,119955,42771,42771.0,0.0,0
6,622030,606832,3433,603399,15198,64523,0,64523,Sat Jun 25 20:55:10 CEST 2011,Sat Jun 25 20:57:07 CEST 2011,117504,42771,42771.0,0.0,0
7,658134,642784,3651,639133,15350,72540,0,72540,Sat Jun 25 20:57:07 CEST 2011,Sat Jun 25 20:59:24 CEST 2011,136672,42736,42736.0,0.0,0
8,667735,652219,3681,648538,15515,74879,0,74879,Sat Jun 25 20:59:24 CEST 2011,Sat Jun 25 21:01:48 CEST 2011,143956,42771,42771.0,0.0,0
9,647396,632269,3583,628686,15127,69078,0,69078,Sat Jun 25 21:01:48 CEST 2011,Sat Jun 25 21:04:02 CEST 2011,133536,42736,42736.0,0.0,0
10,691782,675503,3795,671708,16278,74461,0,74461,Sat Jun 25 21:04:02 CEST 2011,Sat Jun 25 21:06:21 CEST 2011,139624,42736,42736.0,0.0,0
