neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
261786,255718,1404,254314,6068,14148,0,14148,Fri Jun 24 18:36:51 CEST 2011,Fri Jun 24 18:37:08 CEST 2011,17091,45541,45541.0,0.0,0
514878,505655,2631,503024,9223,84619,0,84619,Fri Jun 24 18:36:51 CEST 2011,Fri Jun 24 18:37:14 CEST 2011,23238,42771,42771.0,0.0,0
260820,254761,1404,253357,6059,14148,0,14148,Fri Jun 24 18:36:51 CEST 2011,Fri Jun 24 18:37:07 CEST 2011,16786,45541,45541.0,0.0,0
514878,505655,2629,503026,9223,84619,0,84619,Fri Jun 24 18:36:51 CEST 2011,Fri Jun 24 18:37:14 CEST 2011,23161,42771,42771.0,0.0,0
258888,251684,1362,250322,7204,14310,0,14310,Fri Jun 24 18:36:51 CEST 2011,Fri Jun 24 18:37:07 CEST 2011,16553,46510,46510.0,0.0,0
714840,701690,3755,697935,13150,90757,0,90757,Fri Jun 24 18:36:51 CEST 2011,Fri Jun 24 18:37:18 CEST 2011,26981,42736,42736.0,0.0,0
260820,256654,1324,255330,4166,31672,0,31672,Fri Jun 24 18:36:51 CEST 2011,Fri Jun 24 18:37:07 CEST 2011,15481,43039,43039.0,0.0,0
260820,254753,1412,253341,6067,14148,0,14148,Fri Jun 24 18:36:51 CEST 2011,Fri Jun 24 18:37:07 CEST 2011,16068,45541,45541.0,0.0,0
446292,436882,2215,434667,9410,46022,0,46022,Fri Jun 24 18:36:51 CEST 2011,Fri Jun 24 18:37:13 CEST 2011,21646,44117,44117.0,0.0,0
548688,537372,2557,534815,11316,83186,0,83186,Fri Jun 24 18:36:51 CEST 2011,Fri Jun 24 18:37:14 CEST 2011,23239,42959,42959.0,0.0,0
