neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
368046,360473,1773,358700,7573,52062,0,52062,Fri Jun 24 19:17:33 CEST 2011,Fri Jun 24 19:17:54 CEST 2011,20821,44620,44620.0,0.0,0
368046,360473,1773,358700,7573,52062,0,52062,Fri Jun 24 19:17:33 CEST 2011,Fri Jun 24 19:17:54 CEST 2011,20806,44620,44620.0,0.0,0
368046,360473,1773,358700,7573,52062,0,52062,Fri Jun 24 19:17:33 CEST 2011,Fri Jun 24 19:17:54 CEST 2011,20889,44620,44620.0,0.0,0
368046,360473,1773,358700,7573,52062,0,52062,Fri Jun 24 19:17:33 CEST 2011,Fri Jun 24 19:17:53 CEST 2011,20714,44620,44620.0,0.0,0
368046,360473,1773,358700,7573,52062,0,52062,Fri Jun 24 19:17:33 CEST 2011,Fri Jun 24 19:17:53 CEST 2011,20395,44620,44620.0,0.0,0
368046,360473,1773,358700,7573,52062,0,52062,Fri Jun 24 19:17:33 CEST 2011,Fri Jun 24 19:17:54 CEST 2011,20768,44620,44620.0,0.0,0
368046,360473,1773,358700,7573,52062,0,52062,Fri Jun 24 19:17:33 CEST 2011,Fri Jun 24 19:17:53 CEST 2011,20553,44620,44620.0,0.0,0
368046,360473,1773,358700,7573,52062,0,52062,Fri Jun 24 19:17:33 CEST 2011,Fri Jun 24 19:17:54 CEST 2011,20802,44620,44620.0,0.0,0
368046,360473,1773,358700,7573,52062,0,52062,Fri Jun 24 19:17:33 CEST 2011,Fri Jun 24 19:17:53 CEST 2011,20601,44620,44620.0,0.0,0
368046,360473,1773,358700,7573,52062,0,52062,Fri Jun 24 19:17:33 CEST 2011,Fri Jun 24 19:17:54 CEST 2011,20845,44620,44620.0,0.0,0
