grasptries,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
0,548688,537372,2563,534809,11316,83186,0,83186,Fri Jun 24 18:48:57 CEST 2011,Fri Jun 24 18:49:03 CEST 2011,5575,42959,42959.0,0.0,0
10,306511,299434,1630,297804,7077,30918,0,30918,Fri Jun 24 18:49:03 CEST 2011,Fri Jun 24 18:49:22 CEST 2011,18646,43500,43500.0,0.0,0
20,338921,331625,1779,329846,7295,35358,0,35358,Fri Jun 24 18:49:22 CEST 2011,Fri Jun 24 18:50:02 CEST 2011,40348,42736,42736.0,0.0,0
30,312146,305256,1615,303641,6890,30891,0,30891,Fri Jun 24 18:50:02 CEST 2011,Fri Jun 24 18:50:58 CEST 2011,56200,42959,42959.0,0.0,0
40,297069,290591,1556,289035,6477,30664,0,30664,Fri Jun 24 18:50:58 CEST 2011,Fri Jun 24 18:52:10 CEST 2011,71222,42771,42771.0,0.0,0
50,348204,340782,1823,338959,7421,42401,0,42401,Fri Jun 24 18:52:10 CEST 2011,Fri Jun 24 18:53:53 CEST 2011,102844,42771,42771.0,0.0,0
60,333994,327045,1750,325295,6948,36774,0,36774,Fri Jun 24 18:53:53 CEST 2011,Fri Jun 24 18:55:52 CEST 2011,119040,42771,42771.0,0.0,0
70,340073,332998,1777,331221,7075,38277,0,38277,Fri Jun 24 18:55:52 CEST 2011,Fri Jun 24 18:58:12 CEST 2011,139800,42771,42771.0,0.0,0
80,355777,348203,1841,346362,7574,40299,0,40299,Fri Jun 24 18:58:12 CEST 2011,Fri Jun 24 19:00:58 CEST 2011,166049,42736,42736.0,0.0,0
90,356657,349262,1866,347396,7395,40647,0,40647,Fri Jun 24 19:00:58 CEST 2011,Fri Jun 24 19:04:05 CEST 2011,186758,42736,42736.0,0.0,0
100,338602,331279,1753,329526,7323,37557,0,37557,Fri Jun 24 19:04:05 CEST 2011,Fri Jun 24 19:07:20 CEST 2011,194556,42736,42736.0,0.0,0
