iteration,cost,penalty,softConstraintViolations
1,44581,0.125,21
2,44697,0.25,13
3,44907,0.375,11
4,44907,0.5,11
5,44907,0.625,11
6,44907,0.75,11
7,44907,0.875,11
8,44907,1.0,11
9,44907,1.125,11
10,44907,1.25,11
11,44907,1.375,11
12,47732,1.5,6
13,49016,1.625,3
14,50297,1.75,1
15,51059,1.625,0
16,50986,1.5,0
17,50986,1.375,0
18,50986,1.25,0
19,50986,1.125,0
20,50986,1.0,0
21,49470,1.125,2
22,49708,1.0,0
23,49227,0.875,0
24,49172,0.75,0
25,47789,0.875,1
26,47171,1.0,1
27,47493,0.875,0
28,47465,0.75,0
29,47465,0.625,0
30,46825,0.75,1
31,46825,0.875,1
32,46825,1.0,1
33,46825,1.125,1
34,46825,1.25,1
35,46825,1.375,1
36,46825,1.5,1
37,46825,1.625,1
38,46825,1.75,1
39,46825,1.875,1
40,46825,2.0,1
41,46825,2.125,1
42,46825,2.25,1
43,46825,2.375,1
44,46825,2.5,1
45,46825,2.625,1
46,46825,2.75,1
47,46825,2.875,1
48,46825,3.0,1
49,46825,3.125,1
50,46825,3.25,1
51,46825,3.375,1
52,46825,3.5,1
53,46825,3.625,1
54,46825,3.75,1
55,46825,3.875,1
56,46825,4.0,1
57,46825,4.125,1
58,46825,4.25,1
59,46825,4.375,1
60,46825,4.5,1
61,46825,4.625,1
62,46825,4.75,1
63,48243,4.625,0
64,48243,4.5,0
65,48064,4.375,0
66,48064,4.25,0
67,48064,4.125,0
68,48064,4.0,0
69,48064,3.875,0
70,47907,3.75,0
71,47907,3.625,0
72,47907,3.5,0
73,47907,3.375,0
74,47907,3.25,0
75,47907,3.125,0
76,47907,3.0,0
77,47907,2.875,0
78,47907,2.75,0
79,47907,2.625,0
80,47907,2.5,0
81,47907,2.375,0
82,47907,2.25,0
83,47907,2.125,0
84,47907,2.0,0
85,47907,1.875,0
86,47907,1.75,0
87,47907,1.625,0
88,47907,1.5,0
89,47907,1.375,0
90,47907,1.25,0
91,47907,1.125,0
92,47907,1.0,0
93,47907,0.875,0
94,47907,0.75,0
95,47907,0.625,0
96,47907,0.5,0
97,47907,0.375,0
98,47907,0.25,0
99,47907,0.125,0
100,47907,0.0,0
101,47321,0.125,9
102,46371,0.25,10
103,45624,0.375,13
104,44512,0.5,15
105,44603,0.625,12
106,44241,0.75,12
107,44241,0.875,12
108,44241,1.0,12
109,44241,1.125,12
110,44241,1.25,12
111,44241,1.375,12
112,44241,1.5,12
113,44241,1.625,12
114,44241,1.75,12
115,44241,1.875,12
116,44241,2.0,12
117,44241,2.125,12
118,44241,2.25,12
119,44241,2.375,12
120,44241,2.5,12
121,47239,2.625,8
122,49368,2.75,4
123,50356,2.875,2
124,51946,2.75,0
125,51277,2.625,0
126,51267,2.5,0
127,51267,2.375,0
