neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
40341,39699,472,39227,642,14513,0,14513,Fri Jun 24 19:20:44 CEST 2011,Fri Jun 24 19:20:45 CEST 2011,1763,47894,47894.0,0.0,0
84014,82418,911,81507,1596,32633,0,32633,Fri Jun 24 19:20:44 CEST 2011,Fri Jun 24 19:20:46 CEST 2011,2546,46605,46605.0,0.0,0
60333,59206,657,58549,1127,23880,0,23880,Fri Jun 24 19:20:44 CEST 2011,Fri Jun 24 19:20:46 CEST 2011,2363,47440,47440.0,0.0,0
32963,32432,396,32036,531,12771,0,12771,Fri Jun 24 19:20:44 CEST 2011,Fri Jun 24 19:20:45 CEST 2011,1488,47465,47465.0,0.0,0
60333,59226,655,58571,1107,23768,0,23768,Fri Jun 24 19:20:44 CEST 2011,Fri Jun 24 19:20:46 CEST 2011,2366,46535,46535.0,0.0,0
31892,31272,317,30955,620,10826,0,10826,Fri Jun 24 19:20:44 CEST 2011,Fri Jun 24 19:20:45 CEST 2011,1556,48375,48375.0,0.0,0
42602,41936,504,41432,666,16694,0,16694,Fri Jun 24 19:20:44 CEST 2011,Fri Jun 24 19:20:45 CEST 2011,1745,47738,47738.0,0.0,0
55454,54525,629,53896,929,20578,0,20578,Fri Jun 24 19:20:44 CEST 2011,Fri Jun 24 19:20:46 CEST 2011,2042,47882,47882.0,0.0,0
84014,82418,911,81507,1596,32633,0,32633,Fri Jun 24 19:20:44 CEST 2011,Fri Jun 24 19:20:46 CEST 2011,2511,46605,46605.0,0.0,0
70329,68927,716,68211,1402,25668,0,25668,Fri Jun 24 19:20:44 CEST 2011,Fri Jun 24 19:20:46 CEST 2011,2389,47824,47824.0,0.0,0
