neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
254709,249377,458,248919,5332,29632,0,29632,Fri Jun 24 19:23:15 CEST 2011,Fri Jun 24 19:23:28 CEST 2011,13434,45728,45728.0,0.0,0
216216,209779,299,209480,6437,17434,0,17434,Fri Jun 24 19:23:15 CEST 2011,Fri Jun 24 19:23:28 CEST 2011,12536,46881,46881.0,0.0,0
355446,347970,623,347347,7476,29061,0,29061,Fri Jun 24 19:23:15 CEST 2011,Fri Jun 24 19:23:31 CEST 2011,16182,44752,44752.0,0.0,0
216216,209779,299,209480,6437,17434,0,17434,Fri Jun 24 19:23:15 CEST 2011,Fri Jun 24 19:23:28 CEST 2011,12527,46881,46881.0,0.0,0
378378,369136,623,368513,9242,50159,0,50159,Fri Jun 24 19:23:15 CEST 2011,Fri Jun 24 19:23:32 CEST 2011,16538,45130,45130.0,0.0,0
254709,249377,458,248919,5332,29632,0,29632,Fri Jun 24 19:23:15 CEST 2011,Fri Jun 24 19:23:29 CEST 2011,13726,45728,45728.0,0.0,0
369369,361242,582,360660,8127,35070,0,35070,Fri Jun 24 19:23:15 CEST 2011,Fri Jun 24 19:23:31 CEST 2011,16340,43741,43741.0,0.0,0
350532,343625,584,343041,6907,38352,0,38352,Fri Jun 24 19:23:15 CEST 2011,Fri Jun 24 19:23:31 CEST 2011,15720,44770,44770.0,0.0,0
677313,661521,1067,660454,15792,68792,0,68792,Fri Jun 24 19:23:15 CEST 2011,Fri Jun 24 19:23:34 CEST 2011,19252,43869,43869.0,0.0,0
271908,267032,469,266563,4876,34655,0,34655,Fri Jun 24 19:23:15 CEST 2011,Fri Jun 24 19:23:29 CEST 2011,13855,44190,44190.0,0.0,0
