neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
240548,233952,334,233618,6596,21129,0,21129,Fri Jun 24 19:24:55 CEST 2011,Fri Jun 24 19:25:09 CEST 2011,14441,45115,45115.0,0.0,0
273581,267239,431,266808,6342,30388,0,30388,Fri Jun 24 19:24:55 CEST 2011,Fri Jun 24 19:25:10 CEST 2011,15493,45302,45302.0,0.0,0
315931,309526,550,308976,6405,35344,0,35344,Fri Jun 24 19:24:55 CEST 2011,Fri Jun 24 19:25:11 CEST 2011,16345,45224,45224.0,0.0,0
487872,477762,803,476959,10110,57940,0,57940,Fri Jun 24 19:24:55 CEST 2011,Fri Jun 24 19:25:14 CEST 2011,18661,43687,43687.0,0.0,0
240548,233952,334,233618,6596,21129,0,21129,Fri Jun 24 19:24:55 CEST 2011,Fri Jun 24 19:25:10 CEST 2011,14777,45115,45115.0,0.0,0
328636,322648,583,322065,5988,44059,0,44059,Fri Jun 24 19:24:55 CEST 2011,Fri Jun 24 19:25:12 CEST 2011,16805,45172,45172.0,0.0,0
631862,618660,998,617662,13202,88744,0,88744,Fri Jun 24 19:24:55 CEST 2011,Fri Jun 24 19:25:15 CEST 2011,19965,44945,44945.0,0.0,0
264264,259453,480,258973,4811,34739,0,34739,Fri Jun 24 19:24:55 CEST 2011,Fri Jun 24 19:25:10 CEST 2011,14964,44609,44609.0,0.0,0
223608,217159,299,216860,6449,17631,0,17631,Fri Jun 24 19:24:55 CEST 2011,Fri Jun 24 19:25:09 CEST 2011,13989,46881,46881.0,0.0,0
356587,348504,540,347964,8083,39808,0,39808,Fri Jun 24 19:24:55 CEST 2011,Fri Jun 24 19:25:12 CEST 2011,17198,45517,45517.0,0.0,0
