iteration,cost,penalty,softConstraintViolations
1,43545,0.125,21
2,43066,0.25,21
3,43568,0.375,13
4,43818,0.5,11
5,43818,0.625,11
6,43818,0.75,11
7,43818,0.875,11
8,43827,1.0,10
9,43819,1.125,10
10,45569,1.25,6
11,44321,1.375,7
12,45183,1.5,5
13,45157,1.625,5
14,45157,1.75,5
15,45157,1.875,5
16,45157,2.0,5
17,45157,2.125,5
18,45157,2.25,5
19,45157,2.375,5
20,45812,2.5,4
21,46290,2.625,3
22,48643,2.75,1
23,47323,2.875,1
24,47323,3.0,1
25,47323,3.125,1
26,48503,3.0,0
27,48035,2.875,0
28,48035,2.75,0
29,48035,2.625,0
30,46643,2.75,1
31,47484,2.625,0
32,47484,2.5,0
33,47484,2.375,0
34,47484,2.25,0
35,47484,2.125,0
36,47484,2.0,0
37,47484,1.875,0
38,47484,1.75,0
39,47484,1.625,0
40,47484,1.5,0
41,47484,1.375,0
42,47484,1.25,0
43,47484,1.125,0
44,47484,1.0,0
45,47484,0.875,0
46,47484,0.75,0
47,47484,0.625,0
48,47484,0.5,0
49,47484,0.375,0
50,47484,0.25,0
51,47484,0.125,0
52,47484,0.0,0
53,46566,0.125,12
54,45308,0.25,16
55,44523,0.375,15
56,44611,0.5,12
57,43874,0.625,14
58,45146,0.75,6
59,44131,0.875,7
60,43504,1.0,8
61,43504,1.125,8
62,43504,1.25,8
63,43504,1.375,8
64,43849,1.5,7
65,43849,1.625,7
66,43849,1.75,7
67,43849,1.875,7
68,43849,2.0,7
69,44572,2.125,4
70,45193,2.25,3
71,45038,2.375,3
72,44731,2.5,3
73,44731,2.625,3
74,44731,2.75,3
75,44731,2.875,3
76,44731,3.0,3
77,47301,3.125,1
78,46995,3.25,1
79,46995,3.375,1
80,46995,3.5,1
81,46995,3.625,1
82,46995,3.75,1
83,46995,3.875,1
84,46995,4.0,1
85,46995,4.125,1
86,46995,4.25,1
87,46995,4.375,1
88,46995,4.5,1
89,46995,4.625,1
90,46995,4.75,1
91,46995,4.875,1
92,46995,5.0,1
93,46995,5.125,1
94,46995,5.25,1
95,46995,5.375,1
96,46995,5.5,1
97,46995,5.625,1
98,46995,5.75,1
99,46995,5.875,1
100,46995,6.0,1
101,46995,6.125,1
102,46995,6.25,1
103,46995,6.375,1
104,46995,6.5,1
105,46995,6.625,1
106,46995,6.75,1
107,46995,6.875,1
108,46995,7.0,1
109,46995,7.125,1
110,46995,7.25,1
111,46995,7.375,1
112,46995,7.5,1
113,46995,7.625,1
114,46995,7.75,1
115,46995,7.875,1
116,46995,8.0,1
117,46995,8.125,1
118,46995,8.25,1
119,46995,8.375,1
120,46995,8.5,1
121,46995,8.625,1
122,46995,8.75,1
123,46995,8.875,1
124,46995,9.0,1
125,46995,9.125,1
126,46995,9.25,1
127,46995,9.375,1
128,46995,9.5,1
129,46995,9.625,1
130,46995,9.75,1
131,46995,9.875,1
132,49531,9.75,0
133,49007,9.625,0
134,48693,9.5,0
135,48693,9.375,0
136,48693,9.25,0
137,48693,9.125,0
138,48693,9.0,0
139,48693,8.875,0
140,48693,8.75,0
141,48693,8.625,0
142,48693,8.5,0
143,48693,8.375,0
144,48693,8.25,0
145,48693,8.125,0
146,48693,8.0,0
147,48693,7.875,0
148,48693,7.75,0
149,48693,7.625,0
150,48693,7.5,0
151,48693,7.375,0
152,48693,7.25,0
153,48693,7.125,0
154,48693,7.0,0
155,48693,6.875,0
156,48693,6.75,0
157,48693,6.625,0
158,48693,6.5,0
159,48693,6.375,0
160,48693,6.25,0
161,48693,6.125,0
162,48693,6.0,0
163,48693,5.875,0
164,48693,5.75,0
165,48693,5.625,0
166,48693,5.5,0
167,48693,5.375,0
168,48693,5.25,0
169,48693,5.125,0
170,48693,5.0,0
171,48693,4.875,0
172,48693,4.75,0
173,48693,4.625,0
174,48693,4.5,0
175,48693,4.375,0
176,48693,4.25,0
177,48693,4.125,0
178,48693,4.0,0
179,48693,3.875,0
180,48693,3.75,0
181,48693,3.625,0
182,48693,3.5,0
183,48693,3.375,0
184,48693,3.25,0
185,48693,3.125,0
186,48693,3.0,0
187,48693,2.875,0
188,48693,2.75,0
189,48693,2.625,0
190,48693,2.5,0
191,48693,2.375,0
192,47008,2.5,1
193,47008,2.625,1
194,47008,2.75,1
195,47008,2.875,1
196,47008,3.0,1
197,47008,3.125,1
198,47008,3.25,1
199,47008,3.375,1
200,47008,3.5,1
201,47008,3.625,1
202,48693,3.5,0
203,48693,3.375,0
204,48693,3.25,0
205,48693,3.125,0
206,48693,3.0,0
207,48693,2.875,0
208,48693,2.75,0
209,48693,2.625,0
210,48693,2.5,0
211,48693,2.375,0
212,48693,2.25,0
213,48693,2.125,0
214,48693,2.0,0
215,48693,1.875,0
216,48693,1.75,0
217,48693,1.625,0
218,48693,1.5,0
219,48693,1.375,0
220,48693,1.25,0
221,48693,1.125,0
222,48693,1.0,0
223,47436,1.125,2
224,47907,1.25,1
225,45516,1.375,5
226,46290,1.5,3
227,46290,1.625,3
228,46290,1.75,3
229,46290,1.875,3
230,46290,2.0,3
231,46290,2.125,3
232,46290,2.25,3
233,46290,2.375,3
234,46290,2.5,3
235,46290,2.625,3
236,46290,2.75,3
237,46290,2.875,3
238,46290,3.0,3
239,46290,3.125,3
240,46290,3.25,3
241,46290,3.375,3
242,46290,3.5,3
243,46290,3.625,3
244,46290,3.75,3
245,46290,3.875,3
246,46290,4.0,3
247,46290,4.125,3
248,46290,4.25,3
249,46290,4.375,3
250,46290,4.5,3
251,46290,4.625,3
252,46290,4.75,3
253,46290,4.875,3
254,46290,5.0,3
255,46290,5.125,3
256,46290,5.25,3
257,46290,5.375,3
258,46290,5.5,3
259,46290,5.625,3
260,48276,5.75,2
261,50034,5.625,0
262,48331,5.5,0
263,48136,5.375,0
264,48035,5.25,0
265,48035,5.125,0
266,47484,5.0,0
267,47484,4.875,0
268,47484,4.75,0
269,47484,4.625,0
270,47484,4.5,0
271,47484,4.375,0
272,47484,4.25,0
273,47484,4.125,0
274,47484,4.0,0
275,47484,3.875,0
276,47484,3.75,0
277,47484,3.625,0
278,47484,3.5,0
279,47484,3.375,0
280,47484,3.25,0
