neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
106288,103438,668,102770,2850,27693,0,27693,Fri Jun 24 19:20:40 CEST 2011,Fri Jun 24 19:20:44 CEST 2011,3523,47007,47007.0,0.0,0
101556,99355,711,98644,2201,28457,0,28457,Fri Jun 24 19:20:40 CEST 2011,Fri Jun 24 19:20:44 CEST 2011,3453,46917,46917.0,0.0,0
49322,48125,336,47789,1197,13609,0,13609,Fri Jun 24 19:20:40 CEST 2011,Fri Jun 24 19:20:43 CEST 2011,2744,46571,46571.0,0.0,0
54418,53209,391,52818,1209,13813,0,13813,Fri Jun 24 19:20:40 CEST 2011,Fri Jun 24 19:20:43 CEST 2011,2750,48157,48157.0,0.0,0
49322,48125,336,47789,1197,13609,0,13609,Fri Jun 24 19:20:40 CEST 2011,Fri Jun 24 19:20:43 CEST 2011,2584,46571,46571.0,0.0,0
50960,49763,356,49407,1197,12624,0,12624,Fri Jun 24 19:20:40 CEST 2011,Fri Jun 24 19:20:43 CEST 2011,2808,47484,47484.0,0.0,0
59878,58385,419,57966,1493,13410,0,13410,Fri Jun 24 19:20:40 CEST 2011,Fri Jun 24 19:20:43 CEST 2011,2905,47694,47694.0,0.0,0
68614,66869,464,66405,1745,17258,0,17258,Fri Jun 24 19:20:40 CEST 2011,Fri Jun 24 19:20:43 CEST 2011,3030,46119,46119.0,0.0,0
54236,52975,370,52605,1261,14475,0,14475,Fri Jun 24 19:20:40 CEST 2011,Fri Jun 24 19:20:43 CEST 2011,2701,48792,48792.0,0.0,0
86268,84195,568,83627,2073,21897,0,21897,Fri Jun 24 19:20:40 CEST 2011,Fri Jun 24 19:20:43 CEST 2011,3207,46891,46891.0,0.0,0
