iteration,cost,penalty,softConstraintViolations
1,43294,0.125,23
2,42471,0.25,24
3,42435,0.375,22
4,42101,0.5,21
5,43008,0.625,15
6,43050,0.75,14
7,42567,0.875,15
8,43226,1.0,13
9,45000,1.125,6
10,45000,1.25,6
11,45000,1.375,6
12,45000,1.5,6
13,45000,1.625,6
14,45438,1.75,5
15,46619,1.875,3
16,46838,2.0,2
17,47522,2.125,1
18,47325,2.0,0
19,46734,1.875,0
20,46515,1.75,0
21,46455,1.625,0
22,46043,1.5,0
23,46043,1.375,0
24,46043,1.25,0
25,46043,1.125,0
26,46043,1.0,0
27,46043,0.875,0
28,46043,0.75,0
29,46043,0.625,0
30,46043,0.5,0
31,46043,0.375,0
32,46043,0.25,0
33,46043,0.125,0
34,46043,0.0,0
35,45937,0.125,8
36,45149,0.25,9
37,44754,0.375,8
38,43886,0.5,9
39,42896,0.625,10
40,42887,0.75,8
41,42018,0.875,10
42,42430,1.0,8
43,42297,1.125,7
44,42297,1.25,7
45,42297,1.375,7
46,42297,1.5,7
47,42297,1.625,7
48,42297,1.75,7
49,42297,1.875,7
50,42297,2.0,7
51,42297,2.125,7
52,42297,2.25,7
53,42297,2.375,7
54,42297,2.5,7
55,42297,2.625,7
56,42297,2.75,7
57,42297,2.875,7
58,42297,3.0,7
59,42297,3.125,7
60,42297,3.25,7
61,42297,3.375,7
62,42297,3.5,7
63,42297,3.625,7
64,42297,3.75,7
65,42297,3.875,7
66,42297,4.0,7
67,42297,4.125,7
68,42297,4.25,7
69,42297,4.375,7
70,42297,4.5,7
71,42297,4.625,7
72,42297,4.75,7
73,42297,4.875,7
74,42297,5.0,7
75,42297,5.125,7
76,42297,5.25,7
77,42297,5.375,7
78,42297,5.5,7
79,42297,5.625,7
80,42297,5.75,7
81,42297,5.875,7
82,42297,6.0,7
83,42297,6.125,7
84,49014,6.25,3
85,49608,6.125,0
86,48545,6.0,0
87,47485,5.875,0
88,46443,5.75,0
89,45922,5.625,0
90,45829,5.5,0
91,45523,5.375,0
92,45486,5.25,0
93,45464,5.125,0
94,45234,5.0,0
95,45234,4.875,0
96,45234,4.75,0
97,45234,4.625,0
98,45234,4.5,0
99,45234,4.375,0
100,45234,4.25,0
101,45234,4.125,0
102,45234,4.0,0
103,45234,3.875,0
104,45234,3.75,0
105,45234,3.625,0
106,45234,3.5,0
107,45234,3.375,0
108,45234,3.25,0
109,45234,3.125,0
110,45234,3.0,0
111,45234,2.875,0
112,45234,2.75,0
113,45234,2.625,0
114,45234,2.5,0
115,45234,2.375,0
116,45234,2.25,0
117,45234,2.125,0
118,45234,2.0,0
119,45234,1.875,0
120,45234,1.75,0
121,45234,1.625,0
122,45234,1.5,0
123,45234,1.375,0
124,45234,1.25,0
125,45234,1.125,0
126,45234,1.0,0
127,45234,0.875,0
128,45234,0.75,0
129,45234,0.625,0
130,45234,0.5,0
131,45234,0.375,0
132,45234,0.25,0
133,45234,0.125,0
134,45234,0.0,0
135,45234,0.0,0
136,45234,0.0,0
137,45234,0.0,0
138,45234,0.0,0
139,45234,0.0,0
140,45234,0.0,0
141,44475,0.125,10
142,42650,0.25,25
143,41857,0.375,25
144,40323,0.5,25
145,39727,0.625,25
146,38521,0.75,27
147,38659,0.875,26
148,40471,1.0,18
149,40151,1.125,18
150,41813,1.25,13
151,42039,1.375,12
152,43269,1.5,9
153,43269,1.625,9
154,43269,1.75,9
155,43269,1.875,9
156,43269,2.0,9
