iteration,cost,penalty,softConstraintViolations
1,43176,0.125,24
2,42373,0.25,24
3,41753,0.375,26
4,40708,0.5,27
5,38578,0.625,26
6,38381,0.75,25
7,39850,0.875,17
8,40459,1.0,14
9,40459,1.125,14
10,42490,1.25,8
11,42490,1.375,8
12,42490,1.5,8
13,42490,1.625,8
14,42490,1.75,8
15,42490,1.875,8
16,42490,2.0,8
17,42490,2.125,8
18,42490,2.25,8
19,42490,2.375,8
20,42490,2.5,8
21,42490,2.625,8
22,42490,2.75,8
23,49128,2.875,2
24,48468,3.0,1
25,48602,2.875,0
26,47523,2.75,0
27,46686,2.625,0
28,46513,2.5,0
29,46513,2.375,0
30,46333,2.25,0
31,46333,2.125,0
32,46333,2.0,0
33,46333,1.875,0
34,46333,1.75,0
35,46333,1.625,0
36,46333,1.5,0
37,46333,1.375,0
38,46333,1.25,0
39,46333,1.125,0
40,46333,1.0,0
41,46333,0.875,0
42,46333,0.75,0
43,46333,0.625,0
44,46333,0.5,0
45,46333,0.375,0
46,46333,0.25,0
47,44654,0.375,6
48,43530,0.5,6
49,41689,0.625,11
50,40597,0.75,13
51,40433,0.875,13
52,40433,1.0,13
53,40433,1.125,13
54,40433,1.25,13
55,40433,1.375,13
56,40433,1.5,13
57,40433,1.625,13
58,40433,1.75,13
59,40433,1.875,13
60,40433,2.0,13
61,40433,2.125,13
62,40433,2.25,13
63,40433,2.375,13
64,40433,2.5,13
65,40433,2.625,13
66,40433,2.75,13
67,49097,2.875,4
68,50766,3.0,1
69,50885,2.875,0
70,50063,2.75,0
71,49290,2.625,0
72,48653,2.5,0
73,48556,2.375,0
74,47814,2.25,0
75,47737,2.125,0
76,47737,2.0,0
77,47737,1.875,0
78,47737,1.75,0
79,47737,1.625,0
80,47737,1.5,0
81,47737,1.375,0
82,47737,1.25,0
83,47737,1.125,0
84,47737,1.0,0
85,47737,0.875,0
86,47737,0.75,0
87,47737,0.625,0
88,47737,0.5,0
89,47154,0.625,2
90,45407,0.75,5
91,44853,0.875,5
92,43184,1.0,8
93,43377,1.125,6
94,43094,1.25,5
95,43565,1.375,3
96,43470,1.5,3
97,43410,1.625,3
98,43410,1.75,3
99,43410,1.875,3
100,43410,2.0,3
101,43410,2.125,3
102,43410,2.25,3
103,43410,2.375,3
104,43410,2.5,3
105,43410,2.625,3
106,43410,2.75,3
107,43410,2.875,3
108,43410,3.0,3
109,43410,3.125,3
110,43410,3.25,3
111,43410,3.375,3
112,43410,3.5,3
113,43410,3.625,3
114,43410,3.75,3
115,43410,3.875,3
116,43410,4.0,3
117,43410,4.125,3
118,43410,4.25,3
119,43410,4.375,3
120,43410,4.5,3
121,43410,4.625,3
122,43410,4.75,3
123,43410,4.875,3
124,43410,5.0,3
125,43410,5.125,3
126,43410,5.25,3
127,43410,5.375,3
128,43410,5.5,3
129,48475,5.375,0
130,47912,5.25,0
131,47499,5.125,0
132,47302,5.0,0
133,47302,4.875,0
134,47302,4.75,0
135,47302,4.625,0
136,47302,4.5,0
137,47302,4.375,0
138,47302,4.25,0
139,47302,4.125,0
140,47302,4.0,0
141,47302,3.875,0
142,47302,3.75,0
143,47302,3.625,0
144,47302,3.5,0
145,47302,3.375,0
146,47302,3.25,0
147,47302,3.125,0
148,47302,3.0,0
149,47302,2.875,0
150,47302,2.75,0
151,47302,2.625,0
152,47302,2.5,0
153,47302,2.375,0
154,47302,2.25,0
155,47302,2.125,0
156,47302,2.0,0
157,47302,1.875,0
158,47302,1.75,0
159,47302,1.625,0
160,47302,1.5,0
161,47302,1.375,0
162,47302,1.25,0
163,47302,1.125,0
164,47302,1.0,0
165,47302,0.875,0
166,47302,0.75,0
167,47302,0.625,0
168,47302,0.5,0
169,47302,0.375,0
170,47302,0.25,0
171,47302,0.125,0
172,47302,0.0,0
173,45006,0.125,18
174,43059,0.25,27
175,40926,0.375,30
176,40410,0.5,29
177,40148,0.625,28
178,40250,0.75,25
179,40393,0.875,23
180,40008,1.0,21
181,41098,1.125,17
182,40972,1.25,16
183,40095,1.375,17
184,40930,1.5,14
185,41721,1.625,11
186,41040,1.75,11
187,42236,1.875,8
188,43515,2.0,5
189,43826,2.125,4
190,43804,2.25,4
191,43804,2.375,4
192,43804,2.5,4
193,45841,2.625,2
194,45336,2.75,2
195,45336,2.875,2
196,45336,3.0,2
197,45336,3.125,2
198,45336,3.25,2
199,45336,3.375,2
200,45336,3.5,2
201,45336,3.625,2
202,45336,3.75,2
203,45336,3.875,2
204,45336,4.0,2
205,45336,4.125,2
206,45336,4.25,2
207,45336,4.375,2
208,45336,4.5,2
209,48763,4.375,0
210,47718,4.25,0
211,46897,4.125,0
212,46656,4.0,0
213,46418,3.875,0
214,46418,3.75,0
215,46418,3.625,0
216,46418,3.5,0
217,46418,3.375,0
218,46418,3.25,0
219,46418,3.125,0
220,46418,3.0,0
221,46418,2.875,0
222,46418,2.75,0
223,46418,2.625,0
224,46418,2.5,0
225,46418,2.375,0
226,46418,2.25,0
227,46418,2.125,0
228,46418,2.0,0
229,46418,1.875,0
230,46418,1.75,0
231,46418,1.625,0
232,46418,1.5,0
233,46418,1.375,0
234,46418,1.25,0
235,46418,1.125,0
236,46418,1.0,0
237,46418,0.875,0
238,46418,0.75,0
239,46418,0.625,0
240,46418,0.5,0
241,46418,0.375,0
242,46418,0.25,0
243,46418,0.125,0
244,45215,0.25,12
245,44331,0.375,12
246,43277,0.5,14
247,42303,0.625,15
248,42362,0.75,12
249,42697,0.875,9
250,42687,1.0,8
251,43412,1.125,5
252,44484,1.25,2
253,43928,1.375,3
254,43943,1.5,2
255,43943,1.625,2
256,43943,1.75,2
257,43943,1.875,2
258,43943,2.0,2
259,43943,2.125,2
260,43943,2.25,2
261,43943,2.375,2
262,43943,2.5,2
263,43943,2.625,2
264,43943,2.75,2
265,43943,2.875,2
266,43943,3.0,2
267,43943,3.125,2
268,43943,3.25,2
269,43943,3.375,2
270,43943,3.5,2
271,43943,3.625,2
272,43943,3.75,2
273,43943,3.875,2
274,43943,4.0,2
275,43943,4.125,2
276,43943,4.25,2
277,43943,4.375,2
278,43943,4.5,2
279,43943,4.625,2
280,43943,4.75,2
281,45515,4.875,1
282,45234,5.0,1
283,45752,4.875,0
284,45752,4.75,0
285,45752,4.625,0
286,45752,4.5,0
287,45752,4.375,0
288,45752,4.25,0
289,45752,4.125,0
290,45752,4.0,0
291,45752,3.875,0
292,45752,3.75,0
293,45752,3.625,0
294,45752,3.5,0
295,45752,3.375,0
296,45752,3.25,0
297,45752,3.125,0
298,45752,3.0,0
299,45752,2.875,0
300,45752,2.75,0
301,45752,2.625,0
302,45752,2.5,0
303,45752,2.375,0
304,45752,2.25,0
305,45752,2.125,0
306,45752,2.0,0
307,45752,1.875,0
308,45752,1.75,0
309,45752,1.625,0
310,45752,1.5,0
311,45752,1.375,0
312,45752,1.25,0
313,45752,1.125,0
314,45752,1.0,0
315,45752,0.875,0
316,45752,0.75,0
317,45752,0.625,0
318,45752,0.5,0
319,45752,0.375,0
320,45752,0.25,0
321,45752,0.125,0
322,45752,0.0,0
323,45752,0.0,0
324,44824,0.125,9
325,43266,0.25,10
326,42194,0.375,10
327,41639,0.5,12
328,41931,0.625,9
329,42069,0.75,8
330,42493,0.875,6
331,42389,1.0,6
332,42389,1.125,6
333,42389,1.25,6
334,42389,1.375,6
335,42389,1.5,6
336,42389,1.625,6
337,42389,1.75,6
338,42389,1.875,6
339,42389,2.0,6
340,44543,2.125,3
341,45521,2.25,1
342,45361,2.375,1
343,45361,2.5,1
344,45361,2.625,1
345,45361,2.75,1
346,45361,2.875,1
347,45361,3.0,1
348,45361,3.125,1
349,45361,3.25,1
350,45361,3.375,1
351,45361,3.5,1
352,45361,3.625,1
353,45361,3.75,1
354,45361,3.875,1
355,45361,4.0,1
356,45361,4.125,1
357,45361,4.25,1
358,45361,4.375,1
359,45361,4.5,1
360,45361,4.625,1
361,45361,4.75,1
362,45361,4.875,1
363,45361,5.0,1
364,45361,5.125,1
365,45361,5.25,1
366,45361,5.375,1
367,45361,5.5,1
368,45361,5.625,1
369,45361,5.75,1
370,45361,5.875,1
371,45361,6.0,1
372,45361,6.125,1
373,45361,6.25,1
374,45361,6.375,1
375,45361,6.5,1
376,45361,6.625,1
377,45361,6.75,1
378,45361,6.875,1
379,45361,7.0,1
380,45361,7.125,1
381,45361,7.25,1
382,45361,7.375,1
383,45361,7.5,1
384,45361,7.625,1
385,45361,7.75,1
386,45361,7.875,1
387,45361,8.0,1
388,45361,8.125,1
389,45361,8.25,1
390,45361,8.375,1
391,45361,8.5,1
392,45361,8.625,1
393,45361,8.75,1
394,45361,8.875,1
395,45361,9.0,1
396,45361,9.125,1
397,45361,9.25,1
398,45361,9.375,1
399,45361,9.5,1
400,45361,9.625,1
401,45361,9.75,1
402,45361,9.875,1
403,45361,10.0,1
404,45361,10.125,1
405,45361,10.25,1
406,45361,10.375,1
407,47343,10.25,0
408,47274,10.125,0
409,47158,10.0,0
410,47064,9.875,0
411,47064,9.75,0
412,47064,9.625,0
413,47064,9.5,0
414,47064,9.375,0
415,47064,9.25,0
416,47064,9.125,0
417,47064,9.0,0
418,47064,8.875,0
419,47064,8.75,0
420,47064,8.625,0
421,47064,8.5,0
422,47064,8.375,0
423,47064,8.25,0
424,47064,8.125,0
425,47064,8.0,0
426,47064,7.875,0
427,47064,7.75,0
428,47064,7.625,0
429,47064,7.5,0
430,47064,7.375,0
431,47064,7.25,0
432,47064,7.125,0
433,47064,7.0,0
434,47064,6.875,0
435,47064,6.75,0
436,47064,6.625,0
437,47064,6.5,0
438,47064,6.375,0
439,47064,6.25,0
440,47064,6.125,0
441,47064,6.0,0
442,47064,5.875,0
443,47064,5.75,0
444,47064,5.625,0
445,47064,5.5,0
446,47064,5.375,0
447,47064,5.25,0
448,47064,5.125,0
449,47064,5.0,0
450,47064,4.875,0
451,47064,4.75,0
452,47064,4.625,0
453,47064,4.5,0
454,47064,4.375,0
455,47064,4.25,0
456,47064,4.125,0
457,47064,4.0,0
458,47064,3.875,0
459,47064,3.75,0
460,47064,3.625,0
461,47064,3.5,0
462,47064,3.375,0
463,47064,3.25,0
464,47064,3.125,0
465,47064,3.0,0
466,47064,2.875,0
467,47064,2.75,0
468,47064,2.625,0
469,47064,2.5,0
470,47064,2.375,0
471,47064,2.25,0
472,47064,2.125,0
473,47064,2.0,0
474,47064,1.875,0
475,46008,2.0,1
476,45397,2.125,1
477,45397,2.25,1
478,45397,2.375,1
479,45397,2.5,1
480,45397,2.625,1
481,45397,2.75,1
482,45397,2.875,1
483,45397,3.0,1
484,45397,3.125,1
485,45397,3.25,1
486,45397,3.375,1
487,45397,3.5,1
488,45397,3.625,1
489,45397,3.75,1
490,45397,3.875,1
491,45397,4.0,1
492,45397,4.125,1
493,45397,4.25,1
494,45397,4.375,1
495,45397,4.5,1
496,45397,4.625,1
497,45397,4.75,1
498,45397,4.875,1
499,45397,5.0,1
500,45397,5.125,1
501,45397,5.25,1
502,45397,5.375,1
503,45397,5.5,1
504,45397,5.625,1
505,45397,5.75,1
506,45397,5.875,1
507,45397,6.0,1
508,45397,6.125,1
509,45397,6.25,1
510,45397,6.375,1
511,45397,6.5,1
512,45397,6.625,1
513,45397,6.75,1
514,45397,6.875,1
515,45397,7.0,1
516,45397,7.125,1
517,45397,7.25,1
518,45397,7.375,1
519,45397,7.5,1
520,45397,7.625,1
521,45397,7.75,1
522,45397,7.875,1
523,45397,8.0,1
524,45397,8.125,1
525,45397,8.25,1
526,45397,8.375,1
527,45397,8.5,1
528,45397,8.625,1
529,45397,8.75,1
530,45397,8.875,1
531,45397,9.0,1
532,45397,9.125,1
