neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
302974,294860,382,294478,8114,32691,0,32691,Fri Jun 24 19:24:03 CEST 2011,Fri Jun 24 19:24:20 CEST 2011,17107,46041,46041.0,0.0,0
391146,383124,550,382574,8022,48570,0,48570,Fri Jun 24 19:24:03 CEST 2011,Fri Jun 24 19:24:22 CEST 2011,19346,42852,42852.0,0.0,0
310478,302794,431,302363,7684,24531,0,24531,Fri Jun 24 19:24:03 CEST 2011,Fri Jun 24 19:24:21 CEST 2011,17499,43880,43880.0,0.0,0
294532,287264,389,286875,7268,25466,0,25466,Fri Jun 24 19:24:03 CEST 2011,Fri Jun 24 19:24:20 CEST 2011,16983,45598,45598.0,0.0,0
499016,487683,711,486972,11333,36917,0,36917,Fri Jun 24 19:24:03 CEST 2011,Fri Jun 24 19:24:24 CEST 2011,21126,45752,45752.0,0.0,0
450240,438130,594,437536,12110,50065,0,50065,Fri Jun 24 19:24:03 CEST 2011,Fri Jun 24 19:24:24 CEST 2011,20761,44183,44183.0,0.0,0
775726,758008,1073,756935,17718,74372,0,74372,Fri Jun 24 19:24:03 CEST 2011,Fri Jun 24 19:24:27 CEST 2011,23462,43869,43869.0,0.0,0
455868,446732,686,446046,9136,50891,0,50891,Fri Jun 24 19:24:03 CEST 2011,Fri Jun 24 19:24:24 CEST 2011,20511,44467,44467.0,0.0,0
321734,315932,536,315396,5802,36842,0,36842,Fri Jun 24 19:24:03 CEST 2011,Fri Jun 24 19:24:20 CEST 2011,17070,45234,45234.0,0.0,0
339556,332812,511,332301,6744,42935,0,42935,Fri Jun 24 19:24:03 CEST 2011,Fri Jun 24 19:24:21 CEST 2011,17826,43946,43946.0,0.0,0
