iteration,cost,penalty,softConstraintViolations
1,41354,0.125,22
2,40004,0.25,22
3,40488,0.375,15
4,39650,0.5,15
5,39588,0.625,15
6,39588,0.75,15
7,39588,0.875,15
8,39588,1.0,15
9,39588,1.125,15
10,39588,1.25,15
11,39588,1.375,15
12,39588,1.5,15
13,39588,1.625,15
14,39588,1.75,15
15,43111,1.875,8
16,46438,2.0,3
17,45734,2.125,3
18,45594,2.25,3
19,45337,2.375,3
20,47782,2.25,0
21,47376,2.125,0
22,46661,2.0,0
23,46601,1.875,0
24,46601,1.75,0
25,46601,1.625,0
26,46601,1.5,0
27,46601,1.375,0
28,46601,1.25,0
29,46601,1.125,0
30,46601,1.0,0
31,46601,0.875,0
32,46601,0.75,0
33,46601,0.625,0
34,46601,0.5,0
35,46601,0.375,0
36,46601,0.25,0
37,46601,0.125,0
38,46601,0.0,0
39,46257,0.125,8
40,45104,0.25,13
41,43450,0.375,13
42,42543,0.5,15
43,42543,0.625,15
44,42543,0.75,15
45,42543,0.875,15
46,42543,1.0,15
47,42543,1.125,15
48,42543,1.25,15
49,42543,1.375,15
50,42543,1.5,15
51,42543,1.625,15
52,42543,1.75,15
53,48011,1.875,5
54,50627,1.75,0
55,47993,1.875,1
56,47412,2.0,1
57,46855,2.125,1
58,45845,2.25,1
59,46194,2.125,0
60,46194,2.0,0
61,46194,1.875,0
62,46194,1.75,0
63,46194,1.625,0
64,46194,1.5,0
65,46194,1.375,0
66,46194,1.25,0
67,46194,1.125,0
68,46194,1.0,0
69,46194,0.875,0
70,46194,0.75,0
71,46194,0.625,0
72,46194,0.5,0
73,46194,0.375,0
74,45267,0.5,4
75,44952,0.625,4
76,44921,0.75,4
77,44292,0.875,5
78,44043,1.0,5
79,44041,1.125,5
80,44041,1.25,5
81,44041,1.375,5
82,43719,1.5,5
83,43477,1.625,5
84,43252,1.75,5
85,43199,1.875,5
86,43199,2.0,5
87,43826,2.125,4
88,43819,2.25,4
89,43819,2.375,4
90,45793,2.5,2
91,45649,2.625,2
92,45528,2.75,2
93,45258,2.875,2
94,44873,3.0,2
95,45996,3.125,1
96,45862,3.25,1
97,45862,3.375,1
98,45862,3.5,1
99,45862,3.625,1
100,45862,3.75,1
101,45862,3.875,1
102,45862,4.0,1
103,45862,4.125,1
104,47554,4.0,0
105,47334,3.875,0
106,47334,3.75,0
107,47334,3.625,0
108,47334,3.5,0
109,47334,3.375,0
110,47334,3.25,0
111,47334,3.125,0
112,47334,3.0,0
113,47334,2.875,0
114,47334,2.75,0
115,47334,2.625,0
116,47334,2.5,0
117,47334,2.375,0
118,47334,2.25,0
119,47334,2.125,0
120,47334,2.0,0
121,47334,1.875,0
122,47334,1.75,0
123,47334,1.625,0
124,47334,1.5,0
125,47334,1.375,0
126,47334,1.25,0
127,47334,1.125,0
128,47334,1.0,0
129,47334,0.875,0
130,47334,0.75,0
131,47334,0.625,0
132,47334,0.5,0
133,47334,0.375,0
134,45464,0.5,8
135,44650,0.625,8
136,43545,0.75,9
137,43117,0.875,7
138,43117,1.0,7
139,43117,1.125,7
140,43117,1.25,7
141,43117,1.375,7
142,44660,1.5,3
143,45205,1.625,1
144,45180,1.75,1
145,45180,1.875,1
146,45180,2.0,1
147,45180,2.125,1
148,45180,2.25,1
149,45180,2.375,1
150,45180,2.5,1
151,45180,2.625,1
152,45180,2.75,1
153,45180,2.875,1
154,45180,3.0,1
155,45180,3.125,1
156,46533,3.0,0
157,46325,2.875,0
158,46325,2.75,0
159,46325,2.625,0
160,46325,2.5,0
161,46325,2.375,0
162,46325,2.25,0
163,46325,2.125,0
164,46325,2.0,0
165,46325,1.875,0
166,46325,1.75,0
167,46325,1.625,0
168,46325,1.5,0
169,46325,1.375,0
170,46325,1.25,0
171,46325,1.125,0
172,46325,1.0,0
173,46325,0.875,0
174,46325,0.75,0
175,46325,0.625,0
176,46325,0.5,0
177,46325,0.375,0
178,46325,0.25,0
179,46325,0.125,0
180,45582,0.25,5
181,44378,0.375,6
182,43553,0.5,6
183,43543,0.625,4
184,43007,0.75,6
185,42887,0.875,6
186,42887,1.0,6
187,42887,1.125,6
188,42887,1.25,6
189,42887,1.375,6
190,42887,1.5,6
191,42887,1.625,6
192,42887,1.75,6
193,42887,1.875,6
194,42887,2.0,6
195,42887,2.125,6
196,42887,2.25,6
197,42887,2.375,6
198,42887,2.5,6
199,42887,2.625,6
200,42887,2.75,6
201,42887,2.875,6
202,42887,3.0,6
203,42887,3.125,6
204,42887,3.25,6
205,42887,3.375,6
206,42887,3.5,6
207,42887,3.625,6
208,42887,3.75,6
209,42887,3.875,6
210,42887,4.0,6
211,42887,4.125,6
212,46606,4.25,2
213,48988,4.125,0
214,47734,4.0,0
215,46765,3.875,0
216,46379,3.75,0
217,46173,3.625,0
218,46173,3.5,0
219,46173,3.375,0
220,46173,3.25,0
221,46173,3.125,0
222,46173,3.0,0
223,46173,2.875,0
224,46173,2.75,0
225,46173,2.625,0
226,46173,2.5,0
227,46173,2.375,0
228,46173,2.25,0
229,46173,2.125,0
230,46173,2.0,0
231,46173,1.875,0
232,46173,1.75,0
233,46173,1.625,0
234,46173,1.5,0
235,46173,1.375,0
236,46173,1.25,0
237,46173,1.125,0
238,46173,1.0,0
239,46173,0.875,0
240,46173,0.75,0
241,46173,0.625,0
242,46173,0.5,0
243,46173,0.375,0
244,46173,0.25,0
245,46173,0.125,0
246,46173,0.0,0
247,46173,0.0,0
248,46173,0.0,0
249,45982,0.125,2
250,44457,0.25,5
251,43369,0.375,5
252,42632,0.5,7
253,42272,0.625,7
254,42272,0.75,7
255,42272,0.875,7
256,42272,1.0,7
257,42272,1.125,7
258,42272,1.25,7
259,42272,1.375,7
260,42272,1.5,7
261,42272,1.625,7
262,42272,1.75,7
263,45645,1.875,2
264,45513,2.0,2
265,45513,2.125,2
266,45513,2.25,2
267,45513,2.375,2
268,45513,2.5,2
269,45513,2.625,2
270,45513,2.75,2
271,45513,2.875,2
272,45513,3.0,2
273,45513,3.125,2
274,45513,3.25,2
275,45513,3.375,2
276,45513,3.5,2
277,45513,3.625,2
278,45513,3.75,2
279,45513,3.875,2
280,45513,4.0,2
281,45513,4.125,2
