neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
97860,95930,611,95319,1930,24484,0,24484,Fri Jun 24 19:22:48 CEST 2011,Fri Jun 24 19:22:52 CEST 2011,3999,46173,46173.0,0.0,0
57120,55891,347,55544,1229,14092,0,14092,Fri Jun 24 19:22:48 CEST 2011,Fri Jun 24 19:22:51 CEST 2011,2962,46231,46231.0,0.0,0
71400,69971,474,69497,1429,18455,0,18455,Fri Jun 24 19:22:48 CEST 2011,Fri Jun 24 19:22:51 CEST 2011,3180,45778,45778.0,0.0,0
70350,68921,432,68489,1429,16859,0,16859,Fri Jun 24 19:22:48 CEST 2011,Fri Jun 24 19:22:52 CEST 2011,3547,46260,46260.0,0.0,0
90510,88617,558,88059,1893,21722,0,21722,Fri Jun 24 19:22:48 CEST 2011,Fri Jun 24 19:22:52 CEST 2011,3858,45984,45984.0,0.0,0
78750,77378,531,76847,1372,21305,0,21305,Fri Jun 24 19:22:48 CEST 2011,Fri Jun 24 19:22:52 CEST 2011,3573,45198,45198.0,0.0,0
78750,77378,534,76844,1372,21305,0,21305,Fri Jun 24 19:22:48 CEST 2011,Fri Jun 24 19:22:52 CEST 2011,3632,45198,45198.0,0.0,0
57120,55891,347,55544,1229,14092,0,14092,Fri Jun 24 19:22:48 CEST 2011,Fri Jun 24 19:22:51 CEST 2011,3108,46231,46231.0,0.0,0
90510,88617,558,88059,1893,21722,0,21722,Fri Jun 24 19:22:48 CEST 2011,Fri Jun 24 19:22:52 CEST 2011,3735,45984,45984.0,0.0,0
83160,81463,525,80938,1697,19668,0,19668,Fri Jun 24 19:22:48 CEST 2011,Fri Jun 24 19:22:52 CEST 2011,3704,44986,44986.0,0.0,0
