neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
184450,181371,1124,180247,3079,52169,0,52169,Fri Jun 24 19:20:12 CEST 2011,Fri Jun 24 19:20:17 CEST 2011,5423,44110,44110.0,0.0,0
64498,63024,308,62716,1474,12060,0,12060,Fri Jun 24 19:20:12 CEST 2011,Fri Jun 24 19:20:15 CEST 2011,3628,46510,46510.0,0.0,0
64498,63024,308,62716,1474,12060,0,12060,Fri Jun 24 19:20:12 CEST 2011,Fri Jun 24 19:20:15 CEST 2011,3602,46510,46510.0,0.0,0
124950,122369,667,121702,2581,26286,0,26286,Fri Jun 24 19:20:12 CEST 2011,Fri Jun 24 19:20:17 CEST 2011,4917,44520,44520.0,0.0,0
109242,107553,698,106855,1689,31262,0,31262,Fri Jun 24 19:20:12 CEST 2011,Fri Jun 24 19:20:16 CEST 2011,4659,44663,44663.0,0.0,0
63070,62089,396,61693,981,20744,0,20744,Fri Jun 24 19:20:12 CEST 2011,Fri Jun 24 19:20:15 CEST 2011,3338,43414,43414.0,0.0,0
64022,63026,413,62613,996,16601,0,16601,Fri Jun 24 19:20:12 CEST 2011,Fri Jun 24 19:20:15 CEST 2011,3297,43707,43707.0,0.0,0
118048,115668,636,115032,2380,24300,0,24300,Fri Jun 24 19:20:12 CEST 2011,Fri Jun 24 19:20:16 CEST 2011,4745,45225,45225.0,0.0,0
71876,70612,445,70167,1264,17054,0,17054,Fri Jun 24 19:20:12 CEST 2011,Fri Jun 24 19:20:15 CEST 2011,3565,44838,44838.0,0.0,0
137088,134987,850,134137,2101,37786,0,37786,Fri Jun 24 19:20:12 CEST 2011,Fri Jun 24 19:20:17 CEST 2011,4864,43338,43338.0,0.0,0
