neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
465248,454319,633,453686,10929,33868,0,33868,Fri Jun 24 19:20:46 CEST 2011,Fri Jun 24 19:21:04 CEST 2011,18096,45225,45225.0,0.0,0
251384,244190,299,243891,7194,14158,0,14158,Fri Jun 24 19:20:46 CEST 2011,Fri Jun 24 19:21:01 CEST 2011,14509,46510,46510.0,0.0,0
250446,245168,360,244808,5278,31285,0,31285,Fri Jun 24 19:20:46 CEST 2011,Fri Jun 24 19:21:00 CEST 2011,13987,44443,44443.0,0.0,0
253260,248327,394,247933,4933,39886,0,39886,Fri Jun 24 19:20:46 CEST 2011,Fri Jun 24 19:21:00 CEST 2011,14026,43039,43039.0,0.0,0
288904,281622,418,281204,7282,24988,0,24988,Fri Jun 24 19:20:46 CEST 2011,Fri Jun 24 19:21:01 CEST 2011,15043,44753,44753.0,0.0,0
465248,454319,633,453686,10929,33868,0,33868,Fri Jun 24 19:20:46 CEST 2011,Fri Jun 24 19:21:04 CEST 2011,17935,45225,45225.0,0.0,0
283276,277240,445,276795,6036,26274,0,26274,Fri Jun 24 19:20:46 CEST 2011,Fri Jun 24 19:21:01 CEST 2011,14924,44838,44838.0,0.0,0
726950,712282,1118,711164,14668,99805,0,99805,Fri Jun 24 19:20:46 CEST 2011,Fri Jun 24 19:21:07 CEST 2011,20230,44110,44110.0,0.0,0
252322,247705,408,247297,4617,33316,0,33316,Fri Jun 24 19:20:46 CEST 2011,Fri Jun 24 19:21:00 CEST 2011,13515,43707,43707.0,0.0,0
253260,248328,394,247934,4932,39886,0,39886,Fri Jun 24 19:20:46 CEST 2011,Fri Jun 24 19:21:00 CEST 2011,13429,43039,43039.0,0.0,0
