iteration,cost,penalty,softConstraintViolations
1,42177,0.125,22
2,40933,0.25,23
3,40067,0.375,24
4,39967,0.5,23
5,40186,0.625,19
6,40943,0.75,14
7,40943,0.875,14
8,40943,1.0,14
9,40943,1.125,14
10,40943,1.25,14
11,40943,1.375,14
12,40943,1.5,14
13,40943,1.625,14
14,43928,1.75,8
15,44593,1.875,6
16,46268,2.0,3
17,47515,2.125,1
18,47309,2.25,1
19,47154,2.375,1
20,46716,2.5,1
21,47529,2.375,0
22,46959,2.25,0
23,46888,2.125,0
24,46888,2.0,0
25,46888,1.875,0
26,46888,1.75,0
27,46888,1.625,0
28,46888,1.5,0
29,46888,1.375,0
30,46888,1.25,0
31,46888,1.125,0
32,46888,1.0,0
33,46888,0.875,0
34,46888,0.75,0
35,46888,0.625,0
36,46888,0.5,0
37,46888,0.375,0
38,46888,0.25,0
39,46888,0.125,0
40,46888,0.0,0
41,46888,0.0,0
42,46888,0.0,0
43,46888,0.0,0
44,46888,0.0,0
45,46888,0.0,0
46,46888,0.0,0
47,46888,0.0,0
48,46888,0.0,0
49,46888,0.0,0
50,46888,0.0,0
51,46888,0.0,0
52,46888,0.0,0
53,46888,0.0,0
54,46888,0.0,0
55,46888,0.0,0
56,46888,0.0,0
57,46888,0.0,0
58,46888,0.0,0
59,46888,0.0,0
60,46888,0.0,0
61,46888,0.0,0
62,46888,0.0,0
63,46888,0.0,0
64,46888,0.0,0
65,46888,0.0,0
66,46888,0.0,0
67,46888,0.0,0
68,46888,0.0,0
69,46888,0.0,0
70,46888,0.0,0
71,46888,0.0,0
72,46888,0.0,0
73,46888,0.0,0
74,46888,0.0,0
75,46888,0.0,0
76,46888,0.0,0
77,46888,0.0,0
78,46888,0.0,0
79,46888,0.0,0
80,46888,0.0,0
81,46888,0.0,0
82,46888,0.0,0
83,46888,0.0,0
84,46888,0.0,0
85,46888,0.0,0
86,46888,0.0,0
87,46888,0.0,0
88,45505,0.125,3
89,44923,0.25,6
90,44525,0.375,7
91,44597,0.5,6
92,44545,0.625,6
93,43477,0.75,6
94,43100,0.875,6
95,43100,1.0,6
96,43100,1.125,6
97,43100,1.25,6
98,43100,1.375,6
99,43100,1.5,6
100,43100,1.625,6
101,43100,1.75,6
102,43100,1.875,6
103,43092,2.0,5
104,45591,2.125,1
105,45687,2.0,0
106,45469,1.875,0
107,45469,1.75,0
108,45469,1.625,0
109,45469,1.5,0
110,45469,1.375,0
111,45469,1.25,0
112,45469,1.125,0
113,45469,1.0,0
114,45469,0.875,0
115,45469,0.75,0
116,45469,0.625,0
117,45469,0.5,0
118,45469,0.375,0
119,45469,0.25,0
120,45469,0.125,0
121,45469,0.0,0
122,45469,0.0,0
123,45253,0.125,18
124,43502,0.25,6
125,42464,0.375,7
126,42412,0.5,7
127,41945,0.625,8
128,41945,0.75,8
129,41945,0.875,8
130,41945,1.0,8
131,41945,1.125,8
132,41945,1.25,8
133,41945,1.375,8
134,41945,1.5,8
135,41945,1.625,8
136,41945,1.75,8
137,41945,1.875,8
138,41945,2.0,8
139,41945,2.125,8
140,41945,2.25,8
141,41945,2.375,8
142,41945,2.5,8
143,41945,2.625,8
144,47645,2.5,0
145,46474,2.375,0
146,45646,2.25,0
147,45394,2.125,0
148,45232,2.0,0
149,45206,1.875,0
150,45139,1.75,0
151,45139,1.625,0
152,45139,1.5,0
153,45139,1.375,0
154,45139,1.25,0
155,45139,1.125,0
156,45139,1.0,0
157,45139,0.875,0
158,45139,0.75,0
159,45139,0.625,0
160,45139,0.5,0
161,45139,0.375,0
162,45139,0.25,0
163,45139,0.125,0
164,45139,0.0,0
165,45139,0.0,0
166,45139,0.0,0
167,44565,0.125,12
168,43136,0.25,14
169,42253,0.375,18
170,42800,0.5,12
171,43043,0.625,8
172,42478,0.75,9
173,42160,0.875,9
174,42558,1.0,7
175,43286,1.125,5
176,44635,1.25,2
177,44171,1.375,2
178,44171,1.5,2
179,44171,1.625,2
180,44171,1.75,2
181,44171,1.875,2
182,44171,2.0,2
183,44171,2.125,2
184,44171,2.25,2
185,44171,2.375,2
186,44171,2.5,2
187,44171,2.625,2
188,44171,2.75,2
189,44171,2.875,2
190,44171,3.0,2
191,44171,3.125,2
192,44171,3.25,2
193,44171,3.375,2
194,44171,3.5,2
195,46679,3.375,0
196,46679,3.25,0
197,46679,3.125,0
198,46679,3.0,0
199,46679,2.875,0
200,46679,2.75,0
201,46679,2.625,0
202,46679,2.5,0
203,46475,2.375,0
204,46199,2.25,0
205,46108,2.125,0
206,45889,2.0,0
207,45590,1.875,0
208,44956,1.75,0
209,44840,1.625,0
210,44663,1.5,0
211,44663,1.375,0
212,44663,1.25,0
213,44663,1.125,0
214,44663,1.0,0
215,44663,0.875,0
216,44663,0.75,0
217,44663,0.625,0
218,44663,0.5,0
219,44663,0.375,0
220,44663,0.25,0
221,44663,0.125,0
222,44663,0.0,0
223,44663,0.0,0
224,44663,0.0,0
225,44663,0.0,0
226,44529,0.125,7
227,43595,0.25,10
228,42819,0.375,11
229,42819,0.5,11
230,42819,0.625,11
231,42571,0.75,8
232,41287,0.875,12
233,40891,1.0,12
234,42177,1.125,8
235,43467,1.25,4
236,43467,1.375,4
237,43467,1.5,4
238,43467,1.625,4
239,43467,1.75,4
240,43467,1.875,4
241,43467,2.0,4
242,43467,2.125,4
243,43467,2.25,4
244,43467,2.375,4
245,43467,2.5,4
246,43467,2.625,4
247,46064,2.5,0
248,45615,2.375,0
249,44919,2.25,0
250,44696,2.125,0
251,44696,2.0,0
252,44696,1.875,0
253,44696,1.75,0
254,44696,1.625,0
255,44696,1.5,0
256,44696,1.375,0
257,44696,1.25,0
258,44696,1.125,0
259,44696,1.0,0
260,44696,0.875,0
261,44696,0.75,0
262,44696,0.625,0
263,44696,0.5,0
264,44696,0.375,0
265,44696,0.25,0
266,44696,0.125,0
267,44495,0.25,2
268,44119,0.375,2
269,44073,0.5,2
270,44073,0.625,2
271,44073,0.75,2
272,44073,0.875,2
273,44073,1.0,2
274,44073,1.125,2
275,44073,1.25,2
276,44073,1.375,2
277,44073,1.5,2
278,44073,1.625,2
279,44073,1.75,2
280,44073,1.875,2
281,44073,2.0,2
282,44073,2.125,2
283,44073,2.25,2
284,44073,2.375,2
285,44073,2.5,2
286,45173,2.375,0
287,45173,2.25,0
288,45173,2.125,0
289,45173,2.0,0
290,45173,1.875,0
291,45173,1.75,0
292,45173,1.625,0
293,45173,1.5,0
294,45173,1.375,0
295,45173,1.25,0
296,45173,1.125,0
297,45173,1.0,0
298,45173,0.875,0
299,45173,0.75,0
300,45173,0.625,0
301,45173,0.5,0
302,45173,0.375,0
303,45173,0.25,0
304,45173,0.125,0
305,45173,0.0,0
306,45173,0.0,0
307,45173,0.0,0
308,45173,0.0,0
309,45173,0.0,0
310,45173,0.0,0
311,44792,0.125,12
312,44004,0.25,12
313,43203,0.375,14
314,42010,0.5,12
315,42011,0.625,11
316,41872,0.75,11
317,42010,0.875,10
318,43306,1.0,6
319,43390,1.125,4
320,43348,1.25,4
321,42804,1.375,4
322,42804,1.5,4
323,42804,1.625,4
324,42804,1.75,4
325,42804,1.875,4
326,42804,2.0,4
327,42804,2.125,4
328,42804,2.25,4
329,44337,2.375,2
330,44337,2.5,2
331,44337,2.625,2
332,44337,2.75,2
333,44337,2.875,2
334,44337,3.0,2
335,44337,3.125,2
336,44337,3.25,2
337,44337,3.375,2
338,44337,3.5,2
339,44337,3.625,2
340,44337,3.75,2
341,44337,3.875,2
342,44337,4.0,2
343,44337,4.125,2
344,44337,4.25,2
345,46947,4.125,0
346,46612,4.0,0
347,46313,3.875,0
348,46309,3.75,0
349,46147,3.625,0
350,46066,3.5,0
351,46066,3.375,0
352,46066,3.25,0
353,46066,3.125,0
354,46066,3.0,0
355,46066,2.875,0
356,46066,2.75,0
357,46066,2.625,0
358,46066,2.5,0
359,46066,2.375,0
360,46066,2.25,0
361,46066,2.125,0
362,46066,2.0,0
363,46066,1.875,0
364,46066,1.75,0
365,46066,1.625,0
366,46066,1.5,0
367,46066,1.375,0
368,46066,1.25,0
369,46066,1.125,0
370,46066,1.0,0
371,46066,0.875,0
372,46066,0.75,0
373,46066,0.625,0
374,46066,0.5,0
375,46066,0.375,0
376,46066,0.25,0
377,46066,0.125,0
378,46066,0.0,0
379,44103,0.125,14
380,43265,0.25,14
381,42920,0.375,8
382,42631,0.5,8
383,42368,0.625,8
384,42368,0.75,8
385,42368,0.875,8
386,42368,1.0,8
387,42368,1.125,8
388,42368,1.25,8
389,42368,1.375,8
390,42368,1.5,8
391,42368,1.625,8
392,42368,1.75,8
393,42368,1.875,8
394,42368,2.0,8
395,42368,2.125,8
396,42368,2.25,8
397,42368,2.375,8
398,42368,2.5,8
399,42368,2.625,8
400,44283,2.75,6
401,46700,2.875,2
402,46887,3.0,1
403,47377,2.875,0
404,46738,2.75,0
405,46356,2.625,0
406,46034,2.5,0
407,46032,2.375,0
408,46032,2.25,0
409,46032,2.125,0
410,46032,2.0,0
411,46032,1.875,0
