neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
479136,468162,632,467530,10974,34516,0,34516,Fri Jun 24 19:23:34 CEST 2011,Fri Jun 24 19:23:55 CEST 2011,20227,45225,45225.0,0.0,0
291732,285660,445,285215,6072,26830,0,26830,Fri Jun 24 19:23:34 CEST 2011,Fri Jun 24 19:23:50 CEST 2011,15419,44838,44838.0,0.0,0
260820,255850,395,255455,4970,41241,0,41241,Fri Jun 24 19:23:34 CEST 2011,Fri Jun 24 19:23:48 CEST 2011,13908,43039,43039.0,0.0,0
297528,290212,418,289794,7316,25443,0,25443,Fri Jun 24 19:23:34 CEST 2011,Fri Jun 24 19:23:50 CEST 2011,15659,44753,44753.0,0.0,0
443394,435445,700,434745,7949,66470,0,66470,Fri Jun 24 19:23:34 CEST 2011,Fri Jun 24 19:23:54 CEST 2011,19229,44663,44663.0,0.0,0
319746,311132,408,310724,8614,55276,0,55276,Fri Jun 24 19:23:34 CEST 2011,Fri Jun 24 19:23:51 CEST 2011,16829,44317,44317.0,0.0,0
261786,254576,310,254266,7210,14706,0,14706,Fri Jun 24 19:23:35 CEST 2011,Fri Jun 24 19:23:49 CEST 2011,14662,46510,46510.0,0.0,0
479136,468162,633,467529,10974,34516,0,34516,Fri Jun 24 19:23:35 CEST 2011,Fri Jun 24 19:23:54 CEST 2011,19952,45225,45225.0,0.0,0
407652,400845,625,400220,6807,33316,0,33316,Fri Jun 24 19:23:35 CEST 2011,Fri Jun 24 19:23:53 CEST 2011,17967,43575,43575.0,0.0,0
748650,733889,1124,732765,14761,103017,0,103017,Fri Jun 24 19:23:35 CEST 2011,Fri Jun 24 19:23:57 CEST 2011,22219,44110,44110.0,0.0,0
