iteration,cost,penalty,softConstraintViolations
1,43212,0.125,22
2,41674,0.25,22
3,41280,0.375,22
4,41118,0.5,21
5,41463,0.625,18
6,41233,0.75,18
7,41233,0.875,18
8,41233,1.0,18
9,41233,1.125,18
10,41233,1.25,18
11,41233,1.375,18
12,41233,1.5,18
13,43767,1.625,12
14,47259,1.75,6
15,47169,1.875,6
16,48172,2.0,4
17,49217,2.125,2
18,48941,2.25,1
19,48519,2.375,1
20,48077,2.5,1
21,48883,2.375,0
22,47798,2.25,0
23,47785,2.125,0
24,47785,2.0,0
25,47785,1.875,0
26,46843,1.75,0
27,46843,1.625,0
28,46843,1.5,0
29,46843,1.375,0
30,46843,1.25,0
31,46843,1.125,0
32,46843,1.0,0
33,46843,0.875,0
34,46843,0.75,0
35,46843,0.625,0
36,46843,0.5,0
37,46843,0.375,0
38,46843,0.25,0
39,46843,0.125,0
40,46843,0.0,0
41,46843,0.0,0
42,46843,0.0,0
43,46843,0.0,0
44,46843,0.0,0
45,45590,0.125,7
46,44799,0.25,8
47,44391,0.375,9
48,43876,0.5,9
49,43877,0.625,8
50,43896,0.75,7
51,43896,0.875,7
52,43896,1.0,7
53,43896,1.125,7
54,43896,1.25,7
55,43896,1.375,7
56,43896,1.5,7
57,43896,1.625,7
58,43896,1.75,7
59,43896,1.875,7
60,43896,2.0,7
61,43896,2.125,7
62,43896,2.25,7
63,43896,2.375,7
64,43896,2.5,7
65,47447,2.625,3
66,49643,2.5,0
67,49296,2.375,0
68,49136,2.25,0
69,49073,2.125,0
70,49073,2.0,0
71,49001,1.875,0
72,48825,1.75,0
73,48279,1.625,0
74,48279,1.5,0
75,48279,1.375,0
76,48279,1.25,0
77,48279,1.125,0
78,48279,1.0,0
79,48279,0.875,0
80,48279,0.75,0
81,48279,0.625,0
82,48279,0.5,0
83,48279,0.375,0
84,48279,0.25,0
85,48279,0.125,0
86,48279,0.0,0
87,48279,0.0,0
88,48279,0.0,0
89,48279,0.0,0
90,48279,0.0,0
91,48279,0.0,0
92,48279,0.0,0
93,48279,0.0,0
94,48243,0.125,2
95,46953,0.25,9
96,46217,0.375,9
97,45171,0.5,9
98,44781,0.625,9
99,44513,0.75,9
100,44238,0.875,9
101,44850,1.0,7
102,44603,1.125,5
103,46013,1.25,1
104,46387,1.125,0
105,46301,1.0,0
106,46255,0.875,0
107,46255,0.75,0
108,46255,0.625,0
109,46255,0.5,0
110,46255,0.375,0
111,46255,0.25,0
112,46255,0.125,0
113,46255,0.0,0
114,46255,0.0,0
115,46255,0.0,0
116,46255,0.0,0
117,46255,0.0,0
118,46255,0.0,0
119,46255,0.0,0
120,46255,0.0,0
121,46255,0.0,0
122,46255,0.0,0
123,46255,0.0,0
124,46255,0.0,0
125,46255,0.0,0
126,46255,0.0,0
127,46255,0.0,0
128,46255,0.0,0
129,46255,0.0,0
130,46255,0.0,0
131,46255,0.0,0
132,46255,0.0,0
133,46255,0.0,0
134,46255,0.0,0
135,46255,0.0,0
136,46255,0.0,0
137,46255,0.0,0
138,46255,0.0,0
139,46255,0.0,0
140,46255,0.0,0
141,46255,0.0,0
142,46255,0.0,0
143,46255,0.0,0
144,46255,0.0,0
145,46255,0.0,0
146,46255,0.0,0
147,46255,0.0,0
148,46255,0.0,0
149,46255,0.0,0
150,46255,0.0,0
151,46255,0.0,0
152,46255,0.0,0
153,46255,0.0,0
154,46255,0.0,0
155,46255,0.0,0
156,46255,0.0,0
157,46255,0.0,0
158,46255,0.0,0
159,46255,0.0,0
160,46255,0.0,0
161,46255,0.0,0
162,46255,0.0,0
163,46255,0.0,0
164,46255,0.0,0
165,46255,0.0,0
166,46255,0.0,0
167,46255,0.0,0
168,46255,0.0,0
169,46255,0.0,0
170,46255,0.0,0
171,45086,0.125,5
172,44589,0.25,6
173,44274,0.375,6
174,44081,0.5,6
175,44022,0.625,6
176,43953,0.75,6
177,43817,0.875,6
178,43817,1.0,6
179,43817,1.125,6
180,43817,1.25,6
181,43817,1.375,6
182,43817,1.5,6
183,43817,1.625,6
184,43817,1.75,6
185,43817,1.875,6
186,43817,2.0,6
187,43817,2.125,6
188,43817,2.25,6
189,43817,2.375,6
190,43817,2.5,6
191,43817,2.625,6
192,43817,2.75,6
193,45928,2.875,4
194,48109,2.75,0
195,47969,2.625,0
196,47258,2.5,0
197,46978,2.375,0
198,46909,2.25,0
199,46473,2.125,0
200,46444,2.0,0
201,46444,1.875,0
202,46444,1.75,0
203,46444,1.625,0
204,46444,1.5,0
205,46444,1.375,0
206,46444,1.25,0
207,46444,1.125,0
208,46444,1.0,0
209,46444,0.875,0
210,46444,0.75,0
211,46444,0.625,0
212,46444,0.5,0
213,46444,0.375,0
214,46444,0.25,0
215,46444,0.125,0
216,45216,0.25,10
217,44543,0.375,12
218,44471,0.5,12
219,44165,0.625,12
220,45287,0.75,6
221,45084,0.875,6
222,44873,1.0,6
223,44873,1.125,6
224,44873,1.25,6
225,44873,1.375,6
226,44873,1.5,6
227,44873,1.625,6
228,44873,1.75,6
229,44873,1.875,6
230,44873,2.0,6
231,47984,2.125,2
232,47367,2.25,2
233,48208,2.375,1
234,48076,2.5,1
235,48076,2.625,1
236,48076,2.75,1
237,48076,2.875,1
238,48076,3.0,1
239,48750,2.875,0
240,48750,2.75,0
241,48454,2.625,0
242,48208,2.5,0
243,47267,2.375,0
244,47195,2.25,0
245,47157,2.125,0
246,47149,2.0,0
247,46822,1.875,0
248,46380,1.75,0
249,45087,1.875,1
250,44739,2.0,1
251,44615,2.125,1
252,44524,2.25,1
253,44524,2.375,1
254,44524,2.5,1
255,44524,2.625,1
256,44524,2.75,1
257,44524,2.875,1
258,44524,3.0,1
259,44524,3.125,1
260,44524,3.25,1
261,44524,3.375,1
262,44524,3.5,1
263,44524,3.625,1
264,44524,3.75,1
265,44524,3.875,1
266,44524,4.0,1
267,44524,4.125,1
268,44524,4.25,1
269,44524,4.375,1
270,44524,4.5,1
271,44524,4.625,1
272,44524,4.75,1
273,44524,4.875,1
274,44524,5.0,1
275,44524,5.125,1
276,45799,5.0,0
277,45796,4.875,0
278,45796,4.75,0
279,45796,4.625,0
280,45796,4.5,0
281,45796,4.375,0
282,45796,4.25,0
283,45796,4.125,0
284,45796,4.0,0
285,45796,3.875,0
286,45796,3.75,0
287,45796,3.625,0
288,45796,3.5,0
289,45796,3.375,0
290,45796,3.25,0
291,45796,3.125,0
292,45796,3.0,0
293,45796,2.875,0
294,45796,2.75,0
295,45796,2.625,0
296,45796,2.5,0
297,45796,2.375,0
298,45796,2.25,0
299,45796,2.125,0
300,45796,2.0,0
301,45796,1.875,0
302,45796,1.75,0
303,45796,1.625,0
304,45796,1.5,0
305,45796,1.375,0
306,45796,1.25,0
307,45796,1.125,0
308,45796,1.0,0
309,45796,0.875,0
310,45796,0.75,0
311,45796,0.625,0
312,45796,0.5,0
313,45796,0.375,0
314,45796,0.25,0
315,45796,0.125,0
316,45796,0.0,0
317,45796,0.0,0
318,45796,0.0,0
319,45796,0.0,0
320,45796,0.0,0
321,45796,0.0,0
322,45796,0.0,0
323,45796,0.0,0
324,45796,0.0,0
325,45796,0.0,0
326,45796,0.0,0
327,45796,0.0,0
328,45796,0.0,0
329,45796,0.0,0
330,45796,0.0,0
331,45796,0.0,0
332,45796,0.0,0
333,45796,0.0,0
334,45796,0.0,0
335,45796,0.0,0
336,45796,0.0,0
337,45796,0.0,0
338,45796,0.0,0
339,45796,0.0,0
340,45796,0.0,0
341,45796,0.0,0
342,44826,0.125,6
343,44214,0.25,8
344,42653,0.375,12
345,41997,0.5,15
346,41133,0.625,15
347,40581,0.75,16
348,40581,0.875,16
349,40581,1.0,16
350,40581,1.125,16
351,40581,1.25,16
352,40581,1.375,16
353,40581,1.5,16
354,40581,1.625,16
355,40581,1.75,16
356,45418,1.875,8
357,45653,2.0,6
358,46239,2.125,5
359,46069,2.25,4
360,46758,2.375,3
361,47767,2.5,2
362,47055,2.625,2
363,46710,2.75,2
364,47739,2.875,1
365,47530,3.0,1
366,47124,3.125,1
