neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
88788,87481,803,86678,1307,29654,0,29654,Fri Jun 24 19:24:27 CEST 2011,Fri Jun 24 19:24:30 CEST 2011,3673,45557,45557.0,0.0,0
41601,40901,361,40540,700,12576,0,12576,Fri Jun 24 19:24:27 CEST 2011,Fri Jun 24 19:24:29 CEST 2011,2259,45522,45522.0,0.0,0
88788,87481,803,86678,1307,29654,0,29654,Fri Jun 24 19:24:27 CEST 2011,Fri Jun 24 19:24:30 CEST 2011,3683,45557,45557.0,0.0,0
70266,69376,740,68636,890,23747,0,23747,Fri Jun 24 19:24:27 CEST 2011,Fri Jun 24 19:24:30 CEST 2011,3214,46073,46073.0,0.0,0
72324,71086,603,70483,1238,14789,0,14789,Fri Jun 24 19:24:27 CEST 2011,Fri Jun 24 19:24:30 CEST 2011,3321,46269,46269.0,0.0,0
92463,91073,862,90211,1390,33002,0,33002,Fri Jun 24 19:24:27 CEST 2011,Fri Jun 24 19:24:30 CEST 2011,3596,45130,45130.0,0.0,0
40278,39693,391,39302,585,14762,0,14762,Fri Jun 24 19:24:27 CEST 2011,Fri Jun 24 19:24:29 CEST 2011,1929,45925,45925.0,0.0,0
124362,122463,1080,121383,1899,44903,0,44903,Fri Jun 24 19:24:27 CEST 2011,Fri Jun 24 19:24:31 CEST 2011,3851,46224,46224.0,0.0,0
124362,122463,1079,121384,1899,44903,0,44903,Fri Jun 24 19:24:27 CEST 2011,Fri Jun 24 19:24:31 CEST 2011,3811,46224,46224.0,0.0,0
77322,76203,748,75455,1119,35996,0,35996,Fri Jun 24 19:24:27 CEST 2011,Fri Jun 24 19:24:30 CEST 2011,3264,45796,45796.0,0.0,0
