iteration,cost,penalty,softConstraintViolations
1,40709,0.125,22
2,39776,0.25,14
3,39141,0.375,18
4,39633,0.5,14
5,40116,0.625,11
6,40083,0.75,11
7,40083,0.875,11
8,40083,1.0,11
9,40083,1.125,11
10,40083,1.25,11
11,40083,1.375,11
12,40083,1.5,11
13,40083,1.625,11
14,40083,1.75,11
15,40083,1.875,11
16,42605,2.0,7
17,44146,2.125,4
18,42978,2.25,4
19,43787,2.375,3
20,44633,2.5,2
21,44241,2.625,2
22,44241,2.75,2
23,44241,2.875,2
24,44241,3.0,2
25,44241,3.125,2
26,44241,3.25,2
27,44241,3.375,2
28,44241,3.5,2
29,44241,3.625,2
30,44241,3.75,2
31,44241,3.875,2
32,44241,4.0,2
33,44241,4.125,2
34,44241,4.25,2
35,44241,4.375,2
36,44241,4.5,2
37,44241,4.625,2
38,44241,4.75,2
39,44241,4.875,2
40,44241,5.0,2
41,44241,5.125,2
42,44241,5.25,2
43,44241,5.375,2
44,44241,5.5,2
45,44241,5.625,2
46,44241,5.75,2
47,44241,5.875,2
48,44241,6.0,2
49,44241,6.125,2
50,44241,6.25,2
51,44241,6.375,2
52,44241,6.5,2
53,46447,6.625,1
54,47422,6.5,0
55,46282,6.375,0
56,45979,6.25,0
57,45449,6.125,0
58,44753,6.0,0
59,44753,5.875,0
60,44753,5.75,0
61,44753,5.625,0
62,44753,5.5,0
63,44753,5.375,0
64,44753,5.25,0
65,44753,5.125,0
66,44753,5.0,0
67,44753,4.875,0
68,44753,4.75,0
69,44753,4.625,0
70,44753,4.5,0
71,44753,4.375,0
72,44753,4.25,0
73,44753,4.125,0
74,44753,4.0,0
75,44753,3.875,0
76,44753,3.75,0
77,44753,3.625,0
78,44753,3.5,0
79,44753,3.375,0
80,44753,3.25,0
81,44753,3.125,0
82,44753,3.0,0
83,44753,2.875,0
84,44753,2.75,0
85,44753,2.625,0
86,44753,2.5,0
87,44753,2.375,0
88,44753,2.25,0
89,44753,2.125,0
90,44753,2.0,0
91,44753,1.875,0
92,44753,1.75,0
93,44753,1.625,0
94,44753,1.5,0
95,44753,1.375,0
96,44753,1.25,0
97,44753,1.125,0
98,44753,1.0,0
99,44753,0.875,0
100,44753,0.75,0
101,44753,0.625,0
102,44753,0.5,0
103,44753,0.375,0
104,44753,0.25,0
105,44753,0.125,0
106,44753,0.0,0
107,44753,0.0,0
108,44753,0.0,0
109,44753,0.0,0
110,44753,0.0,0
111,44753,0.0,0
112,44753,0.0,0
113,44753,0.0,0
114,44753,0.0,0
115,44753,0.0,0
116,44753,0.0,0
117,44753,0.0,0
118,44753,0.0,0
119,43104,0.125,14
120,41121,0.25,16
121,39345,0.375,16
122,38896,0.5,18
123,38957,0.625,14
124,38811,0.75,13
125,38811,0.875,13
126,38811,1.0,13
127,38811,1.125,13
128,38811,1.25,13
129,38811,1.375,13
130,38811,1.5,13
131,38811,1.625,13
132,38811,1.75,13
133,38811,1.875,13
134,38811,2.0,13
135,43303,2.125,6
136,42605,2.25,5
137,41835,2.375,4
138,42881,2.5,2
139,43751,2.625,1
140,43691,2.75,1
141,43932,2.625,0
142,43932,2.5,0
143,43932,2.375,0
144,43932,2.25,0
145,43932,2.125,0
146,43932,2.0,0
