neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
462462,452719,773,451946,9743,58434,0,58434,Fri Jun 24 19:22:05 CEST 2011,Fri Jun 24 19:22:26 CEST 2011,20373,43435,43435.0,0.0,0
463309,453565,781,452784,9744,58434,0,58434,Fri Jun 24 19:22:05 CEST 2011,Fri Jun 24 19:22:26 CEST 2011,20765,43435,43435.0,0.0,0
642026,629615,1087,628528,12411,69348,0,69348,Fri Jun 24 19:22:05 CEST 2011,Fri Jun 24 19:22:28 CEST 2011,22768,44003,44003.0,0.0,0
438746,430149,704,429445,8597,47653,0,47653,Fri Jun 24 19:22:05 CEST 2011,Fri Jun 24 19:22:25 CEST 2011,19882,43384,43384.0,0.0,0
229537,225264,390,224874,4273,43627,0,43627,Fri Jun 24 19:22:05 CEST 2011,Fri Jun 24 19:22:18 CEST 2011,12118,43449,43449.0,0.0,0
538692,528045,894,527151,10647,66323,0,66323,Fri Jun 24 19:22:06 CEST 2011,Fri Jun 24 19:22:27 CEST 2011,21811,42407,42407.0,0.0,0
463309,453565,781,452784,9744,58434,0,58434,Fri Jun 24 19:22:06 CEST 2011,Fri Jun 24 19:22:26 CEST 2011,20629,43435,43435.0,0.0,0
255794,250398,442,249956,5396,28880,0,28880,Fri Jun 24 19:22:06 CEST 2011,Fri Jun 24 19:22:19 CEST 2011,13709,44838,44838.0,0.0,0
226996,220547,298,220249,6449,13881,0,13881,Fri Jun 24 19:22:06 CEST 2011,Fri Jun 24 19:22:18 CEST 2011,12788,46510,46510.0,0.0,0
538692,528045,893,527152,10647,66323,0,66323,Fri Jun 24 19:22:06 CEST 2011,Fri Jun 24 19:22:27 CEST 2011,21658,42407,42407.0,0.0,0
