iteration,cost,penalty,softConstraintViolations
1,41931,0.125,22
2,41349,0.25,24
3,41603,0.375,19
4,41330,0.5,19
5,41093,0.625,18
6,41023,0.75,18
7,42331,0.875,13
8,42151,1.0,13
9,41848,1.125,13
10,42920,1.25,10
11,43915,1.375,7
12,43141,1.5,7
13,44083,1.625,4
14,43939,1.75,4
15,42918,1.875,4
16,44431,2.0,1
17,44266,2.125,1
18,44443,2.0,0
19,44443,1.875,0
20,44443,1.75,0
21,44443,1.625,0
22,44443,1.5,0
23,44443,1.375,0
24,44443,1.25,0
25,44443,1.125,0
26,44443,1.0,0
27,44443,0.875,0
28,44443,0.75,0
29,44443,0.625,0
30,44443,0.5,0
31,44443,0.375,0
32,44443,0.25,0
33,44443,0.125,0
34,42629,0.25,10
35,41116,0.375,14
36,41099,0.5,13
37,40961,0.625,13
38,41070,0.75,12
39,40937,0.875,12
40,42272,1.0,8
41,42015,1.125,8
42,42530,1.25,6
43,42358,1.375,6
44,45036,1.5,1
45,44907,1.625,1
46,44851,1.75,1
47,44727,1.875,1
48,44727,2.0,1
49,44727,2.125,1
50,44727,2.25,1
51,44727,2.375,1
52,44727,2.5,1
53,44727,2.625,1
54,44727,2.75,1
55,44727,2.875,1
56,44727,3.0,1
57,44727,3.125,1
58,44727,3.25,1
59,44727,3.375,1
60,44727,3.5,1
61,44727,3.625,1
62,44727,3.75,1
63,44727,3.875,1
64,44727,4.0,1
65,44727,4.125,1
66,44727,4.25,1
67,44727,4.375,1
68,44727,4.5,1
69,44727,4.625,1
70,44727,4.75,1
71,44727,4.875,1
72,44727,5.0,1
73,44727,5.125,1
74,44727,5.25,1
75,44727,5.375,1
76,44727,5.5,1
77,44727,5.625,1
78,44727,5.75,1
79,44727,5.875,1
80,44727,6.0,1
81,44727,6.125,1
82,44727,6.25,1
83,44727,6.375,1
84,44727,6.5,1
85,44727,6.625,1
86,44727,6.75,1
87,44727,6.875,1
88,44727,7.0,1
89,44727,7.125,1
90,44727,7.25,1
91,44727,7.375,1
92,44727,7.5,1
93,44727,7.625,1
94,44727,7.75,1
95,44727,7.875,1
96,46642,7.75,0
97,46532,7.625,0
98,46522,7.5,0
99,46522,7.375,0
100,46522,7.25,0
101,46522,7.125,0
102,46522,7.0,0
103,46522,6.875,0
104,46522,6.75,0
105,46522,6.625,0
106,46522,6.5,0
107,46522,6.375,0
108,46522,6.25,0
109,46522,6.125,0
110,46522,6.0,0
111,46522,5.875,0
112,46522,5.75,0
113,46522,5.625,0
114,46522,5.5,0
115,46522,5.375,0
116,46522,5.25,0
117,46522,5.125,0
118,46522,5.0,0
119,46522,4.875,0
120,46522,4.75,0
121,46522,4.625,0
122,46522,4.5,0
123,46522,4.375,0
124,46522,4.25,0
125,46522,4.125,0
126,46522,4.0,0
127,46522,3.875,0
128,46522,3.75,0
129,46522,3.625,0
130,46522,3.5,0
131,46465,3.375,0
132,45841,3.25,0
133,45357,3.125,0
134,45230,3.0,0
135,45079,2.875,0
136,45079,2.75,0
137,45079,2.625,0
138,45079,2.5,0
139,45079,2.375,0
140,45079,2.25,0
141,45079,2.125,0
142,45079,2.0,0
143,45079,1.875,0
144,45079,1.75,0
145,45079,1.625,0
146,45079,1.5,0
147,45079,1.375,0
148,45079,1.25,0
149,45079,1.125,0
150,45079,1.0,0
151,45079,0.875,0
152,45079,0.75,0
153,45079,0.625,0
154,45079,0.5,0
155,45079,0.375,0
156,45079,0.25,0
157,45079,0.125,0
158,45079,0.0,0
159,45079,0.0,0
160,44629,0.125,4
161,43087,0.25,7
162,42684,0.375,6
163,42132,0.5,8
164,41406,0.625,10
