neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
375375,367570,605,366965,7805,38060,0,38060,Fri Jun 24 19:19:47 CEST 2011,Fri Jun 24 19:20:06 CEST 2011,18532,43447,43447.0,0.0,0
557375,546651,903,545748,10724,68388,0,68388,Fri Jun 24 19:19:47 CEST 2011,Fri Jun 24 19:20:11 CEST 2011,24333,42407,42407.0,0.0,0
556500,545777,894,544883,10723,68388,0,68388,Fri Jun 24 19:19:47 CEST 2011,Fri Jun 24 19:20:12 CEST 2011,24378,42407,42407.0,0.0,0
557375,546651,903,545748,10724,68388,0,68388,Fri Jun 24 19:19:47 CEST 2011,Fri Jun 24 19:20:12 CEST 2011,24360,42407,42407.0,0.0,0
557375,546651,906,545745,10724,68388,0,68388,Fri Jun 24 19:19:47 CEST 2011,Fri Jun 24 19:20:11 CEST 2011,24184,42407,42407.0,0.0,0
237125,230660,307,230353,6465,14401,0,14401,Fri Jun 24 19:19:47 CEST 2011,Fri Jun 24 19:20:01 CEST 2011,13609,46510,46510.0,0.0,0
264250,258815,442,258373,5435,29664,0,29664,Fri Jun 24 19:19:47 CEST 2011,Fri Jun 24 19:20:02 CEST 2011,14450,44838,44838.0,0.0,0
557375,546651,903,545748,10724,68388,0,68388,Fri Jun 24 19:19:47 CEST 2011,Fri Jun 24 19:20:12 CEST 2011,24275,42407,42407.0,0.0,0
452375,442946,700,442246,9429,57489,0,57489,Fri Jun 24 19:19:47 CEST 2011,Fri Jun 24 19:20:09 CEST 2011,21380,44354,44354.0,0.0,0
452375,442946,700,442246,9429,57489,0,57489,Fri Jun 24 19:19:47 CEST 2011,Fri Jun 24 19:20:09 CEST 2011,21331,44354,44354.0,0.0,0
