iteration,cost,penalty,softConstraintViolations
1,43482,0.125,21
2,42401,0.25,24
3,42641,0.375,16
4,42369,0.5,17
5,42160,0.625,18
6,43227,0.75,13
7,43894,0.875,10
8,44307,1.0,8
9,44516,1.125,7
10,44417,1.25,7
11,46437,1.375,3
12,47667,1.25,0
13,46682,1.125,0
14,46000,1.0,0
15,45791,0.875,0
16,45986,0.75,0
17,45603,0.625,0
18,42514,0.75,7
19,42446,0.875,7
20,42407,1.0,7
21,42475,1.125,7
22,45564,1.0,0
23,45947,0.875,0
24,46156,0.75,0
25,46195,0.625,0
26,46635,0.5,0
27,45973,0.625,1
28,45764,0.75,1
29,45613,0.875,2
30,45430,1.0,2
31,46065,0.875,0
32,46248,0.75,0
33,46457,0.625,0
34,45913,0.5,0
35,43877,0.625,8
36,43694,0.75,8
37,45730,0.625,0
38,45859,0.5,0
39,43823,0.625,8
40,43228,0.75,9
41,43096,0.875,8
42,43972,1.0,4
43,42150,1.125,8
44,42138,1.25,8
45,42393,1.375,8
46,42405,1.5,8
47,44227,1.625,4
48,44601,1.75,4
49,44105,1.875,4
50,44464,2.0,4
51,44331,2.125,4
52,44198,2.25,4
53,42492,2.375,6
54,43376,2.5,4
55,45561,2.625,2
56,47306,2.5,0
57,46358,2.375,0
58,46671,2.25,0
59,46542,2.125,0
60,46159,2.0,0
61,46324,1.875,0
62,45474,1.75,0
63,45236,1.625,0
64,45087,1.5,0
65,45188,1.375,0
66,45243,1.25,0
67,45369,1.125,0
68,45535,1.0,0
69,45409,0.875,0
70,42520,1.0,7
71,42337,1.125,7
72,43695,1.25,4
73,43594,1.375,4
74,43777,1.5,4
75,43878,1.625,4
76,45337,1.5,0
77,45691,1.375,0
78,45542,1.25,0
79,45441,1.125,0
80,45590,1.0,0
81,45828,0.875,0
82,44369,1.0,4
83,44015,1.125,4
84,43773,1.25,4
85,43901,1.375,4
86,43736,1.5,4
87,43119,1.625,5
88,43361,1.75,5
89,45542,1.875,1
90,46717,1.75,0
91,45867,1.625,0
92,45629,1.5,0
93,45480,1.375,0
94,44305,1.5,2
95,44922,1.625,1
96,45023,1.75,1
97,45078,1.875,1
98,46302,1.75,0
99,46247,1.625,0
100,46146,1.5,0
101,45529,1.625,1
102,45630,1.75,1
103,44406,1.875,2
104,45581,1.75,0
105,45730,1.625,0
106,46309,1.5,0
107,46160,1.375,0
108,46059,1.25,0
109,46208,1.125,0
110,46446,1.0,0
111,44913,1.125,4
112,45663,1.25,2
113,45962,1.375,2
114,46617,1.25,0
115,46224,1.125,0
116,45474,1.0,0
117,45236,0.875,0
118,45087,0.75,0
119,45188,0.625,0
120,44637,0.75,2
121,43144,0.875,6
122,41786,1.0,9
123,42337,1.125,7
124,45243,1.0,0
125,45369,0.875,0
126,42463,1.0,7
127,41398,1.125,10
128,40707,1.25,9
129,44136,1.375,2
130,43913,1.5,2
131,43871,1.625,2
132,43512,1.75,2
133,45040,1.625,0
134,45225,1.5,0
135,43697,1.625,2
136,44082,1.75,2
137,43897,1.875,2
138,43646,2.0,2
139,43266,2.125,2
140,44794,2.0,0
141,45041,1.875,0
142,43513,2.0,2
143,45078,1.875,0
144,44831,1.75,0
145,44878,1.625,0
146,44475,1.5,0
147,44722,1.375,0
148,44976,1.25,0
149,44729,1.125,0
150,45109,1.0,0
151,44855,0.875,0
152,44214,1.0,2
153,43834,1.125,2
