neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
356076,352677,2223,350454,3399,45175,0,45175,Fri Jun 24 19:20:20 CEST 2011,Fri Jun 24 19:20:38 CEST 2011,17261,43596,43596.0,0.0,0
279720,277426,1611,275815,2294,38892,0,38892,Fri Jun 24 19:20:20 CEST 2011,Fri Jun 24 19:20:36 CEST 2011,15952,43557,43557.0,0.0,0
227556,224924,1510,223414,2632,34870,0,34870,Fri Jun 24 19:20:20 CEST 2011,Fri Jun 24 19:20:34 CEST 2011,14039,45678,45678.0,0.0,0
240408,238555,1489,237066,1853,27511,0,27511,Fri Jun 24 19:20:20 CEST 2011,Fri Jun 24 19:20:35 CEST 2011,14826,43187,43187.0,0.0,0
271404,268486,1928,266558,2918,35482,0,35482,Fri Jun 24 19:20:20 CEST 2011,Fri Jun 24 19:20:36 CEST 2011,16116,43872,43872.0,0.0,0
266112,264026,1687,262339,2086,36599,0,36599,Fri Jun 24 19:20:20 CEST 2011,Fri Jun 24 19:20:36 CEST 2011,15923,45084,45084.0,0.0,0
303156,300393,1893,298500,2763,43772,0,43772,Fri Jun 24 19:20:20 CEST 2011,Fri Jun 24 19:20:37 CEST 2011,16666,44337,44337.0,0.0,0
254016,251719,2032,249687,2297,30105,0,30105,Fri Jun 24 19:20:20 CEST 2011,Fri Jun 24 19:20:36 CEST 2011,15172,44127,44127.0,0.0,0
285012,282223,1683,280540,2789,38544,0,38544,Fri Jun 24 19:20:20 CEST 2011,Fri Jun 24 19:20:37 CEST 2011,16662,44551,44551.0,0.0,0
532980,528155,3676,524479,4825,64726,0,64726,Fri Jun 24 19:20:20 CEST 2011,Fri Jun 24 19:20:40 CEST 2011,19633,42434,42434.0,0.0,0
