iteration,cost,penalty,softConstraintViolations
1,40490,0.125,23
2,39919,0.25,25
3,39896,0.375,26
4,40241,0.5,24
5,40048,0.625,24
6,39697,0.75,20
7,40762,0.875,15
8,40825,1.0,15
9,40729,1.125,15
10,40755,1.25,15
11,41093,1.375,14
12,41965,1.5,10
13,42597,1.625,8
14,42618,1.75,8
15,43316,1.875,7
16,43359,2.0,7
17,43424,2.125,7
18,43381,2.25,7
19,45252,2.375,5
20,43298,2.5,5
21,43208,2.625,5
22,43192,2.75,5
23,44733,2.875,3
24,45941,3.0,1
25,46207,2.875,0
26,45937,2.75,0
27,45880,2.625,0
28,46135,2.5,0
29,45710,2.375,0
30,46227,2.25,0
31,46284,2.125,0
32,46284,2.0,0
33,45937,1.875,0
34,46119,1.75,0
35,45960,1.625,0
36,45586,1.5,0
37,45586,1.375,0
38,44378,1.5,2
39,44259,1.625,2
40,44193,1.75,2
41,44056,1.875,2
42,43655,2.0,2
43,44163,2.125,2
44,44564,2.25,2
45,44552,2.375,2
46,44687,2.5,2
47,44824,2.625,2
48,44689,2.75,2
49,44701,2.875,2
50,45106,3.0,2
51,44969,3.125,2
52,44568,3.25,2
53,45070,3.375,2
54,45471,3.5,2
55,45608,3.625,2
56,45674,3.75,2
57,48948,3.625,0
58,47533,3.5,0
59,46817,3.375,0
60,46952,3.25,0
61,47299,3.125,0
62,47164,3.0,0
63,47670,2.875,0
64,47210,2.75,0
65,46837,2.625,0
66,45795,2.75,1
67,45546,2.875,1
68,46616,2.75,0
69,46797,2.625,0
70,46834,2.5,0
71,45764,2.625,1
72,45727,2.75,1
73,45976,2.875,1
74,47018,2.75,0
75,47055,2.625,0
76,46013,2.75,1
77,47083,2.625,0
78,47046,2.5,0
79,46865,2.375,0
80,47212,2.25,0
81,46963,2.125,0
82,45893,2.25,1
83,46074,2.375,1
84,47144,2.25,0
85,47259,2.125,0
86,47078,2.0,0
87,47214,1.875,0
88,47204,1.75,0
89,46134,1.875,1
90,46315,2.0,1
91,47385,1.875,0
92,47395,1.75,0
93,45903,1.875,2
94,45767,2.0,2
95,46223,2.125,1
96,46133,2.25,1
97,47171,2.125,0
98,47527,2.0,0
99,46780,1.875,0
100,46376,1.75,0
101,46214,1.625,0
102,46205,1.5,0
103,45841,1.375,0
104,45868,1.25,0
105,46232,1.125,0
106,46241,1.0,0
107,45823,1.125,1
108,45803,1.25,1
109,45794,1.375,1
110,45794,1.5,1
111,45932,1.375,0
112,45941,1.25,0
113,45961,1.125,0
114,45952,1.0,0
115,45939,0.875,0
116,46038,0.75,0
117,46103,0.625,0
118,44742,0.75,2
119,43996,0.875,2
120,43891,1.0,2
121,43928,1.125,1
122,43901,1.25,1
123,43909,1.375,1
124,43918,1.5,1
125,43910,1.625,1
126,43937,1.75,1
127,43945,1.875,1
128,43936,2.0,1
129,44846,1.875,0
130,44819,1.75,0
131,44811,1.625,0
132,44820,1.5,0
133,44828,1.375,0
134,44855,1.25,0
135,44847,1.125,0
136,44838,1.0,0
137,44223,1.125,2
138,43313,1.25,3
139,43618,1.375,2
140,42926,1.5,2
141,42899,1.625,2
142,44219,1.5,0
143,44228,1.375,0
144,42908,1.5,2
145,43070,1.625,1
146,43088,1.75,1
147,43115,1.875,1
148,43097,2.0,1
149,44007,1.875,0
150,43980,1.75,0
151,43998,1.625,0
152,44025,1.5,0
153,43863,1.625,1
154,42953,1.75,2
155,44273,1.625,0
156,44246,1.5,0
157,44040,1.375,0
158,44030,1.25,0
159,44040,1.125,0
160,43904,1.0,0
161,43670,0.875,0
162,42025,1.0,4
163,42035,1.125,4
164,43680,1.0,0
165,43770,0.875,0
166,42125,1.0,4
167,42383,1.125,3
168,42293,1.25,3
169,42798,1.375,2
170,42798,1.5,2
171,42888,1.625,2
172,42888,1.75,2
173,42878,1.875,2
174,42671,2.0,2
175,44316,1.875,0
176,43811,1.75,0
177,43553,1.625,0
178,43760,1.5,0
179,43896,1.375,0
180,43806,1.25,0
181,43816,1.125,0
182,43906,1.0,0
183,42261,1.125,4
184,42519,1.25,3
185,42429,1.375,3
186,44074,1.25,0
187,43938,1.125,0
188,43938,1.0,0
189,42293,1.125,3
190,42383,1.25,3
191,44028,1.125,0
192,44028,1.0,0
193,44018,0.875,0
194,42373,1.0,3
195,42166,1.125,3
196,41908,1.25,4
197,42115,1.375,4
198,42251,1.5,4
199,42509,1.625,3
200,44154,1.5,0
201,44164,1.375,0
202,44164,1.25,0
203,44074,1.125,0
204,42429,1.25,3
205,42934,1.375,2
206,42347,1.5,3
207,42048,1.625,3
208,42209,1.75,3
209,42091,1.875,3
210,42904,2.0,2
211,43022,2.125,2
212,44114,2.25,1
213,43996,2.375,1
214,44809,2.25,0
215,43942,2.375,1
216,44539,2.25,0
217,45006,2.125,0
218,44017,2.25,1
219,43270,2.375,1
220,43870,2.25,0
221,43640,2.125,0
222,43411,2.0,0
223,42902,2.125,1
224,43131,2.25,1
225,42639,2.375,2
226,43148,2.5,1
227,42919,2.625,1
228,42410,2.75,2
229,44451,2.625,0
230,44698,2.5,0
231,44943,2.375,0
232,44943,2.25,0
233,45247,2.125,0
234,44755,2.0,0
235,45135,1.875,0
236,45372,1.75,0
237,45468,1.625,0
238,44374,1.75,2
239,44278,1.875,2
240,44041,2.0,2
241,43661,2.125,2
242,43357,2.25,2
243,41316,2.375,4
244,41808,2.5,3
245,42317,2.625,2
246,42546,2.75,2
247,42678,2.875,2
248,42995,3.0,2
249,45459,2.875,0
250,45605,2.75,0
251,45218,2.625,0
252,44952,2.5,0
253,44965,2.375,0
254,45075,2.25,0
255,45463,2.125,0
256,42961,2.25,3
257,42450,2.375,3
258,41521,2.5,4
259,44023,2.625,1
260,44036,2.75,1
261,44189,2.875,1
262,44405,3.0,1
263,45951,2.875,0
264,45522,2.75,0
265,45306,2.625,0
266,45283,2.5,0
267,45130,2.375,0
268,45014,2.25,0
269,45105,2.125,0
270,43261,2.25,2
271,43170,2.375,2
272,45303,2.25,0
273,43749,2.125,0
274,44071,2.0,0
275,44255,1.875,0
276,43625,1.75,0
277,43878,1.625,0
278,44107,1.5,0
279,43649,1.625,1
280,43420,1.75,1
281,42607,1.875,2
282,42836,2.0,2
283,42407,2.125,3
284,41534,2.25,3
285,41305,2.375,3
286,41392,2.5,3
287,42486,2.625,2
288,44457,2.5,0
289,43670,2.375,0
290,43796,2.25,0
291,43976,2.125,0
292,44110,2.0,0
293,44339,1.875,0
294,43899,1.75,0
295,44025,1.625,0
296,44205,1.5,0
297,42997,1.625,2
298,42768,1.75,2
299,42588,1.875,2
300,42462,2.0,2
301,42691,2.125,2
302,42817,2.25,2
303,42322,2.375,3
304,43530,2.5,1
305,43301,2.625,1
306,43404,2.75,1
307,43633,2.875,1
308,45357,2.75,0
309,44969,2.625,0
310,45176,2.5,0
311,43737,2.625,1
312,43508,2.75,1
313,43871,2.875,1
314,44100,3.0,1
315,45824,2.875,0
316,46032,2.75,0
317,45403,2.625,0
318,45173,2.5,0
319,44961,2.375,0
320,44934,2.25,0
321,45026,2.125,0
322,44994,2.0,0
323,44488,1.875,0
324,44349,1.75,0
325,42919,1.875,2
326,43011,2.0,2
327,44441,1.875,0
328,44350,1.75,0
329,42920,1.875,2
330,43027,2.0,2
