neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
33796,33382,1235,32147,414,5824,0,5824,Fri Jun 24 19:21:26 CEST 2011,Fri Jun 24 19:21:27 CEST 2011,1985,44697,44697.0,0.0,0
56049,55238,2438,52800,811,8150,0,8150,Fri Jun 24 19:21:26 CEST 2011,Fri Jun 24 19:21:29 CEST 2011,3070,43411,43411.0,0.0,0
40341,39699,1703,37996,642,5227,0,5227,Fri Jun 24 19:21:26 CEST 2011,Fri Jun 24 19:21:28 CEST 2011,2504,43781,43781.0,0.0,0
31178,30534,1401,29133,644,4472,0,4472,Fri Jun 24 19:21:26 CEST 2011,Fri Jun 24 19:21:28 CEST 2011,2038,45733,45733.0,0.0,0
36414,35668,1352,34316,746,6169,0,6169,Fri Jun 24 19:21:26 CEST 2011,Fri Jun 24 19:21:28 CEST 2011,2358,45081,45081.0,0.0,0
37842,37341,1680,35661,501,5295,0,5295,Fri Jun 24 19:21:26 CEST 2011,Fri Jun 24 19:21:28 CEST 2011,2384,43187,43187.0,0.0,0
55573,54569,2126,52443,1004,8453,0,8453,Fri Jun 24 19:21:26 CEST 2011,Fri Jun 24 19:21:29 CEST 2011,3518,43700,43700.0,0.0,0
56049,55238,2438,52800,811,8150,0,8150,Fri Jun 24 19:21:26 CEST 2011,Fri Jun 24 19:21:29 CEST 2011,3000,43411,43411.0,0.0,0
97699,96066,3512,92554,1633,15423,0,15423,Fri Jun 24 19:21:26 CEST 2011,Fri Jun 24 19:21:29 CEST 2011,3754,44033,44033.0,0.0,0
63784,62726,2994,59732,1058,9242,0,9242,Fri Jun 24 19:21:26 CEST 2011,Fri Jun 24 19:21:29 CEST 2011,3374,45064,45064.0,0.0,0
