iteration,cost,penalty,softConstraintViolations
1,43510,0.125,23
2,42554,0.25,24
3,42395,0.375,22
4,42034,0.5,21
5,41892,0.625,20
6,42799,0.75,14
7,42185,0.875,15
8,42844,1.0,13
9,44618,1.125,6
10,45232,1.25,5
11,45652,1.375,3
12,44526,1.5,4
13,44035,1.625,5
14,44480,1.75,4
15,44364,1.875,4
16,44920,2.0,2
17,46229,1.875,0
18,45784,1.75,0
19,45725,1.625,0
20,45778,1.5,0
21,45873,1.375,0
22,45820,1.25,0
23,45898,1.125,0
24,45973,1.0,0
25,45859,0.875,0
26,44710,1.0,2
27,44475,1.125,2
28,45044,1.25,1
29,45279,1.375,1
30,45151,1.5,2
31,44916,1.625,2
32,45889,1.75,1
33,46256,1.625,0
34,45521,1.5,0
35,45522,1.375,0
36,45540,1.25,0
37,45566,1.125,0
38,45521,1.0,0
39,45858,0.875,0
40,46232,0.75,0
41,45914,0.625,0
42,45896,0.5,0
43,45610,0.625,1
44,45609,0.75,1
45,45895,0.625,0
46,45970,0.5,0
47,45596,0.375,0
48,43216,0.5,12
49,42673,0.625,10
50,41480,0.75,14
51,42690,0.875,8
52,45051,1.0,1
53,45052,1.125,1
54,45597,1.0,0
55,45971,0.875,0
56,46080,0.75,0
57,46005,0.625,0
58,46004,0.5,0
59,43909,0.625,7
60,43833,0.75,7
61,43173,0.875,7
62,43173,1.0,7
63,41961,1.125,10
64,42657,1.25,7
65,44748,1.375,2
66,45800,1.25,0
67,45675,1.125,0
68,45568,1.0,0
69,45521,0.875,0
70,45090,1.0,1
71,45081,1.125,1
72,45137,1.25,1
73,45146,1.375,1
74,45203,1.5,1
75,45625,1.375,0
76,45498,1.25,0
77,45149,1.125,0
78,45194,1.0,0
79,45321,0.875,0
80,44900,0.75,0
81,42261,0.875,5
82,42214,1.0,5
83,42345,1.125,5
84,44635,1.0,0
85,44922,0.875,0
86,45050,0.75,0
87,44969,0.625,0
88,43534,0.75,4
89,42621,0.875,4
90,42604,1.0,3
91,42990,1.125,2
92,42724,1.25,2
93,42989,1.375,2
94,43255,1.5,2
95,43406,1.625,2
96,44339,1.5,0
97,44074,1.375,0
98,43262,1.5,1
99,43729,1.375,0
100,43384,1.25,0
101,43649,1.125,0
102,43994,1.0,0
103,43527,1.125,1
104,43242,1.25,2
105,42977,1.375,2
106,43444,1.5,1
107,43485,1.625,1
108,43750,1.75,1
109,43709,1.875,1
110,44844,1.75,0
111,44885,1.625,0
112,44572,1.5,0
113,44433,1.375,0
114,43714,1.5,1
115,42047,1.625,1
116,42186,1.75,1
117,42415,1.875,1
118,42276,2.0,1
119,42631,2.125,1
