neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
232596,231079,1178,229901,1517,36927,0,36927,Fri Jun 24 19:21:07 CEST 2011,Fri Jun 24 19:21:20 CEST 2011,13678,44742,44742.0,0.0,0
392301,389487,2729,386758,2814,49105,0,49105,Fri Jun 24 19:21:07 CEST 2011,Fri Jun 24 19:21:24 CEST 2011,16976,43565,43565.0,0.0,0
457002,451593,3140,448453,5409,62447,0,62447,Fri Jun 24 19:21:07 CEST 2011,Fri Jun 24 19:21:25 CEST 2011,18204,43859,43859.0,0.0,0
252252,250603,1317,249286,1649,32668,0,32668,Fri Jun 24 19:21:07 CEST 2011,Fri Jun 24 19:21:20 CEST 2011,13343,44130,44130.0,0.0,0
230958,229231,1809,227422,1727,40686,0,40686,Fri Jun 24 19:21:07 CEST 2011,Fri Jun 24 19:21:21 CEST 2011,14519,45596,45596.0,0.0,0
292383,290690,2040,288650,1693,42414,0,42414,Fri Jun 24 19:21:07 CEST 2011,Fri Jun 24 19:21:23 CEST 2011,15864,45145,45145.0,0.0,0
214578,211897,1391,210506,2681,25871,0,25871,Fri Jun 24 19:21:07 CEST 2011,Fri Jun 24 19:21:19 CEST 2011,12238,45733,45733.0,0.0,0
277641,275491,1717,273774,2150,27885,0,27885,Fri Jun 24 19:21:07 CEST 2011,Fri Jun 24 19:21:22 CEST 2011,14843,43781,43781.0,0.0,0
285831,283918,1565,282353,1913,35556,0,35556,Fri Jun 24 19:21:07 CEST 2011,Fri Jun 24 19:21:22 CEST 2011,14751,43384,43384.0,0.0,0
551187,546972,3446,543526,4215,70838,0,70838,Fri Jun 24 19:21:07 CEST 2011,Fri Jun 24 19:21:25 CEST 2011,18541,43108,43108.0,0.0,0
