iteration,cost,penalty,softConstraintViolations
1,43508,0.125,23
2,42987,0.25,24
3,43103,0.375,16
4,42665,0.5,18
5,43847,0.625,12
6,44254,0.75,11
7,43898,0.875,12
8,44743,1.0,9
9,45855,1.125,6
10,46376,1.25,5
11,47440,1.375,3
12,47060,1.5,3
13,46539,1.625,3
14,46712,1.75,3
15,46350,1.875,3
16,46509,2.0,2
17,46509,2.125,2
18,46364,2.25,2
19,46222,2.375,2
20,46391,2.5,2
21,46257,2.625,2
22,48328,2.5,0
23,47423,2.375,0
24,47348,2.25,0
25,46689,2.125,0
26,46305,2.0,0
27,45949,1.875,0
28,45818,1.75,0
29,45584,1.625,0
30,45693,1.5,0
31,45280,1.625,1
32,45662,1.5,0
33,45553,1.375,0
34,44795,1.5,1
35,44795,1.375,0
36,44959,1.25,0
37,44564,1.375,1
38,44400,1.5,1
39,44867,1.375,0
40,45019,1.25,0
41,45486,1.125,0
42,45240,1.0,0
43,44375,1.125,1
44,44770,1.0,0
45,44620,0.875,0
46,44620,0.75,0
47,44663,0.625,0
48,44663,0.5,0
49,44268,0.625,2
50,44418,0.75,1
51,44418,0.875,1
52,44375,1.0,1
53,44770,0.875,0
54,44813,0.75,0
55,44813,0.625,0
56,45026,0.5,0
57,44631,0.625,1
58,44631,0.75,1
59,44359,0.875,2
60,44359,1.0,2
61,44754,1.125,1
62,44604,1.25,1
63,44876,1.125,0
64,44876,1.0,0
65,45026,0.875,0
66,44754,1.0,1
67,44604,1.125,1
68,44439,1.25,2
69,44711,1.375,1
70,44711,1.5,1
71,44861,1.625,1
72,44861,1.75,1
73,45111,1.875,1
74,45354,1.75,0
75,45055,1.625,0
76,44804,1.5,0
77,44654,1.375,0
78,44437,1.25,0
79,44588,1.125,0
80,43945,1.25,1
81,44589,1.125,0
82,44430,1.0,0
83,44429,0.875,0
84,43991,1.0,1
85,43992,1.125,1
86,44497,1.0,0
87,44535,0.875,0
88,44694,0.75,0
89,44150,0.875,1
90,44150,1.0,1
91,43507,1.125,2
92,44151,1.25,1
93,44506,1.375,1
94,44261,1.5,1
95,44699,1.375,0
96,44543,1.25,0
97,44542,1.125,0
98,44104,1.25,1
99,44639,1.125,0
100,44601,1.0,0
101,44105,1.125,1
102,44280,1.25,1
103,44718,1.125,0
104,44880,1.0,0
105,44879,0.875,0
106,44698,0.75,0
107,44260,0.875,1
108,44017,1.0,2
109,44018,1.125,2
110,44456,1.25,1
111,44455,1.375,1
112,44526,1.5,1
113,45004,1.375,0
114,44848,1.25,0
115,44843,1.125,0
116,44488,1.0,0
117,43528,1.125,2
118,43445,1.25,2
119,43386,1.375,2
120,44260,1.5,1
121,44319,1.625,1
122,44358,1.75,1
123,43484,1.875,2
124,43567,2.0,2
125,44527,1.875,0
126,44436,1.75,0
127,44741,1.625,0
128,44741,1.5,0
129,44832,1.375,0
130,44773,1.25,0
131,44735,1.125,0
132,44832,1.0,0
133,43872,1.125,2
134,43781,1.25,2
135,43476,1.375,2
136,44055,1.5,1
137,44146,1.625,1
138,44107,1.75,1
139,45065,1.625,0
140,45006,1.5,0
141,44429,1.375,0
142,44430,1.25,0
143,43992,1.375,1
144,44497,1.25,0
145,44535,1.125,0
146,43991,1.25,1
147,44150,1.375,1
148,44588,1.25,0
149,44588,1.125,0
150,44437,1.0,0
151,44654,0.875,0
152,44804,0.75,0
153,44587,0.875,1
154,44041,1.0,2
155,42684,1.125,4
156,43722,1.25,1
157,43214,1.375,1
158,42742,1.5,2
159,42573,1.625,2
160,42935,1.75,2
161,43104,1.875,2
162,43576,2.0,1
163,43882,2.125,1
164,44316,2.0,0
165,43954,1.875,0
166,42900,2.0,1
167,43145,2.125,1
168,42992,2.25,1
169,42924,2.375,1
170,43978,2.25,0
171,44046,2.125,0
172,44172,2.0,0
173,43118,2.125,1
174,43050,2.25,1
175,44104,2.125,0
176,44237,2.0,0
177,43183,2.125,1
178,43057,2.25,1
179,44111,2.125,0
180,44218,2.0,0
181,43164,2.125,1
182,43290,2.25,1
183,44344,2.125,0
184,44605,2.0,0
185,43551,2.125,1
186,43379,2.25,1
187,43246,2.375,1
188,43178,2.5,1
189,44232,2.375,0
190,44300,2.25,0
191,44433,2.125,0
192,44307,2.0,0
193,43253,2.125,1
194,43185,2.25,1
195,44239,2.125,0
196,44365,2.0,0
197,43311,2.125,1
198,43444,2.25,1
199,43311,2.375,1
200,44365,2.25,0
201,44472,2.125,0
202,43418,2.25,1
203,43656,2.375,1
204,43484,2.5,1
205,43416,2.625,1
206,44474,2.5,0
207,44542,2.375,0
208,44714,2.25,0
209,44607,2.125,0
210,43549,2.25,1
211,43911,2.375,1
212,42739,2.5,2
213,42606,2.625,2
214,42434,2.75,2
215,43488,2.875,1
216,43573,3.0,1
217,42519,3.125,2
218,42824,3.25,2
219,43878,3.375,1
220,43793,3.5,1
