neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
268499,266090,1603,264487,2409,33954,0,33954,Fri Jun 24 19:22:52 CEST 2011,Fri Jun 24 19:23:09 CEST 2011,17026,43470,43470.0,0.0,0
314237,311449,1513,309936,2788,42677,0,42677,Fri Jun 24 19:22:52 CEST 2011,Fri Jun 24 19:23:11 CEST 2011,18922,43557,43557.0,0.0,0
314237,311449,1513,309936,2788,42677,0,42677,Fri Jun 24 19:22:52 CEST 2011,Fri Jun 24 19:23:11 CEST 2011,18883,43557,43557.0,0.0,0
314237,311449,1513,309936,2788,42677,0,42677,Fri Jun 24 19:22:52 CEST 2011,Fri Jun 24 19:23:11 CEST 2011,19057,43557,43557.0,0.0,0
314237,311449,1513,309936,2788,42677,0,42677,Fri Jun 24 19:22:52 CEST 2011,Fri Jun 24 19:23:11 CEST 2011,18874,43557,43557.0,0.0,0
310002,307485,2473,305012,2517,41667,0,41667,Fri Jun 24 19:22:52 CEST 2011,Fri Jun 24 19:23:13 CEST 2011,20307,44468,44468.0,0.0,0
350658,347414,2500,344914,3244,38000,0,38000,Fri Jun 24 19:22:52 CEST 2011,Fri Jun 24 19:23:14 CEST 2011,21325,43954,43954.0,0.0,0
356587,353587,2160,351427,3000,45922,0,45922,Fri Jun 24 19:22:52 CEST 2011,Fri Jun 24 19:23:13 CEST 2011,20334,43699,43699.0,0.0,0
570031,564991,3446,561545,5040,75670,0,75670,Fri Jun 24 19:22:52 CEST 2011,Fri Jun 24 19:23:15 CEST 2011,22653,43108,43108.0,0.0,0
405713,402167,2729,399438,3546,52152,0,52152,Fri Jun 24 19:22:52 CEST 2011,Fri Jun 24 19:23:13 CEST 2011,20861,43565,43565.0,0.0,0
