iteration,cost,penalty,softConstraintViolations
1,41185,0.125,22
2,39855,0.25,23
3,39962,0.375,23
4,40490,0.5,23
5,40473,0.625,23
6,40310,0.75,24
7,40006,0.875,24
8,40147,1.0,24
9,41692,1.125,19
10,41193,1.25,18
11,40767,1.375,17
12,42003,1.5,12
13,40472,1.625,12
14,43234,1.75,7
15,45818,1.875,3
16,47026,2.0,1
17,46421,2.125,1
18,46077,2.25,1
19,45801,2.375,1
20,46076,2.5,1
21,46224,2.625,1
22,45574,2.75,1
23,44944,2.875,1
24,44857,3.0,1
25,45026,3.125,1
26,45069,3.25,1
27,46029,3.125,0
28,46003,3.0,0
29,46244,2.875,0
30,46052,2.75,0
31,46257,2.625,0
32,46084,2.5,0
33,46215,2.375,0
34,46506,2.25,0
35,46575,2.125,0
36,46642,2.0,0
37,46404,1.875,0
38,46608,1.75,0
39,46580,1.625,0
40,46670,1.5,0
41,46603,1.375,0
42,45376,1.5,1
43,45017,1.625,1
44,45103,1.75,1
45,45505,1.875,1
46,45177,2.0,1
47,45193,2.125,1
48,45223,2.25,1
49,45215,2.375,1
50,45176,2.5,1
51,45238,2.625,1
52,46904,2.5,0
53,46380,2.375,0
54,46453,2.25,0
55,46662,2.125,0
56,46589,2.0,0
57,46775,1.875,0
58,46705,1.75,0
59,46814,1.625,0
60,46922,1.5,0
61,46793,1.375,0
62,45603,1.5,1
63,45398,1.625,1
64,45428,1.75,1
65,45489,1.875,1
66,45018,2.0,1
67,44894,2.125,1
68,44953,2.25,1
69,45139,2.375,1
70,45363,2.5,1
71,44932,2.625,1
72,45280,2.75,1
73,45206,2.875,1
74,46456,2.75,0
75,46592,2.625,0
76,45229,2.75,1
77,45180,2.875,1
78,45195,3.0,1
79,47036,2.875,0
80,46036,2.75,0
81,45416,2.625,0
82,45451,2.5,0
83,45199,2.375,0
84,45286,2.25,0
85,45538,2.125,0
86,45485,2.0,0
87,45807,1.875,0
88,45738,1.75,0
89,45851,1.625,0
90,45729,1.5,0
91,44023,1.625,3
92,43634,1.75,3
93,45224,1.875,1
94,45088,2.0,1
95,44993,2.125,1
96,45088,2.25,1
97,45045,2.375,1
98,45235,2.5,1
99,45308,2.625,1
100,45314,2.75,1
101,45459,2.875,1
102,45277,3.0,1
103,45715,3.125,1
104,45501,3.25,1
105,45147,3.375,1
106,45500,3.5,1
107,45542,3.625,1
108,45310,3.75,1
109,45611,3.875,1
110,45569,4.0,1
111,45683,4.125,1
112,45624,4.25,1
113,45731,4.375,1
114,45632,4.5,1
115,45986,4.625,1
116,45732,4.75,1
117,45613,4.875,1
118,45746,5.0,1
119,45746,5.125,1
120,48142,5.0,0
121,47944,4.875,0
122,47771,4.75,0
123,47840,4.625,0
124,47910,4.5,0
125,47859,4.375,0
126,47961,4.25,0
127,47869,4.125,0
128,47862,4.0,0
129,47769,3.875,0
130,47731,3.75,0
131,47727,3.625,0
132,47431,3.5,0
133,46926,3.375,0
134,46767,3.25,0
135,46527,3.125,0
136,46726,3.0,0
137,46654,2.875,0
138,46747,2.75,0
139,46769,2.625,0
140,46737,2.5,0
141,47138,2.375,0
142,47122,2.25,0
143,47017,2.125,0
144,47134,2.0,0
145,46830,1.875,0
146,46892,1.75,0
147,46961,1.625,0
148,47120,1.5,0
149,47089,1.375,0
150,46578,1.25,0
151,46322,1.125,0
152,46538,1.0,0
153,46666,0.875,0
154,46778,0.75,0
155,46544,0.625,0
156,46389,0.5,0
157,46494,0.375,0
158,46675,0.25,0
159,46659,0.125,0
160,46088,0.25,2
161,44824,0.375,6
162,44516,0.5,6
163,44538,0.625,6
164,45757,0.75,2
165,45600,0.875,2
166,45650,1.0,2
