neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
39508,38989,1276,37713,519,7675,0,7675,Fri Jun 24 19:24:31 CEST 2011,Fri Jun 24 19:24:33 CEST 2011,2434,45199,45199.0,0.0,0
52241,51495,2334,49161,746,10911,0,10911,Fri Jun 24 19:24:31 CEST 2011,Fri Jun 24 19:24:34 CEST 2011,2942,44828,44828.0,0.0,0
39746,39098,1529,37569,648,7737,0,7737,Fri Jun 24 19:24:31 CEST 2011,Fri Jun 24 19:24:33 CEST 2011,2500,45629,45629.0,0.0,0
48909,48064,1818,46246,845,10002,0,10002,Fri Jun 24 19:24:31 CEST 2011,Fri Jun 24 19:24:34 CEST 2011,2912,45644,45644.0,0.0,0
72828,71692,2633,69059,1136,14382,0,14382,Fri Jun 24 19:24:31 CEST 2011,Fri Jun 24 19:24:34 CEST 2011,3101,45310,45310.0,0.0,0
77350,76131,2869,73262,1219,15394,0,15394,Fri Jun 24 19:24:31 CEST 2011,Fri Jun 24 19:24:34 CEST 2011,3156,45310,45310.0,0.0,0
39508,38989,1276,37713,519,7675,0,7675,Fri Jun 24 19:24:31 CEST 2011,Fri Jun 24 19:24:33 CEST 2011,2545,45199,45199.0,0.0,0
48909,48064,1825,46239,845,10002,0,10002,Fri Jun 24 19:24:31 CEST 2011,Fri Jun 24 19:24:34 CEST 2011,2787,45644,45644.0,0.0,0
55216,54369,2517,51852,847,10997,0,10997,Fri Jun 24 19:24:31 CEST 2011,Fri Jun 24 19:24:34 CEST 2011,2878,44740,44740.0,0.0,0
39746,39098,1534,37564,648,7737,0,7737,Fri Jun 24 19:24:31 CEST 2011,Fri Jun 24 19:24:33 CEST 2011,2524,45629,45629.0,0.0,0
