iteration,cost,penalty,softConstraintViolations
1,40004,0.125,22
2,39229,0.25,24
3,39284,0.375,24
4,38689,0.5,24
5,39081,0.625,20
6,38832,0.75,20
7,38540,0.875,19
8,39059,1.0,16
9,38486,1.125,16
10,37651,1.25,18
11,38383,1.375,16
12,39218,1.5,14
13,44324,1.625,4
14,43638,1.75,2
15,42613,1.875,2
16,44064,1.75,0
17,43600,1.625,0
18,43449,1.5,0
19,43565,1.375,0
20,43039,1.25,0
21,43160,1.125,0
22,43020,1.0,0
23,42920,0.875,0
24,43060,0.75,0
25,42732,0.875,1
26,42834,1.0,1
27,42901,1.125,1
28,43337,1.0,0
29,43453,0.875,0
30,43385,0.75,0
31,43431,0.625,0
32,41513,0.75,5
33,42320,0.875,2
34,42260,1.0,2
35,42230,1.125,2
36,39926,1.25,7
37,40078,1.375,7
38,42382,1.5,2
39,42897,1.625,1
40,42745,1.75,1
41,42675,1.875,1
42,42845,2.0,1
43,42744,2.125,1
44,42748,2.25,1
45,42800,2.375,1
46,42796,2.5,1
47,44004,2.375,0
48,43489,2.25,0
49,43493,2.125,0
50,43513,2.0,0
51,43509,1.875,0
52,43610,1.75,0
53,43440,1.625,0
54,43438,1.5,0
55,43468,1.375,0
56,43528,1.25,0
57,43490,1.125,0
58,42282,1.25,2
59,42878,1.375,1
60,42896,1.5,1
61,42981,1.625,1
62,43050,1.75,1
63,43037,1.875,1
64,42898,2.0,1
65,42976,2.125,1
66,42955,2.25,1
67,42849,2.375,1
68,42901,2.5,1
69,43025,2.625,1
70,42956,2.75,1
71,44164,2.625,0
72,43568,2.5,0
73,43446,2.375,0
74,43393,2.25,0
75,43469,2.125,0
76,43643,2.0,0
77,43477,1.875,0
78,43343,1.75,0
79,43459,1.625,0
80,43565,1.5,0
81,43594,1.375,0
82,43700,1.25,0
83,43547,1.125,0
84,43699,1.0,0
85,43639,0.875,0
86,41827,1.0,5
87,41581,1.125,5
88,41469,1.25,5
89,41319,1.375,5
90,43448,1.5,1
91,43564,1.375,0
92,43448,1.25,0
93,42956,1.375,1
94,43039,1.25,0
95,43160,1.125,0
96,43020,1.0,0
97,42920,0.875,0
98,43060,0.75,0
99,42732,0.875,1
100,42834,1.0,1
101,42901,1.125,1
102,43337,1.0,0
103,43453,0.875,0
104,43385,0.75,0
105,43431,0.625,0
106,41513,0.75,5
107,42320,0.875,2
108,42260,1.0,2
109,42230,1.125,2
110,39926,1.25,7
111,40078,1.375,7
112,42382,1.5,2
113,42897,1.625,1
114,42745,1.75,1
115,42675,1.875,1
116,42845,2.0,1
117,42744,2.125,1
118,42748,2.25,1
119,42800,2.375,1
120,42796,2.5,1
121,44004,2.375,0
122,43489,2.25,0
123,43493,2.125,0
124,43513,2.0,0
125,43509,1.875,0
126,43610,1.75,0
127,43440,1.625,0
128,43438,1.5,0
129,43468,1.375,0
130,43528,1.25,0
131,43490,1.125,0
132,42282,1.25,2
133,42878,1.375,1
134,42896,1.5,1
135,42981,1.625,1
136,43050,1.75,1
137,43037,1.875,1
138,42898,2.0,1
139,42976,2.125,1
140,42955,2.25,1
141,42849,2.375,1
142,42901,2.5,1
143,43025,2.625,1
144,42956,2.75,1
145,44164,2.625,0
146,43568,2.5,0
147,43446,2.375,0
148,43393,2.25,0
149,43469,2.125,0
150,43643,2.0,0
151,43477,1.875,0
152,43343,1.75,0
153,43459,1.625,0
154,43565,1.5,0
155,43594,1.375,0
156,43700,1.25,0
157,43547,1.125,0
158,43699,1.0,0
159,43639,0.875,0
160,41827,1.0,5
161,41581,1.125,5
162,41469,1.25,5
163,41319,1.375,5
164,43448,1.5,1
165,43564,1.375,0
166,43448,1.25,0
167,42956,1.375,1
168,43039,1.25,0
169,43160,1.125,0
170,43020,1.0,0
171,42920,0.875,0
172,43060,0.75,0
173,42732,0.875,1
174,42834,1.0,1
175,42901,1.125,1
176,43337,1.0,0
177,43453,0.875,0
178,43385,0.75,0
179,43431,0.625,0
180,41513,0.75,5
181,42320,0.875,2
182,42260,1.0,2
183,42230,1.125,2
184,39926,1.25,7
185,40078,1.375,7
186,42382,1.5,2
187,42897,1.625,1
188,42745,1.75,1
189,42675,1.875,1
190,42845,2.0,1
191,42744,2.125,1
192,42748,2.25,1
193,42800,2.375,1
194,42796,2.5,1
195,44004,2.375,0
196,43489,2.25,0
197,43493,2.125,0
198,43513,2.0,0
199,43509,1.875,0
200,43610,1.75,0
201,43440,1.625,0
202,43438,1.5,0
203,43468,1.375,0
204,43528,1.25,0
205,43490,1.125,0
206,42282,1.25,2
207,42878,1.375,1
208,42896,1.5,1
209,42981,1.625,1
210,43050,1.75,1
211,43037,1.875,1
212,42898,2.0,1
213,42976,2.125,1
214,42955,2.25,1
215,42849,2.375,1
216,42901,2.5,1
217,43025,2.625,1
218,42956,2.75,1
219,44164,2.625,0
220,43568,2.5,0
221,43446,2.375,0
222,43393,2.25,0
223,43469,2.125,0
224,43643,2.0,0
225,43477,1.875,0
226,43343,1.75,0
227,43459,1.625,0
228,43565,1.5,0
229,43594,1.375,0
230,43700,1.25,0
231,43547,1.125,0
232,43699,1.0,0
233,43639,0.875,0
234,41827,1.0,5
235,41581,1.125,5
236,41469,1.25,5
237,41319,1.375,5
238,43448,1.5,1
239,43564,1.375,0
240,43448,1.25,0
241,42956,1.375,1
242,43039,1.25,0
243,43160,1.125,0
244,43020,1.0,0
245,42920,0.875,0
246,43060,0.75,0
247,42732,0.875,1
248,42834,1.0,1
249,42901,1.125,1
250,43337,1.0,0
251,43453,0.875,0
252,43385,0.75,0
253,43431,0.625,0
254,41513,0.75,5
255,42320,0.875,2
256,42260,1.0,2
257,42230,1.125,2
258,39926,1.25,7
259,40078,1.375,7
260,42382,1.5,2
261,42897,1.625,1
262,42745,1.75,1
263,42675,1.875,1
264,42845,2.0,1
265,42744,2.125,1
266,42748,2.25,1
267,42800,2.375,1
268,42796,2.5,1
269,44004,2.375,0
270,43489,2.25,0
271,43493,2.125,0
272,43513,2.0,0
