neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
39984,39552,1235,38317,432,8572,0,8572,Fri Jun 24 19:20:17 CEST 2011,Fri Jun 24 19:20:20 CEST 2011,2550,42920,42920.0,0.0,0
41013,40506,1299,39207,507,8311,0,8311,Fri Jun 24 19:20:17 CEST 2011,Fri Jun 24 19:20:20 CEST 2011,2577,44931,44931.0,0.0,0
71442,70505,2930,67575,937,14885,0,14885,Fri Jun 24 19:20:17 CEST 2011,Fri Jun 24 19:20:20 CEST 2011,3164,43305,43305.0,0.0,0
41748,41239,1488,39751,509,9693,0,9693,Fri Jun 24 19:20:17 CEST 2011,Fri Jun 24 19:20:20 CEST 2011,2690,43525,43525.0,0.0,0
42336,41814,1434,40380,522,8051,0,8051,Fri Jun 24 19:20:17 CEST 2011,Fri Jun 24 19:20:20 CEST 2011,2712,44112,44112.0,0.0,0
71442,70505,2949,67556,937,14885,0,14885,Fri Jun 24 19:20:17 CEST 2011,Fri Jun 24 19:20:20 CEST 2011,3058,43305,43305.0,0.0,0
49686,49122,1716,47406,564,11005,0,11005,Fri Jun 24 19:20:17 CEST 2011,Fri Jun 24 19:20:20 CEST 2011,2857,43712,43712.0,0.0,0
49686,49122,1713,47409,564,11005,0,11005,Fri Jun 24 19:20:17 CEST 2011,Fri Jun 24 19:20:20 CEST 2011,2898,43712,43712.0,0.0,0
39984,39552,1233,38319,432,8572,0,8572,Fri Jun 24 19:20:17 CEST 2011,Fri Jun 24 19:20:19 CEST 2011,2331,42920,42920.0,0.0,0
49686,49122,1713,47409,564,11005,0,11005,Fri Jun 24 19:20:17 CEST 2011,Fri Jun 24 19:20:20 CEST 2011,2856,43712,43712.0,0.0,0
